Name,Chromosome,Position,P.value,maf,effect
PstI.TP863331,1,161269,0.674311780644875,0.0732758620689655,-0.000615297360700238
PstI.TP271714,1,262844,0.602977966070714,0.0732758620689655,-0.000679669200055203
NsiI.TP148773,1,285352,0.690808422782106,0.129310344827586,-0.000429307614661048
PstI.TP425356,1,569039,0.736837904265261,0.0517241379310345,0.000593046611930039
PstI.TP999740,1,569491,0.633848297920731,0.103448275862069,-0.000592872873880033
PstI.TP1246584,1,1015480,0.0530548101588024,0.435344827586207,-0.00165019411337423
PstI.TP354591,1,1050082,0.344732937078999,0.323275862068966,-0.000864871241279087
PstI.TP856852,1,1153760,0.067256622373451,0.185344827586207,-0.00216393378202119
PstI.TP775725,1,1175417,0.783900887570233,0.0560344827586207,0.000431711726830264
PstI.TP329515,1,1537490,0.552861734405287,0.254310344827586,0.000531517433533357
PstI.TP417865,1,2030761,0.67514489231792,0.362068965517241,-0.000483035289581059
PstI.TP885267,1,2084430,0.675416127616235,0.0775862068965517,-0.0006136378638989
PstI.TP1294018,1,2280325,0.495770871497736,0.0905172413793103,-0.00102436765152672
PstI.TP441536,1,2816855,0.345247740270997,0.379310344827586,0.000623125338878915
PstI.TP1085601,1,2820903,0.50305158966067,0.0517241379310345,0.00105224420648871
PstI.TP525202,1,2884119,0.440497147018648,0.0732758620689655,-0.000944014408243459
PstI.TP1268585,1,2988383,0.0667133682637972,0.379310344827586,-0.00234407007818241
PstI.TP849876,1,3050119,0.531320999627354,0.0948275862068965,-0.000775358578286097
PstI.TP626124,1,3342723,0.655983894878359,0.0603448275862069,0.000723589179166114
PstI.TP1059573,1,3357749,0.830363012127699,0.163793103448276,0.000241734356639678
PstI.TP1244443,1,3397749,0.200581505594534,0.137931034482759,0.0014199386131627
PstI.TP726521,1,3535515,0.810717111824881,0.0689655172413793,0.000355353377027465
PstI.TP374511,1,3576636,0.934364411569158,0.133620689655172,8.89068871338124e-05
PstI.TP1267977,1,3576713,0.421795002596494,0.116379310344828,0.00104785037163836
PstI.TP961085,1,3705536,0.68954891803041,0.366379310344828,-0.000317065152713926
PstI.TP21889,1,3705780,0.207002391489044,0.224137931034483,-0.00105737579166679
PstI.TP1053336,1,3955998,0.959333209777239,0.0775862068965517,-6.00311163330858e-05
PstI.TP891020,1,4033768,0.487184071096951,0.0689655172413793,-0.0010662000262772
PstI.TP629259,1,4276027,0.58399060249258,0.375,-0.00043930736310358
PstI.TP140451,1,4460094,0.454963464950121,0.211206896551724,-0.000872029850863328
NsiI.TP39399,1,4465777,0.453114754681157,0.0905172413793103,-0.000883024920754334
NsiI.TP468762,1,4620729,0.791324264405592,0.0818965517241379,0.000351893546986031
PstI.TP307588,1,4762662,0.988653548452993,0.0689655172413793,-2.13724026828649e-05
PstI.TP920636,1,4777048,0.511277463537455,0.103448275862069,0.0009928888072517
PstI.TP683907,1,4900973,0.231629598789019,0.181034482758621,0.00120286740472348
PstI.TP402429,1,4990016,0.803331480451708,0.0689655172413793,0.000357531981409767
PstI.TP684655,1,5379329,0.716705690101077,0.370689655172414,0.000279292268890692
PstI.TP9547,1,5534818,0.195700829509236,0.310344827586207,0.000929338059855017
PstI.TP476949,1,5536792,0.164783108419029,0.487068965517241,0.000918352411431722
PstI.TP291849,1,5571398,0.227067912201734,0.15948275862069,0.00106317697218712
PstI.TP677745,1,5751851,0.790998228038853,0.21551724137931,-0.00022352207859937
PstI.TP356699,1,5752437,0.561628038097922,0.0517241379310345,-0.00101042949837376
PstI.TP705967,1,5858828,0.87747793579275,0.0775862068965517,-0.000210696568248415
PstI.TP1252197,1,5912854,0.757856463591837,0.0862068965517241,0.000381120757400984
PstI.TP116123,1,5967108,0.892204072129944,0.0560344827586207,0.000214084739572806
PstI.TP523933,1,6018181,0.877703390965846,0.258620689655172,-0.000118413618083686
NsiI.TP488601,1,6409370,0.874606472030632,0.318965517241379,-0.000120818876933841
PstI.TP1015835,1,6514843,0.0298434144321816,0.193965517241379,0.00241158715710124
PstI.TP547229,1,6574881,0.0799064439483233,0.0560344827586207,0.00265186030218917
PstI.TP1129801,1,6608649,0.73098991953454,0.202586206896552,-0.000277100711860572
PstI.TP272307,1,6679965,0.384698571943568,0.280172413793103,-0.000826326257428734
PstI.TP1245357,1,6748280,0.881491444356778,0.0732758620689655,0.000203408666193353
PstI.TP444825,1,6930877,0.871193020331914,0.0560344827586207,0.000275520436722965
