"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"2","Trait2","mrMLM","PstI.TP392482","1","17611146","-0.0337","7.0973","7.9647"," 0.0000","0.025","A","1e-04","3e-04"
"2","Trait2","mrMLM","PstI.TP459121","1","78162835","-0.0158","4.9641","5.7588"," 0.0000","0.075","C","",""
"2","Trait2","mrMLM","PstI.TP678255","1","67745947","-0.0063","3.5144","4.2405"," 4.4624","0.270","A","",""
"2","Trait2","mrMLM","PstI.TP49139","1","80477608","-0.0113","4.0951","4.8513"," 3.4409","0.055","A","",""
"2","Trait2","mrMLM","PstI.TP729855","3","65126133","-0.0206","9.0547","9.9723","11.3379","0.035","C","",""
"2","Trait2","mrMLM","PstI.TP166492","6"," 2200069"," 0.0098","4.4966","5.2714","23.4159","0.120","A","",""
"2","Trait2","FASTmrMLM","PstI.TP459121","1","78162835","-0.0246","8.9534","9.8687","0","0.0735","C","1e-04","3e-04"
"2","Trait2","FASTmrMLM","PstI.TP729855","3","65126133","-0.016","4.4831","5.2573","6.8801","0.0343","C","",""
"2","Trait2","FASTmrEMMA","PstI.TP459121","1","78162835","-0.0357","5.6753","6.4971","13.8645","0.0735","C","1e-04","3e-04"
"2","Trait2","FASTmrEMMA","PstI.TP1010623","3","2603844","-0.0543","6.3825","7.2281","7.3218","0.0147","C","",""
"2","Trait2","FASTmrEMMA","PstI.TP729855","3","65126133","-0.0282","3.881","4.6265","7.1176","0.0343","C","",""
"2","Trait2","pLARmEB","PstI.TP678255","1","67745947","-4e-04","3.2217","3.9308","0.0027","0.2647","A","1e-04","3e-04"
"2","Trait2","pLARmEB","NsiI.TP127610","1","69282032","0.0032","3.739","4.4772","0.4329","0.3284","G","",""
"2","Trait2","pLARmEB","PstI.TP459121","1","78162835","-0.0248","9.6904","10.6221","0","0.0735","C","",""
"2","Trait2","pLARmEB","PstI.TP729855","3","65126133","-0.015","4.7268","5.5116","0.7303","0.0343","C","",""
"2","Trait2","pLARmEB","PstI.TP124945","5","41255313","-0.0077","3.1895","3.8966","0","0.1373","A","",""
"2","Trait2","pLARmEB","PstI.TP166492","6","2200069","0.0058","4.6442","5.4255","1.0135","0.1225","A","",""
"2","Trait2","ISIS EM-BLASSO","PstI.TP459121","1","78162835","-0.0265","8.6283","9.5359","0","0.0735","C","2e-04","3e-04"
