"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM","rrBLUP.TFN.","rrBLUP.FNMain","rrBLUP.FNsmall","rrBLUP.HD_1","rrBLUP.FD_1","rrBLUP.HD_50.","rrBLUP.FD_50.","rrBLUP.HW_1","rrBLUP.FW_1","rrBLUP.HW_50","rrBLUP.FW_50","rrBLUP.GHW_1","rrBLUP.GFW_1","rrBLUP.GHW_50","rrBLUP.GFW_50","rrBLUP.HM_1","rrBLUP.FM_1","rrBLUP.HM_50","rrBLUP.FM_50","rrBLUP.fprind","rrBLUP.fprinW","rrBLUP.fprinGW","rrBLUP.fprinM"
"2796","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3781","PstI.TP863331",1,161269,0.316468677692854,0.254855000750317,0.2369268326046,0.785007376044558,0.707130494291658,0.690036487307996,0.682025274490589,0.781374346095545,0.679986774612878,0.683610528808534,0.675985727530305,0.704890130587865,0.641627980125648,0.706849320901571,0.627159170622905,0.641822516702696,0.678279291055024,0.68239817969014,0.831473468226516,0.69102271671611,0.68080814812741,0.680971699310128,0.665339505238031,0.482537780528468,0.556089889741215,0.579526323409862,0.164056190970826,0.196277042632843,0.204156641499332,0.207957565921349,0.165434336472705,0.208935975627879,0.207199866469693,0.210869744813335,0.197292178998211,0.228229626680193,0.196404158570657,0.235961326721027,0.228127417074248,0.209759050732613,0.207779080637652,0.147409859336214,0.203693552858231,0.208541192133502,0.208462672284345,0.216102850146173
"732","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2152","PstI.TP271714",1,262844,0.895231420352943,0.889178344187521,1.16056046777211,0.236896629193098,0.22732747239112,0.229350476288742,0.261238145948373,0.230769108205534,0.216376408874861,0.20141106073413,0.268842409609635,0.162134018455256,0.222679147972126,0.229321626412885,0.26705949202453,0.116081229157074,0.272523483927929,0.168392293890264,0.251442681569341,0.247794645189766,0.245159347162868,0.235246827518358,0.152666814021099,0.127282465649789,0.129068913983223,0.0690938721795645,0.579566628505644,0.592478407807544,0.589724979160833,0.547976398943928,0.58780177311297,0.607608150832272,0.628910635683324,0.538465137375208,0.688439818677363,0.598853858371473,0.589764155476114,0.540680252545342,0.765453425373866,0.533920401719328,0.678590391733444,0.560476384472292,0.56520416668901,0.568644251072133,0.58177247842924,0.703611916241558
"2601","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3991","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","NsiI.TP148773",1,285352,0.546087087220311,0.33713518683068,0.106008541324051,0.829515479576764,0.822926358936092,0.77846711026708,0.790254544881902,0.831780988864336,0.730460653687532,0.696371476142917,0.778484293483417,0.868723783178367,0.749540906666346,0.771402329940616,0.700216517431829,0.782402008371414,0.876054557796856,0.71896690973609,0.97778627137696,0.790298743372326,0.752206993560168,0.760936002207905,0.808301245551473,0.284389077697775,0.460113327587943,0.783414235108671,0.148075947555368,0.150339686769147,0.166545495025881,0.162085981472746,0.147305516476318,0.186011307854613,0.201200253633607,0.16653890564753,0.135293277208727,0.178016022574225,0.169276889456113,0.199426782524098,0.165043335329458,0.13302872915103,0.190999878184286,0.105247970148374,0.162069486694502,0.176926548950262,0.173405951056476,0.155488672036651
"703","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2603","PstI.TP425356",1,569039,0.0016888340734402,0.321358419673494,0.11302589355087,0.642574327037104,0.609144177968576,0.67824815099564,0.704528118284075,0.636244459385958,0.608172126315091,0.658262199117621,0.73499385008481,0.685655715450168,0.612166863201248,0.701398579333709,0.775621676828186,0.67485388354976,0.463880712238477,0.599311870388175,0.885952443859268,0.689859366195238,0.707282033664229,0.719879429000353,0.64442781343676,0.99611886697904,0.477135335244637,0.770857507547615,0.227732845665598,0.245955094185445,0.209774091548814,0.197456703243808,0.231076372161885,0.246506215199145,0.219653334661696,0.184079806827919,0.206226411390915,0.24424919261516,0.198884721109,0.167640259013663,0.211420023347282,0.343652325998342,0.251586961254835,0.130031195707664,0.204239920997008,0.196208567180208,0.190598979490832,0.22676299615337
"4184","PstI.TP999740",1,569491,0.251349659260979,0.340190109448852,0.488163341725852,0.645192460291962,0.657468648601942,0.575880709975065,0.517599106383716,0.66497322571776,0.618162849472167,0.606092621527085,0.508830790193952,0.722447013892098,0.630466242922818,0.566441696456173,0.519496759281118,0.630078943133311,0.697470840693325,0.491336557872633,0.490435534314415,0.549929678921725,0.544415913482351,0.572994164428099,0.628419787637141,0.560596446764758,0.456888146162881,0.32496505236981,0.226364093877,0.220055056002419,0.265533481705778,0.303669303684256,0.216285185957065,0.240900194436245,0.247689375677549,0.309862635078312,0.189475466984078,0.234171348607219,0.271367793589665,0.302345313152812,0.234380273588061,0.200691583340583,0.32259931592436,0.323269302138667,0.281883932152837,0.285485520695901,0.267304232582675,0.235277400071696
"940","NsiI.TP802651",1,754114,0.129814932431904,0.145511940733078,0.296423743743149,0.225739953935111,0.262539394499472,0.269792565359365,0.286516633101024,0.225904239269955,0.254135694189102,0.318445602725226,0.274122910854546,0.2219556108958,0.207149743555291,0.307726939758126,0.200631826281833,0.16850213169181,0.384612979625232,0.500028073424095,0.394228791226148,0.277212928223907,0.287612138697428,0.259959826113771,0.23836570039168,0.741626205985277,0.715299726958011,0.505331366527004,0.594648114358762,0.54633698984981,0.537288363309622,0.51699145726621,0.594423212838074,0.557011684878217,0.480346241930082,0.53195768717879,0.599852383848313,0.620654997178768,0.492349000081782,0.630040073822977,0.678418790538086,0.412464922388532,0.316207325256866,0.403432804028864,0.528186226311099,0.515688992395979,0.549591710823343,0.577609462898635
"707","NsiI.TP585976",1,829048,0.431322285900061,0.67448858776177,0.0598291575411343,0.157862601069296,0.125228364708688,0.176392493831475,0.160782148073816,0.11563287692919,0.140300240461563,0.162403038457683,0.148031316100551,0.108324537337309,0.248022978960161,0.136291879538794,0.0821757462315438,0.194718762510138,0.161968885699806,0.0758036331183516,0.030876120762924,0.164849607022982,0.152615863037565,0.126787920763392,0.174240156280297,0.370405745104314,0.211597928747273,0.87130627640104,0.695244239116066,0.749499996733108,0.666204414529074,0.690586130579085,0.766244063926041,0.723935309411367,0.688013502572263,0.711162231327985,0.779247580788097,0.564907084216524,0.730647866460771,0.827607187598452,0.638676942408918,0.68870163545112,0.839839635396175,0.931373504874275,0.684148521853975,0.703694468112837,0.746813361113148,0.669514278845859
"1396","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3328","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1640","PstI.TP1246584",1,1015480,0.971986509194066,0.73145500485018,0.963000369849549,0.026817910999941,0.033175160934855,0.00452558304832595,0.0152611791806796,0.0341448863394716,0.0474930506259203,0.0199106798989594,0.0247797721979651,0.0209257418570148,0.0186586350315558,0.00413891646773351,0.0760949844097996,0.0805616705510971,0.0222530869990858,0.0402528432550036,0.0921382910339965,0.0126881167316767,0.0106235844365231,0.0225768017014401,0.0674131018027178,0.106662925419735,0.18558590760523,0.108892916599001,0.940117396057072,0.926456087007206,0.989633565663379,0.965470082930784,0.924389733942997,0.896410529770835,0.955189016807779,0.944539724587791,0.952959092464932,0.957946742554863,0.99051506114619,0.839276408565146,0.830688751118435,0.950050985958983,0.911480027461648,0.808838302316005,0.971207177420205,0.97583505570086,0.949343100194363,0.856223016667374
"2410","PstI.TP354591",1,1050082,0.690599699621723,0.447167506077052,0.457873679089182,0.0358412192383246,0.0570857177826184,0.0178847026472174,0.0358605779159435,0.0551712574893204,0.068549378260525,0.0424944037458228,0.061090663098479,0.072121802472121,0.0688158688229687,0.00106741137540665,0.0865182372034176,0.0105816662636582,0.0433077495165016,0.125868827765394,0.112071705090693,0.0304898114918809,0.0552290101329034,0.0366612099102528,0.0148515855679515,0.203892053728683,0.357135065662425,0.34843864878239,0.920786155361876,0.876827742390237,0.959655368894151,0.920745112231449,0.880701513144368,0.853985745729011,0.906787649239562,0.868779044475956,0.846989833586008,0.853461886130926,0.997545212409884,0.819373214753808,0.97592924800219,0.905091008510814,0.748395508189253,0.772553020597184,0.932202339465193,0.880584404912556,0.91904926081931,0.966381070598768
