Name,Chromosome,Position,P.value,maf,effect
PstI.TP863331,1,161269,0.697376521773981,0.0732758620689655,0.16596666112382
PstI.TP271714,1,262844,0.272860720173415,0.0732758620689655,-0.471687246318358
NsiI.TP148773,1,285352,0.44374245597962,0.129310344827586,0.258479248416214
PstI.TP425356,1,569039,0.72613714820909,0.0517241379310345,0.189687898255389
PstI.TP999740,1,569491,0.514957821656186,0.103448275862069,0.26473662121215
PstI.TP1246584,1,1015480,0.072037737736055,0.435344827586207,-0.362950059580238
PstI.TP354591,1,1050082,0.0996626089027441,0.323275862068966,0.47561645094983
PstI.TP856852,1,1153760,0.187760228725602,0.185344827586207,0.559581819006183
PstI.TP775725,1,1175417,0.883450539821338,0.0560344827586207,-0.0735716438160852
PstI.TP329515,1,1537490,0.51751967115115,0.254310344827586,-0.175224375803925
PstI.TP417865,1,2030761,0.672098167747882,0.362068965517241,0.154081719222372
PstI.TP885267,1,2084430,0.984742907567317,0.0775862068965517,-0.012078244386073
PstI.TP1294018,1,2280325,0.825085215780619,0.0905172413793103,0.0902048791988472
PstI.TP441536,1,2816855,0.84338523727263,0.379310344827586,0.0407489387625742
PstI.TP1085601,1,2820903,0.268882597897781,0.0517241379310345,0.56988483514287
PstI.TP525202,1,2884119,0.563235447547818,0.0732758620689655,-0.249485910166511
PstI.TP1268585,1,2988383,0.105887281421347,0.379310344827586,-0.702831508599272
PstI.TP849876,1,3050119,0.710254247186523,0.0948275862068965,0.125781700738934
PstI.TP626124,1,3342723,0.60067066613809,0.0603448275862069,0.38001758185121
PstI.TP1059573,1,3357749,0.800289535246956,0.163793103448276,-0.110644066041038
PstI.TP1244443,1,3397749,0.443771364684447,0.137931034482759,-0.261589544578303
PstI.TP726521,1,3535515,0.720730372697837,0.0689655172413793,0.193371781529761
PstI.TP374511,1,3576636,0.16660006530189,0.133620689655172,0.534950167498732
PstI.TP1267977,1,3576713,0.906392174971028,0.116379310344828,-0.0439253150452175
PstI.TP961085,1,3705536,0.571974480814302,0.366379310344828,0.133154832341341
PstI.TP21889,1,3705780,0.160272193422448,0.224137931034483,0.3671698392543
PstI.TP1053336,1,3955998,0.279126834986348,0.0775862068965517,-0.544302408374709
PstI.TP891020,1,4033768,0.651069177220635,0.0689655172413793,0.184142450545959
PstI.TP629259,1,4276027,0.138356425048994,0.375,0.382623401574401
PstI.TP140451,1,4460094,0.956241513076543,0.211206896551724,-0.0166233433461632
NsiI.TP39399,1,4465777,0.607789040630483,0.0905172413793103,0.187798427083946
NsiI.TP468762,1,4620729,0.478141190814999,0.0818965517241379,-0.382915891724586
PstI.TP307588,1,4762662,0.49627211080322,0.0689655172413793,0.354200836407922
PstI.TP920636,1,4777048,0.0890116770170986,0.103448275862069,-0.660101042346356
PstI.TP683907,1,4900973,0.289440757440484,0.181034482758621,-0.315301591603246
PstI.TP402429,1,4990016,0.670660898698217,0.0689655172413793,-0.19112558776835
PstI.TP684655,1,5379329,0.505469983679925,0.370689655172414,-0.165459317141588
PstI.TP9547,1,5534818,0.812158367317574,0.310344827586207,-0.0759007190250203
PstI.TP476949,1,5536792,0.188461285294287,0.487068965517241,-0.278967665082668
PstI.TP291849,1,5571398,0.418441715015996,0.15948275862069,-0.245745842974801
PstI.TP677745,1,5751851,0.077040972537817,0.21551724137931,0.478847610231395
PstI.TP356699,1,5752437,0.455959395778055,0.0517241379310345,0.507644102176834
PstI.TP705967,1,5858828,0.0779749472098189,0.0775862068965517,-0.897820576999466
PstI.TP1252197,1,5912854,0.130772472542808,0.0862068965517241,0.599971811046555
PstI.TP116123,1,5967108,0.498410221387928,0.0560344827586207,0.331252613350859
PstI.TP523933,1,6018181,0.0708124525225123,0.258620689655172,-0.425001809220228
NsiI.TP488601,1,6409370,0.217257466133096,0.318965517241379,0.294597608355064
PstI.TP1015835,1,6514843,0.436698019064381,0.193965517241379,-0.260304773169645
PstI.TP547229,1,6574881,0.889396546463036,0.0560344827586207,0.0660402658808663
PstI.TP1129801,1,6608649,0.0843984193437729,0.202586206896552,0.44886613747
PstI.TP272307,1,6679965,0.616534816733171,0.280172413793103,-0.146599254145431
PstI.TP1245357,1,6748280,0.317639772615447,0.0732758620689655,-0.471652759899764
PstI.TP444825,1,6930877,0.98359964474872,0.0560344827586207,-0.0135294215476252
PstI.TP806450,1,7007771,0.11668503288247,0.469827586206897,-0.506649876002052
PstI.TP443586,1,7215893,0.051126865291446,0.34051724137931,0.449019981649089
