X.1,SNP,Chromosome,Position,P.value,MAF,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P.values,effect,Adj.P.P.value,Ind.SNP,PS,Software,Method,Trait.name,PVE,QTN.effect,LOD.score,Genotype.for.code.1,Var_error,Var_phen..total.,X,P.value.1,MAF.1,PVE.1
123,NsiI.TP127922,4,54754163,1.56E-07,0.18496851,124,0.47753826,0.619571613,0.004101409,-0.434602735,0.004101409,124+36088im,PS_Y,GAPIT,GLM,CmN,14.20333528,NA,NA,NA,NA,NA,NA,2.00E-07,0.185,14.2
124,NsiI.TP352026,6,555824,5.48E-07,0.066569213,124,0.47753826,0.60563677,0.007189468,-0.569678557,0.007189468,124+36088im,PS_Y,GAPIT,GLM,CmN,12.80985106,NA,NA,NA,NA,NA,NA,5.00E-07,0.06657,12.81
125,PstI.TP116046,7,62490129,1.51E-06,0.162908485,124,0.47753826,0.594636252,0.009464894,-0.403886283,0.009464894,124+36088im,PS_Y,GAPIT,GLM,CmN,11.70979919,NA,NA,NA,NA,NA,NA,2.00E-06,0.1629,11.71
126,PstI.TP320216,11,2535,1.79E-06,0.338957692,124,0.47753826,0.592795303,0.009464894,0.344150068,0.009464894,124+36088im,PS_Y,GAPIT,GLM,CmN,11.5257043,NA,NA,NA,NA,NA,NA,2.00E-06,0.339,11.53
127,NsiI.TP370880,3,68111215,1.82E-06,0.053943635,124,0.47753826,0.592629773,0.009464894,-0.686194287,0.009464894,124+36088im,PS_Y,GAPIT,GLM,CmN,11.50915134,NA,NA,NA,NA,NA,NA,2.00E-06,0.05394,11.51
128,NsiI.TP122100,11,10465,2.16E-06,0.14208159,124,0.47753826,0.590765873,0.009464894,0.341936023,0.009464894,124+36088im,PS_Y,GAPIT,GLM,CmN,11.32276128,NA,NA,NA,NA,NA,NA,2.00E-06,0.1421,11.32
129,NsiI.TP826891,11,19276,2.91E-06,0.33190849,124,0.47753826,0.587598267,0.010923794,-0.338717617,0.010923794,124+36088im,PS_Y,GAPIT,GLM,CmN,11.00600072,NA,NA,NA,NA,NA,NA,3.00E-06,0.3319,11.01
130,PstI.TP1294713,10,4269426,4.27E-06,0.164707012,124,0.47753826,0.583566111,0.013995324,-0.361898281,0.013995324,124+36088im,PS_Y,GAPIT,GLM,CmN,10.60278515,NA,NA,NA,NA,NA,NA,4.00E-06,0.1647,10.6
131,PstI.TP107240,8,62622087,7.23E-06,0.05679916,124,0.47753826,0.578039401,0.021082833,0.690435496,0.021082833,124+36088im,PS_Y,GAPIT,GLM,CmN,10.05011416,NA,NA,NA,NA,NA,NA,7.00E-06,0.0568,10.05
132,PstI.TP698973,11,4833,8.90E-06,0.165640455,124,0.47753826,0.575880099,0.021879847,0.347141352,0.021879847,124+36088im,PS_Y,GAPIT,GLM,CmN,9.834183934,NA,NA,NA,NA,NA,NA,9.00E-06,0.1656,9.834
