SNP,Gene,chr,start,end,width,strand
NsiI.TP211798,Sobic.001G444100,Chr01,72126363,72130476,4114,+
NsiI.TP211798,Sobic.001G444200,Chr01,72130897,72132804,1908,-
NsiI.TP218789,Sobic.003G194500,Chr03,51790405,51796572,6168,+
NsiI.TP250072,Sobic.009G050900,Chr09,5048810,5056136,7327,+
NsiI.TP257077,Sobic.001G079500,Chr01,6104059,6105842,1784,+
NsiI.TP257077,Sobic.001G079401,Chr01,6101772,6103638,1867,-
NsiI.TP296881,Sobic.010G087300,Chr10,7481503,7488404,6902,-
NsiI.TP296932,Sobic.009G142000,Chr09,49932745,49941367,8623,+
NsiI.TP346008,Sobic.004G350700,Chr04,67934120,67938364,4245,-
NsiI.TP39740,Sobic.002G001300,Chr02,184995,187169,2175,-
NsiI.TP404457,Sobic.001G494950,Chr01,76400530,76402484,1955,-
NsiI.TP404457,Sobic.001G495000,Chr01,76403349,76412452,9104,-
NsiI.TP441693,Sobic.003G029900,Chr03,2655907,2661093,5187,+
NsiI.TP482264,Sobic.001G376600,Chr01,66519811,66521335,1525,+
NsiI.TP647736,Sobic.006G215400,Chr06,56339325,56347787,8463,-
NsiI.TP648509,Sobic.010G146000,Chr10,41350269,41353669,3401,-
NsiI.TP762935,Sobic.006G018800,Chr06,3178404,3183167,4764,+
PstI.TP1016611,Sobic.001G150200,Chr01,12063885,12067646,3762,+
PstI.TP1025634,Sobic.002G347300,Chr02,71274474,71279160,4687,+
PstI.TP1040729,Sobic.004G197300,Chr04,54843306,54844272,967,-
PstI.TP1040729,Sobic.004G197400,Chr04,54844528,54853373,8846,-
PstI.TP1280049,Sobic.003G049600,Chr03,4541987,4548948,6962,+
PstI.TP134129,Sobic.009G158000,Chr09,51568670,51573600,4931,+
PstI.TP148994,Sobic.006G110600,Chr06,47929464,47932464,3001,+
PstI.TP148994,Sobic.006G110500,Chr06,47927268,47929907,2640,-
PstI.TP150197,Sobic.001G258200,Chr01,30649723,30655105,5383,+
PstI.TP150197,Sobic.001G258200,Chr01,30649854,30655094,5241,+
PstI.TP161086,Sobic.008G185200,Chr08,61950585,61955905,5321,+
PstI.TP188641,Sobic.003G071600,Chr03,6087430,6092352,4923,+
PstI.TP298201,Sobic.006G009200,Chr06,1374025,1379411,5387,-
PstI.TP326891,Sobic.001G467200,Chr01,74033170,74037753,4584,+
PstI.TP426528,Sobic.002G401700,Chr02,75226896,75229771,2876,+
PstI.TP434866,Sobic.006G022200,Chr06,3913531,3923044,9514,+
PstI.TP457393,Sobic.001G313800,Chr01,60096593,60097417,825,+
PstI.TP476886,Sobic.002G175400,Chr02,55392886,55396332,3447,+
PstI.TP504809,Sobic.004G063900,Chr04,5155109,5156644,1536,+
PstI.TP548121,Sobic.009G247100,Chr09,58252379,58255448,3070,+
PstI.TP648736,Sobic.004G254800,Chr04,60108846,60115112,6267,-
PstI.TP65527,Sobic.010G265900,Chr10,60136399,60140204,3806,-
PstI.TP663427,Sobic.001G425300,Chr01,70526724,70529971,3248,-
PstI.TP697156,Sobic.004G105100,Chr04,9913834,9917972,4139,+
PstI.TP710636,Sobic.006G089266,Chr06,45890642,45893572,2931,+
PstI.TP710636,Sobic.006G089300,Chr06,45893609,45897184,3576,-
PstI.TP710636,Sobic.006G089300,Chr06,45893609,45897801,4193,-
PstI.TP714069,Sobic.004G281800,Chr04,62405460,62410611,5152,+
PstI.TP744556,Sobic.001G491200,Chr01,76097084,76103065,5982,-
PstI.TP75301,Sobic.006G077000,Chr06,44312344,44314731,2388,+
PstI.TP754866,Sobic.001G407900,Chr01,69199763,69205422,5660,-
PstI.TP770722,Sobic.001G374800,Chr01,66343883,66347659,3777,+
PstI.TP770722,Sobic.001G374900,Chr01,66348484,66349434,951,+
PstI.TP774963,Sobic.006G013300,Chr06,1909956,1914230,4275,+
PstI.TP788586,Sobic.006G231266,Chr06,57439537,57442937,3401,+
PstI.TP788586,Sobic.006G231400,Chr06,57443138,57445069,1932,+
PstI.TP790069,Sobic.002G007400,Chr02,698947,700577,1631,-
PstI.TP838455,Sobic.002G261600,Chr02,64673010,64686425,13416,-
PstI.TP838455,Sobic.002G261600,Chr02,64674724,64686425,11702,-
PstI.TP838455,Sobic.002G261600,Chr02,64678962,64686425,7464,-
PstI.TP852023,Sobic.004G162200,Chr04,51111914,51121956,10043,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66712581,4852,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66712585,4856,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713706,5977,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713724,5995,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713729,6000,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713733,6004,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713758,6029,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713904,6175,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66713951,6222,-
PstI.TP940999,Sobic.003G346200,Chr03,66707730,66714083,6354,-
PstI.TP969142,Sobic.001G425800,Chr01,70551663,70557840,6178,-
PstI.TP969142,Sobic.001G425800,Chr01,70551947,70557834,5888,-
PstI.TP969142,Sobic.001G425900,Chr01,70559102,70564400,5299,-
PstI.TP976305,Sobic.009G238100,Chr09,57616677,57620928,4252,+
PstI.TP980214,Sobic.001G135500,Chr01,10677948,10687148,9201,+
PstI.TP980214,Sobic.001G135600,Chr01,10687166,10691438,4273,-
PstI.TP995173,Sobic.002G333400,Chr02,70168822,70173890,5069,-
GFSSContig18221_1150,Sobic.007G053100,Chr07,5393317,5400889,7573,+
NsiI.TP361622,Sobic.001G413100,Chr01,69531328,69535760,4433,-
NsiI.TP390222,Sobic.004G237000,Chr04,58488864,58490438,1575,+
NsiI.TP471487,Sobic.010G188500,Chr10,52896453,52900041,3589,+
NsiI.TP750593,Sobic.004G266300,Chr04,61075033,61085127,10095,-
NsiI.TP750593,Sobic.004G266300,Chr04,61075045,61085127,10083,-
NsiI.TP750593,Sobic.004G266300,Chr04,61075777,61085127,9351,-
PstI.TP1082141,Sobic.002G187500,Chr02,57174223,57176527,2305,+
PstI.TP110898,Sobic.010G104900,Chr10,9875884,9881144,5261,-
PstI.TP110898,Sobic.010G104900,Chr10,9876675,9881144,4470,-
PstI.TP1145813,Sobic.005G206500,Chr05,69260461,69264619,4159,-
PstI.TP1158211,Sobic.003G281200,Chr03,61615956,61622310,6355,+
PstI.TP1158211,Sobic.003G281300,Chr03,61620333,61624955,4623,+
PstI.TP1214992,Sobic.003G220200,Chr03,55538595,55546807,8213,+
PstI.TP1214992,Sobic.003G220266,Chr03,55546852,55547957,1106,+
PstI.TP1268585,Sobic.001G040200,Chr01,2987435,2989263,1829,-
PstI.TP197493,Sobic.007G033700,Chr07,2950375,2954296,3922,-
PstI.TP258621,Sobic.001G470800,Chr01,74358530,74362956,4427,+
PstI.TP292268,Sobic.005G037700,Chr05,3448722,3450155,1434,+
PstI.TP308053,Sobic.001G107500,Chr01,8331250,8334555,3306,-
PstI.TP315072,Sobic.008G034000,Chr08,3138888,3140962,2075,-
PstI.TP387329,Sobic.009G214600,Chr09,55959390,55962236,2847,+
PstI.TP392482,Sobic.001G196000,Chr01,17610486,17622072,11587,+
PstI.TP393536,Sobic.001G378200,Chr01,66631252,66633147,1896,-
PstI.TP458366,Sobic.008G109200,Chr08,50729348,50731114,1767,-
PstI.TP537292,Sobic.001G514400,Chr01,78160422,78162432,2011,+
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168567,5862,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168571,5866,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168572,5867,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168589,5884,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168595,5890,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168598,5893,-
PstI.TP537292,Sobic.001G514500,Chr01,78162706,78168624,5919,-
PstI.TP55941,Sobic.006G150100,Chr06,51145123,51147729,2607,+
PstI.TP584552,Sobic.002G200900,Chr02,59072224,59080793,8570,+
PstI.TP584552,Sobic.002G200900,Chr02,59072224,59081085,8862,+
PstI.TP651320,Sobic.005G111000,Chr05,35459895,35482244,22350,-
PstI.TP651320,Sobic.005G111000,Chr05,35464510,35482244,17735,-
PstI.TP704244,Sobic.003G188100,Chr03,50686166,50690141,3976,+
PstI.TP704244,Sobic.003G188100,Chr03,50686717,50690141,3425,+
PstI.TP770895,Sobic.001G161200,Chr01,13263107,13265447,2341,+
PstI.TP773172,Sobic.003G215600,Chr03,55053821,55062277,8457,-
PstI.TP814417,Sobic.007G211000,Chr07,63992583,63995898,3316,-
PstI.TP814417,Sobic.007G211000,Chr07,63992584,63995898,3315,-
PstI.TP814417,Sobic.007G211000,Chr07,63992606,63995903,3298,-
PstI.TP814417,Sobic.007G211000,Chr07,63992668,63995898,3231,-
PstI.TP898259,Sobic.001G530700,Chr01,79440237,79444075,3839,-
PstI.TP942675,Sobic.003G319800,Chr03,64752392,64755562,3171,-
PstI.TP942675,Sobic.003G319800,Chr03,64753262,64755562,2301,-
PstI.TP982503,Sobic.004G207200,Chr04,55759003,55765496,6494,+
PstI.TP993272,Sobic.002G194700,Chr02,58285421,58290186,4766,+
NsiI.TP128897,Sobic.006G213300,Chr06,56185793,56191223,5431,-
NsiI.TP438910,Sobic.004G344200,Chr04,67442362,67451137,8776,+
NsiI.TP438910,Sobic.004G344200,Chr04,67442362,67451589,9228,+
NsiI.TP438910,Sobic.004G344200,Chr04,67442362,67451659,9298,+
NsiI.TP51047,Sobic.002G110500,Chr02,13452892,13457488,4597,+
NsiI.TP575629,Sobic.004G124700,Chr04,14231927,14235182,3256,+
NsiI.TP575629,Sobic.004G124800,Chr04,14235238,14239251,4014,-
NsiI.TP701217,Sobic.008G169400,Chr08,60367853,60373737,5885,-
NsiI.TP713636,Sobic.005G148100,Chr05,61641003,61642030,1028,-
NsiI.TP717578,Sobic.010G237900,Chr10,58017656,58025166,7511,+
PstI.TP1012416,Sobic.002G204600,Chr02,59609992,59611962,1971,+
PstI.TP1064534,Sobic.003G021800,Chr03,1869800,1871472,1673,+
PstI.TP108652,Sobic.002G121300,Chr02,15956504,15964911,8408,+
PstI.TP10996,Sobic.006G239000,Chr06,57969070,57983024,13955,+
PstI.TP1132955,Sobic.004G297300,Chr04,63678188,63683509,5322,-
PstI.TP1132955,Sobic.004G297400,Chr04,63683622,63687079,3458,-
PstI.TP1132955,Sobic.004G297400,Chr04,63683622,63687275,3654,-
PstI.TP1132955,Sobic.004G297400,Chr04,63683851,63687124,3274,-
PstI.TP1132955,Sobic.004G297400,Chr04,63683856,63687274,3419,-
PstI.TP1155086,Sobic.009G142800,Chr09,50005037,50008259,3223,+
PstI.TP1155086,Sobic.009G142800,Chr09,50005042,50008255,3214,+
PstI.TP1155086,Sobic.009G142800,Chr09,50005632,50008255,2624,+
PstI.TP137261,Sobic.001G072900,Chr01,5539713,5545111,5399,+
PstI.TP14229,Sobic.009G240400,Chr09,57788800,57789692,893,+
PstI.TP197570,Sobic.005G118400,Chr05,51808626,51820846,12221,-
PstI.TP346744,Sobic.003G195900,Chr03,51991307,52014851,23545,-
PstI.TP371473,Sobic.010G262300,Chr10,59880031,59884762,4732,-
PstI.TP376790,Sobic.001G254700,Chr01,28682631,28683824,1194,+
PstI.TP384804,Sobic.002G265166,Chr02,65028763,65029198,436,-
PstI.TP39944,Sobic.004G041100,Chr04,3371442,3376139,4698,-
PstI.TP446073,Sobic.007G085300,Chr07,10754655,10756113,1459,-
PstI.TP452173,Sobic.002G098500,Chr02,10523637,10527896,4260,-
PstI.TP454285,Sobic.002G242200,Chr02,63150942,63153974,3033,-
PstI.TP459121,Sobic.001G514400,Chr01,78160422,78162432,2011,+
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168567,5862,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168571,5866,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168572,5867,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168589,5884,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168595,5890,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168598,5893,-
PstI.TP459121,Sobic.001G514500,Chr01,78162706,78168624,5919,-
PstI.TP474390,Sobic.007G092100,Chr07,15563546,15569734,6189,-
PstI.TP478050,Sobic.003G304200,Chr03,63458669,63463023,4355,-
PstI.TP510424,Sobic.010G083050,Chr10,7091012,7092894,1883,-
PstI.TP5429,Sobic.002G393266,Chr02,74604422,74609738,5317,+
PstI.TP57846,Sobic.004G051900,Chr04,4197276,4203457,6182,+
PstI.TP57846,Sobic.004G051900,Chr04,4197618,4203457,5840,+
PstI.TP631692,Sobic.002G235700,Chr02,62657766,62663108,5343,+
PstI.TP704666,Sobic.004G268200,Chr04,61216506,61221364,4859,+
PstI.TP704666,Sobic.004G268200,Chr04,61216768,61221364,4597,+
PstI.TP723544,Sobic.009G021700,Chr09,1942720,1944208,1489,-
PstI.TP742466,Sobic.005G222000,Chr05,70846703,70855117,8415,-
PstI.TP745785,Sobic.006G086900,Chr06,45613551,45616219,2669,+
PstI.TP745785,Sobic.006G086900,Chr06,45613551,45616999,3449,+
PstI.TP761935,Sobic.001G230400,Chr01,22258421,22262314,3894,+
PstI.TP761935,Sobic.001G230400,Chr01,22258421,22262315,3895,+
PstI.TP789647,Sobic.003G379700,Chr03,69351545,69356137,4593,-
PstI.TP789647,Sobic.003G379700,Chr03,69351545,69356140,4596,-
PstI.TP882936,Sobic.001G078300,Chr01,5995283,6000823,5541,+
PstI.TP882936,Sobic.001G078300,Chr01,5995409,6000823,5415,+
PstI.TP887302,Sobic.007G084300,Chr07,10262034,10270154,8121,-
PstI.TP94792,Sobic.001G007500,Chr01,728051,731978,3928,+
PstI.TP94792,Sobic.001G007600,Chr01,732601,736502,3902,+
PstI.TP998491,Sobic.002G117600,Chr02,14518039,14538095,20057,-
GFSSContig17265_1038,Sobic.006G136800,Chr06,49923688,49929393,5706,+
NsiI.TP41841,Sobic.002G393600,Chr02,74626329,74631459,5131,+
NsiI.TP471156,Sobic.006G071096,Chr06,43353433,43354267,835,+
NsiI.TP488716,Sobic.005G054800,Chr05,5554693,5556369,1677,+
NsiI.TP576208,Sobic.001G216300,Chr01,19995777,20001079,5303,+
NsiI.TP741199,Sobic.002G204100,Chr02,59553871,59556229,2359,+
NsiI.TP741199,Sobic.002G204100,Chr02,59553903,59555950,2048,+
NsiI.TP741199,Sobic.002G204050,Chr02,59554397,59555205,809,-
NsiI.TP741991,Sobic.002G276800,Chr02,65958977,65962368,3392,+
NsiI.TP766057,Sobic.007G183900,Chr07,61707868,61716228,8361,-
NsiI.TP769756,Sobic.001G119800,Chr01,9317229,9322526,5298,+
NsiI.TP832364,Sobic.001G492800,Chr01,76202998,76206852,3855,-
PstI.TP117081,Sobic.002G153700,Chr02,45970904,45987364,16461,-
PstI.TP117081,Sobic.002G153700,Chr02,45971003,45987364,16362,-
PstI.TP1181476,Sobic.005G025900,Chr05,2298782,2302410,3629,-
PstI.TP1193013,Sobic.006G277200,Chr06,60822255,60826353,4099,+
PstI.TP1248844,Sobic.008G012300,Chr08,1026398,1029238,2841,-
PstI.TP126085,Sobic.006G273400,Chr06,60495764,60503240,7477,+
PstI.TP139651,Sobic.002G320700,Chr02,69217722,69224768,7047,+
PstI.TP139651,Sobic.002G320900,Chr02,69223562,69233455,9894,-
PstI.TP18098,Sobic.002G143000,Chr02,23766685,23770440,3756,-
PstI.TP217994,Sobic.004G266400,Chr04,61087870,61092609,4740,+
PstI.TP262331,Sobic.002G049600,Chr02,4689667,4692813,3147,-
PstI.TP290055,Sobic.008G084200,Chr08,16103148,16104134,987,+
PstI.TP299726,Sobic.009G032800,Chr09,2969346,2970974,1629,-
PstI.TP651715,Sobic.010G250400,Chr10,58950659,58957087,6429,+
PstI.TP736503,Sobic.001G040000,Chr01,2977629,2979955,2327,-
PstI.TP774504,Sobic.004G088900,Chr04,7548556,7550015,1460,-
PstI.TP840679,Sobic.006G129000,Chr06,49383922,49388815,4894,+
PstI.TP84880,Sobic.001G347500,Chr01,63678651,63687351,8701,-
PstI.TP906726,Sobic.003G040000,Chr03,3716333,3721053,4721,+
PstI.TP961110,Sobic.001G362001,Chr01,65183625,65185565,1941,-
PstI.TP96720,Sobic.006G051000,Chr06,38026481,38032158,5678,+
PstI.TP96720,Sobic.006G050900,Chr06,38024503,38025888,1386,-
NsiI.TP127922,Sobic.004G196500,Chr04,54753647,54755468,1822,+
NsiI.TP46196,Sobic.001G297600,Chr01,57777901,57781542,3642,-
NsiI.TP488601,Sobic.001G082900,Chr01,6405202,6408722,3521,+
NsiI.TP488601,Sobic.001G083000,Chr01,6408709,6412370,3662,-
NsiI.TP571832,Sobic.002G250900,Chr02,63803062,63803858,797,+
NsiI.TP608372,Sobic.009G001300,Chr09,145958,153440,7483,-
NsiI.TP608372,Sobic.009G001300,Chr09,145958,153464,7507,-
NsiI.TP717913,Sobic.004G222000,Chr04,57220820,57224296,3477,+
NsiI.TP89701,Sobic.004G290600,Chr04,63139321,63163626,24306,+
PstI.TP1083673,Sobic.007G137000,Chr07,56445832,56450594,4763,+
PstI.TP1148558,Sobic.002G229300,Chr02,62048550,62052330,3781,-
PstI.TP1249212,Sobic.003G246100,Chr03,58494624,58499601,4978,+
PstI.TP134453,Sobic.002G226700,Chr02,61861317,61863067,1751,-
PstI.TP139937,Sobic.002G281300,Chr02,66296138,66299132,2995,-
PstI.TP160694,Sobic.009G210600,Chr09,55686020,55691500,5481,+
PstI.TP226277,Sobic.010G276600,Chr10,60972238,60979018,6781,+
PstI.TP226277,Sobic.010G276700,Chr10,60979154,60983631,4478,-
PstI.TP350262,Sobic.008G032600,Chr08,2903619,2906189,2571,-
PstI.TP374511,Sobic.001G048900,Chr01,3574706,3578692,3987,+
PstI.TP374511,Sobic.001G048900,Chr01,3574708,3578692,3985,+
PstI.TP402429,Sobic.001G065600,Chr01,4988890,4994406,5517,-
PstI.TP577552,Sobic.002G221400,Chr02,61333318,61336713,3396,+
PstI.TP577552,Sobic.002G221400,Chr02,61333318,61337308,3991,+
PstI.TP701332,Sobic.003G264100,Chr03,60121128,60128012,6885,+
PstI.TP805461,Sobic.001G434800,Chr01,71342270,71343480,1211,+
PstI.TP844985,Sobic.002G197000,Chr02,58634152,58637918,3767,-
PstI.TP955356,Sobic.003G361200,Chr03,67880581,67884692,4112,+
NsiI.TP164112,Sobic.002G409000,Chr02,75773614,75775575,1962,-
NsiI.TP195403,Sobic.001G482800,Chr01,75429377,75432763,3387,+
NsiI.TP249634,Sobic.009G052800,Chr09,5341442,5342418,977,+
NsiI.TP33138,Sobic.005G000400,Chr05,56051,56996,946,+
NsiI.TP33138,Sobic.005G000500,Chr05,57205,63652,6448,-
NsiI.TP34193,Sobic.006G110200,Chr06,47901100,47909899,8800,-
NsiI.TP34193,Sobic.006G110200,Chr06,47901100,47910049,8950,-
NsiI.TP445017,Sobic.009G213500,Chr09,55898970,55902453,3484,-
NsiI.TP447144,Sobic.003G305500,Chr03,63529430,63531284,1855,-
NsiI.TP520698,Sobic.001G041700,Chr01,3099655,3112212,12558,-
NsiI.TP520698,Sobic.001G041700,Chr01,3100225,3112212,11988,-
NsiI.TP520698,Sobic.001G041800,Chr01,3112405,3122688,10284,-
NsiI.TP586300,Sobic.003G238900,Chr03,57848714,57850409,1696,+
NsiI.TP635575,Sobic.005G112400,Chr05,38567082,38568601,1520,+
NsiI.TP696486,Sobic.004G107200,Chr04,10244892,10256539,11648,-
NsiI.TP696486,Sobic.004G107200,Chr04,10245914,10256539,10626,-
NsiI.TP758763,Sobic.001G296100,Chr01,57496306,57500534,4229,-
NsiI.TP764847,Sobic.010G108100,Chr10,10692185,10693666,1482,+
PstI.TP1051083,Sobic.001G160200,Chr01,13149779,13157433,7655,+
PstI.TP105605,Sobic.003G214400,Chr03,54835480,54846977,11498,+
PstI.TP105605,Sobic.003G214400,Chr03,54840761,54846977,6217,+
PstI.TP105605,Sobic.003G214400,Chr03,54843692,54846977,3286,+
PstI.TP1057917,Sobic.003G307600,Chr03,63644246,63646771,2526,-
PstI.TP1066422,Sobic.003G273600,Chr03,60988316,60993620,5305,+
PstI.TP118716,Sobic.009G146250,Chr09,50320522,50325327,4806,+
PstI.TP118716,Sobic.009G146400,Chr09,50325863,50328782,2920,-
PstI.TP1246584,Sobic.001G011800,Chr01,1015540,1016301,762,+
PstI.TP15780,Sobic.009G218000,Chr09,56211082,56212337,1256,+
PstI.TP19694,Sobic.001G249600,Chr01,26926368,26928145,1778,-
PstI.TP290738,Sobic.007G163800,Chr07,59821905,59829910,8006,-
PstI.TP290738,Sobic.007G163800,Chr07,59821905,59829921,8017,-
PstI.TP485114,Sobic.009G229700,Chr09,57032871,57036097,3227,+
PstI.TP485114,Sobic.009G229600,Chr09,57023498,57032493,8996,-
PstI.TP4963,Sobic.003G326500,Chr03,65238666,65248550,9885,+
PstI.TP703969,Sobic.001G544600,Chr01,80876468,80878678,2211,-
PstI.TP738082,Sobic.010G078600,Chr10,6555565,6558034,2470,+
PstI.TP751721,Sobic.009G148000,Chr09,50511733,50514791,3059,-
PstI.TP757921,Sobic.001G249000,Chr01,26846301,26848746,2446,-
PstI.TP771967,Sobic.010G182800,Chr10,52236033,52242284,6252,-
PstI.TP795667,Sobic.008G006400,Chr08,527846,528916,1071,+
PstI.TP795667,Sobic.008G006500,Chr08,529177,532714,3538,+
PstI.TP841498,Sobic.005G206300,Chr05,69226352,69232612,6261,+
PstI.TP841498,Sobic.005G206300,Chr05,69226353,69232612,6260,+
PstI.TP841498,Sobic.005G206300,Chr05,69226419,69233717,7299,+
PstI.TP858902,Sobic.004G326400,Chr04,66140091,66144334,4244,+
PstI.TP901954,Sobic.009G035601,Chr09,3265376,3266128,753,-
PstI.TP972953,Sobic.001G104100,Chr01,7982034,7985735,3702,-
PstI.TP972953,Sobic.001G104100,Chr01,7982034,7985873,3840,-
GFSSContig15563_263,Sobic.009G255100,Chr09,58910532,58914835,4304,-
GFSSContig17477_775,Sobic.002G303700,Chr02,67951734,67955841,4108,+
GFSSContig17477_775,Sobic.002G303700,Chr02,67951936,67955841,3906,+
GFSSContig18315_975,Sobic.009G187100,Chr09,53975946,53977915,1970,-
NsiI.TP128678,Sobic.003G375200,Chr03,68999883,69007574,7692,+
NsiI.TP159695,Sobic.006G236700,Chr06,57815633,57820884,5252,-
NsiI.TP159695,Sobic.006G236700,Chr06,57815633,57822442,6810,-
NsiI.TP217838,Sobic.003G038400,Chr03,3586678,3591433,4756,-
NsiI.TP255006,Sobic.006G258600,Chr06,59461747,59465981,4235,+
NsiI.TP255006,Sobic.006G258600,Chr06,59461747,59466525,4779,+
NsiI.TP282888,Sobic.002G006900,Chr02,663961,674299,10339,+
NsiI.TP282888,Sobic.002G006900,Chr02,663961,674302,10342,+
NsiI.TP282888,Sobic.002G007000,Chr02,674662,676476,1815,-
NsiI.TP327757,Sobic.003G403300,Chr03,71114880,71120454,5575,-
NsiI.TP332475,Sobic.003G315800,Chr03,64343406,64343947,542,+
NsiI.TP332475,Sobic.003G315700,Chr03,64344076,64352994,8919,-
NsiI.TP338132,Sobic.003G253500,Chr03,59214043,59217830,3788,-
NsiI.TP352026,Sobic.006G003600,Chr06,548123,560425,12303,-
NsiI.TP358081,Sobic.006G067600,Chr06,42785485,42802516,17032,+
NsiI.TP358081,Sobic.006G067600,Chr06,42785726,42802516,16791,+
NsiI.TP358081,Sobic.006G067500,Chr06,42781244,42785442,4199,-
NsiI.TP359278,Sobic.006G175500,Chr06,53062306,53080184,17879,-
NsiI.TP370880,Sobic.003G363600,Chr03,68107429,68115976,8548,-
NsiI.TP370880,Sobic.003G363600,Chr03,68107441,68115976,8536,-
NsiI.TP370880,Sobic.003G363600,Chr03,68107457,68115976,8520,-
NsiI.TP370880,Sobic.003G363600,Chr03,68107465,68114713,7249,-
NsiI.TP370880,Sobic.003G363600,Chr03,68107465,68115976,8512,-
NsiI.TP402511,Sobic.004G231700,Chr04,58095962,58097637,1676,+
NsiI.TP409721,Sobic.002G266500,Chr02,65097219,65098349,1131,+
NsiI.TP409721,Sobic.002G266300,Chr02,65090573,65095550,4978,-
NsiI.TP409721,Sobic.002G266400,Chr02,65095981,65096349,369,-
NsiI.TP415575,Sobic.009G186300,Chr09,53920131,53923447,3317,-
NsiI.TP42003,Sobic.008G191800,Chr08,62544046,62545439,1394,-
NsiI.TP434679,Sobic.003G128575,Chr03,11840730,11841718,989,-
NsiI.TP459060,Sobic.010G006100,Chr10,495563,496714,1152,-
NsiI.TP465791,Sobic.001G475900,Chr01,74814983,74820643,5661,+
NsiI.TP465791,Sobic.001G476000,Chr01,74820847,74822682,1836,+
NsiI.TP494603,Sobic.002G220900,Chr02,61262610,61269841,7232,+
NsiI.TP494603,Sobic.002G221000,Chr02,61270216,61273127,2912,+
NsiI.TP509742,Sobic.009G125400,Chr09,47848523,47861791,13269,+
