Chrom,Start,End,Start.1,End.1,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3,
1,6103539,6103539,6103539,6103539,CS.Bcirc,Bcirc(Current Study),NsiI.TP257077,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,10687788,10687788,10687788,10687788,CS.Bcirc,Bcirc(Current Study),PstI.TP980214,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,12066190,12066190,12066190,12066190,CS.Bcirc,Bcirc(Current Study),PstI.TP1016611,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,30650620,30650620,30650620,30650620,CS.Bcirc,Bcirc(Current Study),PstI.TP150197,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,51136397,51136397,51136397,51136397,CS.Bcirc,Bcirc(Current Study),NsiI.TP30868,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,58622993,58622993,58622993,58622993,CS.Bcirc,Bcirc(Current Study),NsiI.TP224601,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,60042002,60042018,60032002,60052018,Clark..2019..BC,BC(Clark.et.al.(2019)),NsiI.TP45219,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019)_______(BC)
1,60097068,60097068,60097068,60097068,CS.Bcirc,Bcirc(Current Study),PstI.TP457393,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,66347924,66347924,66347924,66347924,CS.Bcirc,Bcirc(Current Study),PstI.TP770722,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,66520178,66520178,66520178,66520178,CS.Bcirc,Bcirc(Current Study),NsiI.TP482264,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,CS(Bcirc)
1,66564682,69825090,64370037,69825090,NA,CC/BC(Dong.et.al.(2017)),CC/BC LG1 95.5 cM,compressed circumference/basal circumference,CC/BC,CC/BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(CC/BC)
1,68808244,68828244,60318661,76221012,NA,BC(Dong.et.al.(2017)),BC LG2 91.4 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017),Dong_et_al_(2017)_______(BC)
