Chrom,Start.1,End.1,Start,End,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3
3,7812387,7812387,7802387,7822387,height(Clark(2016)),height(Clark.et.al.(2016)),UIMiscanthus041646,height,height,height(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016)
6,56833188,56833188,56823188,56843188,stem.diameter(Clark(2016)),stem.diameter(Clark.et.al.(2016)),UIMiscanthus036746,stem dimeter,stem_diameter,stem_diameter(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016)
2,71500114,71500114,71490114,71510114,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus038912,stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016)
2,53651277,53651277,53641277,53661277,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus054659,stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016)
6,49232193,49232193,49222193,49242193,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus015394(PstI.TP784444),stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016)
1,60042002,60042018,60032002,60052018,BC(Clark(2019)),BC(Clark.et.al.(2019)),NsiI.TP45219,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
1,76937565,76937584,76927565,76947584,BC(Clark(2019)),BC(Clark.et.al.(2019)),NsiI.TP674441,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
8,61280127,61280140,61270127,61290140,BC(Clark(2019)),BC(Clark.et.al.(2019)),PstI.TP22102,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
10,6028036,6028043,6018036,6038043,BC(Clark(2019)),BC(Clark.et.al.(2019)),PstI.TP1279997,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
3,52267500,52267535,52257500,52277535,CC(Clark(2019)),CC(Clark.et.al.(2019)),NsiI.TP307561,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,47759284,47759301,47749284,47769301,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP1094542,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
6,52834381,52834413,52824381,52844413,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP139094,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
10,42875084,42875099,42865084,42885099,CC(Clark(2019)),CC(Clark.et.al.(2019)),PstI.TP846172,Compressed circumference,CC,CC(Clark_et_al_(2019)),Blue,Clark_et_al_(2019)
1,78991651,78991703,78981651,79001703,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP631089,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
2,57544768,57544790,57534768,57554790,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1114827,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
2,76754510,76754522,76744510,76764522,CC/BC(Clark(2019))BC(Dong(2017)),CC/BC(Clark.et.al.(2019))BC(Dong.et.al.(2017)),PstI.TP718837,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
3,62102763,62102826,62092763,62112826,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP771371,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
3,70340078,70340091,70330078,70350091,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1143155,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,57917174,57917206,57907174,57927206,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP668768,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,61346996,61347042,61336996,61357042,NA,NA,PstI.TP637804,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,64652944,64652977,64642944,64662977,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP796634,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
4,67780882,67780901,67770882,67790901,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP71276,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
6,47759284,47759301,47749284,47769301,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP1094542,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
6,59157096,59157101,59147096,59167101,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),PstI.TP720319,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
7,65362120,65362140,65352120,65372140,CC/BC(Clark(2019)),CC/BC(Clark.et.al.(2019)),NsiI.TP562946,Compressed circumference/basal circumference,CC/BC,CC/BC(Clark2019)),Blue,Clark_et_al_(2019)
