,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand,dis_start.positon,dis_positon.end
1,GFSSContig15563_263,CmN.1,9,58912474,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1445,8.621,Sobic.009G255100.5,Chr09,58910532,58914835,4304,-,-1942,-2361
2,GFSSContig15931_175,SDW_kg.1,1,74820300,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.3226,6.199,Sobic.001G476000.1,Chr01,74820847,74822682,1836,+,547,-2382
3,GFSSContig15931_175,SDW_kg.1,1,74820300,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.3226,6.199,Sobic.001G475900.1,Chr01,74814983,74820643,5661,+,-5317,-343
4,GFSSContig15931_175,SDW_kg.1,1,74820300,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.3226,6.199,Sobic.001G475900.1,Chr01,74814983,74820643,5661,+,-5317,-343
5,GFSSContig15931_175,SDW_kg.1,1,74820300,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(ISIS EM-BLASSO(1)),,,0.3226,6.199,Sobic.001G476000.1,Chr01,74820847,74822682,1836,+,547,-2382
6,GFSSContig15931_175,Yld_kg.1,1,74820300,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.3226,6.363,Sobic.001G476000.1,Chr01,74820847,74822682,1836,+,547,-2382
7,GFSSContig15931_175,Yld_kg.1,1,74820300,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.3226,6.363,Sobic.001G475900.1,Chr01,74814983,74820643,5661,+,-5317,-343
8,GFSSContig15931_175,Yld_kg.1,1,74820300,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.3226,6.363,Sobic.001G475900.1,Chr01,74814983,74820643,5661,+,-5317,-343
9,GFSSContig15931_175,Yld_kg.1,1,74820300,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.3226,6.363,Sobic.001G476000.1,Chr01,74820847,74822682,1836,+,547,-2382
10,GFSSContig17265_1038,CmD_LI_mm.1,6,49927748,CmD_LI_mm,CmD_LI_mm(PS_N(1);PS_Y(1)),CmD_LI_mm(124+36088im(2)),,,CmD_LI_mm(mrMLM(2)),,,0.1516,21.62,Sobic.006G136800.1,Chr06,49923688,49929393,5706,+,-4060,-1645
11,GFSSContig17477_775,CmN.2,2,67954599,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.05325,7.556,Sobic.002G303700.2,Chr02,67951734,67955841,4108,+,-2865,-1242
12,GFSSContig17477_775,CmN.2,2,67954599,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.05325,7.556,Sobic.002G303700.1,Chr02,67951936,67955841,3906,+,-2663,-1242
13,GFSSContig18221_1150,CCirc_cm.1,7,5395966,CCirc_cm,CCirc_cm(PS_Y(4)),CCirc_cm(124+36088im(4)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(1)),,,0.4316,16.3,Sobic.007G053100.1,Chr07,5393317,5400889,7573,+,-2649,-4923
14,GFSSContig18221_1150,CCirc_cm.1,7,5395966,CCirc_cm,CCirc_cm(PS_Y(4)),CCirc_cm(124+36088im(4)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(1)),,,0.4316,16.3,Sobic.007G053100.1,Chr07,5393317,5400889,7573,+,-2649,-4923
15,GFSSContig18221_1150,Yld_kg.2,7,5395966,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.4153,6.447,Sobic.007G053100.1,Chr07,5393317,5400889,7573,+,-2649,-4923
16,GFSSContig18221_1150,Yld_kg.2,7,5395966,Yld_kg,Yld_kg(PS_Y(1)),Yld_kg(124+36088im(1)),,,Yld_kg(ISIS EM-BLASSO(1)),,,0.4153,6.447,Sobic.007G053100.1,Chr07,5393317,5400889,7573,+,-2649,-4923
17,GFSSContig18315_975,CmN.3,9,53976945,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.2024,3.008,Sobic.009G187100.1,Chr09,53975946,53977915,1970,-,-999,-970
18,GFSSContig19553_1853,Yld_kg.3,3,10802480,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(pKWmEB(1)),,,0.4758,8.849,Sobic.003G119400.1,Chr03,10802232,10806033,3802,+,-248,-3553
19,GFSSContig19553_1853,Yld_kg.3,3,10802480,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(pKWmEB(1)),,,0.4758,8.849,Sobic.003G119400.1,Chr03,10802232,10806033,3802,+,-248,-3553
20,GFSSContig19553_1853,SDW_kg.2,3,10802480,SDW_kg,SDW_kg(PS_N(2)),SDW_kg(124+36088im(2)),,,SDW_kg(FASTmrMLM(1)pKWmEB(1)),,,0.4758,15.47,Sobic.003G119400.1,Chr03,10802232,10806033,3802,+,-248,-3553
21,GFSSContig19553_1853,SDW_kg.2,3,10802480,SDW_kg,SDW_kg(PS_N(2)),SDW_kg(124+36088im(2)),,,SDW_kg(FASTmrMLM(1)pKWmEB(1)),,,0.4758,15.47,Sobic.003G119400.1,Chr03,10802232,10806033,3802,+,-248,-3553
25,NsiI.TP127922,CmDW_g.1,4,54754163,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.1785,1.984,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
26,NsiI.TP127922,CmDW_g.1,4,54754163,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.1785,1.984,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
27,NsiI.TP127922,CmDW_g.1,4,54754163,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,CmDW_g(FarmCPU(1)),,,,0.1785,1.984,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
28,NsiI.TP127922,Cml_cm.1,4,54754163,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.1785,0.106,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
29,NsiI.TP127922,Cml_cm.1,4,54754163,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.1785,0.106,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
30,NsiI.TP127922,Cml_cm.1,4,54754163,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,Cml_cm(FarmCPU(1)),,,,0.1785,0.106,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
31,NsiI.TP127922,CmN.7,4,54754163,CmN,CmN(PS_N(1);PS_Y(4)),CmN(124+36088im(5)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),CmN(FarmCPU(2)),,,CmN(GLM(1)),0.185,14.2,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
32,NsiI.TP127922,CmN.7,4,54754163,CmN,CmN(PS_N(1);PS_Y(4)),CmN(124+36088im(5)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),CmN(FarmCPU(2)),,,CmN(GLM(1)),0.185,14.2,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
33,NsiI.TP127922,CmN.7,4,54754163,CmN,CmN(PS_N(1);PS_Y(4)),CmN(124+36088im(5)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),CmN(FarmCPU(2)),,,CmN(GLM(1)),0.185,14.2,Sobic.004G196500.1,Chr04,54753647,54755468,1822,+,-516,-1305
34,NsiI.TP128678,Yld_kg.4,3,69000501,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.4086,1.872,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
35,NsiI.TP128678,Yld_kg.4,3,69000501,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.4086,1.872,Sobic.003G375200.1,Chr03,68999883,69007574,7692,+,-618,-7073
