"","Ind.SNP","Method","Trait.name","Freq"
"1","124+36088im","CMLM+SUPER","Bcirc",2
"2","C106+4202","CMLM+SUPER","Bcirc",0
"3","C116+3293","CMLM+SUPER","Bcirc",0
"4","C124+2560","CMLM+SUPER","Bcirc",3
"5","124+36088im","FarmCPU","Bcirc",10
"6","C106+4202","FarmCPU","Bcirc",11
"7","C116+3293","FarmCPU","Bcirc",8
"8","C124+2560","FarmCPU","Bcirc",2
"9","124+36088im","FASTmrEMMA","Bcirc",0
"10","C106+4202","FASTmrEMMA","Bcirc",3
"11","C116+3293","FASTmrEMMA","Bcirc",2
"12","C124+2560","FASTmrEMMA","Bcirc",3
"13","124+36088im","FASTmrMLM","Bcirc",5
"14","C106+4202","FASTmrMLM","Bcirc",6
"15","C116+3293","FASTmrMLM","Bcirc",1
"16","C124+2560","FASTmrMLM","Bcirc",2
"17","124+36088im","GLM","Bcirc",0
"18","C106+4202","GLM","Bcirc",0
"19","C116+3293","GLM","Bcirc",0
"20","C124+2560","GLM","Bcirc",0
"21","124+36088im","ISIS EM-BLASSO","Bcirc",10
"22","C106+4202","ISIS EM-BLASSO","Bcirc",8
"23","C116+3293","ISIS EM-BLASSO","Bcirc",3
"24","C124+2560","ISIS EM-BLASSO","Bcirc",2
"25","124+36088im","MLM+SUPER","Bcirc",12
"26","C106+4202","MLM+SUPER","Bcirc",0
"27","C116+3293","MLM+SUPER","Bcirc",0
"28","C124+2560","MLM+SUPER","Bcirc",2
"29","124+36088im","mrMLM","Bcirc",11
"30","C106+4202","mrMLM","Bcirc",9
"31","C116+3293","mrMLM","Bcirc",3
"32","C124+2560","mrMLM","Bcirc",5
"33","124+36088im","pKWmEB","Bcirc",0
"34","C106+4202","pKWmEB","Bcirc",0
"35","C116+3293","pKWmEB","Bcirc",0
"36","C124+2560","pKWmEB","Bcirc",1
"37","124+36088im","pLARmEB","Bcirc",7
"38","C106+4202","pLARmEB","Bcirc",6
"39","C116+3293","pLARmEB","Bcirc",1
"40","C124+2560","pLARmEB","Bcirc",7
"41","124+36088im","rrBLUP","Bcirc",0
"42","C106+4202","rrBLUP","Bcirc",0
"43","C116+3293","rrBLUP","Bcirc",0
"44","C124+2560","rrBLUP","Bcirc",0
"45","124+36088im","CMLM+SUPER","CCirc",0
"46","C106+4202","CMLM+SUPER","CCirc",0
"47","C116+3293","CMLM+SUPER","CCirc",0
"48","C124+2560","CMLM+SUPER","CCirc",3
"49","124+36088im","FarmCPU","CCirc",9
"50","C106+4202","FarmCPU","CCirc",7
"51","C116+3293","FarmCPU","CCirc",2
"52","C124+2560","FarmCPU","CCirc",3
"53","124+36088im","FASTmrEMMA","CCirc",0
"54","C106+4202","FASTmrEMMA","CCirc",2
"55","C116+3293","FASTmrEMMA","CCirc",1
"56","C124+2560","FASTmrEMMA","CCirc",1
"57","124+36088im","FASTmrMLM","CCirc",13
"58","C106+4202","FASTmrMLM","CCirc",4
"59","C116+3293","FASTmrMLM","CCirc",1
"60","C124+2560","FASTmrMLM","CCirc",4
"61","124+36088im","GLM","CCirc",0
"62","C106+4202","GLM","CCirc",0
"63","C116+3293","GLM","CCirc",0
"64","C124+2560","GLM","CCirc",0
"65","124+36088im","ISIS EM-BLASSO","CCirc",7
"66","C106+4202","ISIS EM-BLASSO","CCirc",3
"67","C116+3293","ISIS EM-BLASSO","CCirc",3
"68","C124+2560","ISIS EM-BLASSO","CCirc",2
"69","124+36088im","MLM+SUPER","CCirc",0
"70","C106+4202","MLM+SUPER","CCirc",0
"71","C116+3293","MLM+SUPER","CCirc",0
"72","C124+2560","MLM+SUPER","CCirc",0
"73","124+36088im","mrMLM","CCirc",5
"74","C106+4202","mrMLM","CCirc",5
"75","C116+3293","mrMLM","CCirc",3
"76","C124+2560","mrMLM","CCirc",2
"77","124+36088im","pKWmEB","CCirc",0
"78","C106+4202","pKWmEB","CCirc",0
"79","C116+3293","pKWmEB","CCirc",0
"80","C124+2560","pKWmEB","CCirc",3
"81","124+36088im","pLARmEB","CCirc",13
"82","C106+4202","pLARmEB","CCirc",4
"83","C116+3293","pLARmEB","CCirc",3
"84","C124+2560","pLARmEB","CCirc",4
"85","124+36088im","rrBLUP","CCirc",0
"86","C106+4202","rrBLUP","CCirc",0
"87","C116+3293","rrBLUP","CCirc",0
"88","C124+2560","rrBLUP","CCirc",0
"89","124+36088im","CMLM+SUPER","CmD_BI",1
"90","C106+4202","CMLM+SUPER","CmD_BI",0
"91","C116+3293","CMLM+SUPER","CmD_BI",0
"92","C124+2560","CMLM+SUPER","CmD_BI",0
"93","124+36088im","FarmCPU","CmD_BI",6
"94","C106+4202","FarmCPU","CmD_BI",6
"95","C116+3293","FarmCPU","CmD_BI",6
"96","C124+2560","FarmCPU","CmD_BI",9
"97","124+36088im","FASTmrEMMA","CmD_BI",0
"98","C106+4202","FASTmrEMMA","CmD_BI",4
"99","C116+3293","FASTmrEMMA","CmD_BI",2
"100","C124+2560","FASTmrEMMA","CmD_BI",4
"101","124+36088im","FASTmrMLM","CmD_BI",12
"102","C106+4202","FASTmrMLM","CmD_BI",4
"103","C116+3293","FASTmrMLM","CmD_BI",5
"104","C124+2560","FASTmrMLM","CmD_BI",4
"105","124+36088im","GLM","CmD_BI",0
"106","C106+4202","GLM","CmD_BI",0
"107","C116+3293","GLM","CmD_BI",0
"108","C124+2560","GLM","CmD_BI",0
"109","124+36088im","ISIS EM-BLASSO","CmD_BI",8
"110","C106+4202","ISIS EM-BLASSO","CmD_BI",7
"111","C116+3293","ISIS EM-BLASSO","CmD_BI",8
"112","C124+2560","ISIS EM-BLASSO","CmD_BI",8
"113","124+36088im","MLM+SUPER","CmD_BI",0
"114","C106+4202","MLM+SUPER","CmD_BI",0
"115","C116+3293","MLM+SUPER","CmD_BI",0
"116","C124+2560","MLM+SUPER","CmD_BI",0
"117","124+36088im","mrMLM","CmD_BI",11
"118","C106+4202","mrMLM","CmD_BI",4
"119","C116+3293","mrMLM","CmD_BI",3
"120","C124+2560","mrMLM","CmD_BI",5
"121","124+36088im","pKWmEB","CmD_BI",0
"122","C106+4202","pKWmEB","CmD_BI",0
"123","C116+3293","pKWmEB","CmD_BI",0
"124","C124+2560","pKWmEB","CmD_BI",0
"125","124+36088im","pLARmEB","CmD_BI",15
"126","C106+4202","pLARmEB","CmD_BI",5
"127","C116+3293","pLARmEB","CmD_BI",4
"128","C124+2560","pLARmEB","CmD_BI",9
"129","124+36088im","rrBLUP","CmD_BI",0
"130","C106+4202","rrBLUP","CmD_BI",0
"131","C116+3293","rrBLUP","CmD_BI",0
"132","C124+2560","rrBLUP","CmD_BI",1
"133","124+36088im","CMLM+SUPER","CmD_LI",0
"134","C106+4202","CMLM+SUPER","CmD_LI",0
"135","C116+3293","CMLM+SUPER","CmD_LI",0
"136","C124+2560","CMLM+SUPER","CmD_LI",0
"137","124+36088im","FarmCPU","CmD_LI",8
"138","C106+4202","FarmCPU","CmD_LI",8
"139","C116+3293","FarmCPU","CmD_LI",3
"140","C124+2560","FarmCPU","CmD_LI",5
"141","124+36088im","FASTmrEMMA","CmD_LI",0
"142","C106+4202","FASTmrEMMA","CmD_LI",3
"143","C116+3293","FASTmrEMMA","CmD_LI",2
"144","C124+2560","FASTmrEMMA","CmD_LI",1
"145","124+36088im","FASTmrMLM","CmD_LI",10
"146","C106+4202","FASTmrMLM","CmD_LI",6
"147","C116+3293","FASTmrMLM","CmD_LI",2
"148","C124+2560","FASTmrMLM","CmD_LI",4
"149","124+36088im","GLM","CmD_LI",0
"150","C106+4202","GLM","CmD_LI",0
"151","C116+3293","GLM","CmD_LI",0
"152","C124+2560","GLM","CmD_LI",0
"153","124+36088im","ISIS EM-BLASSO","CmD_LI",8
"154","C106+4202","ISIS EM-BLASSO","CmD_LI",3
"155","C116+3293","ISIS EM-BLASSO","CmD_LI",2
"156","C124+2560","ISIS EM-BLASSO","CmD_LI",4
"157","124+36088im","MLM+SUPER","CmD_LI",0
"158","C106+4202","MLM+SUPER","CmD_LI",0
"159","C116+3293","MLM+SUPER","CmD_LI",0
"160","C124+2560","MLM+SUPER","CmD_LI",0
"161","124+36088im","mrMLM","CmD_LI",11
"162","C106+4202","mrMLM","CmD_LI",2
"163","C116+3293","mrMLM","CmD_LI",2
"164","C124+2560","mrMLM","CmD_LI",2
"165","124+36088im","pKWmEB","CmD_LI",0
"166","C106+4202","pKWmEB","CmD_LI",1
"167","C116+3293","pKWmEB","CmD_LI",0
"168","C124+2560","pKWmEB","CmD_LI",1
"169","124+36088im","pLARmEB","CmD_LI",7
"170","C106+4202","pLARmEB","CmD_LI",5
"171","C116+3293","pLARmEB","CmD_LI",3
"172","C124+2560","pLARmEB","CmD_LI",4
"173","124+36088im","rrBLUP","CmD_LI",0
"174","C106+4202","rrBLUP","CmD_LI",0
"175","C116+3293","rrBLUP","CmD_LI",0
"176","C124+2560","rrBLUP","CmD_LI",0
"177","124+36088im","CMLM+SUPER","CmDW",0
"178","C106+4202","CMLM+SUPER","CmDW",3
"179","C116+3293","CMLM+SUPER","CmDW",0
"180","C124+2560","CMLM+SUPER","CmDW",0
"181","124+36088im","FarmCPU","CmDW",9
"182","C106+4202","FarmCPU","CmDW",3
"183","C116+3293","FarmCPU","CmDW",4
"184","C124+2560","FarmCPU","CmDW",8
"185","124+36088im","FASTmrEMMA","CmDW",0
"186","C106+4202","FASTmrEMMA","CmDW",4
"187","C116+3293","FASTmrEMMA","CmDW",4
"188","C124+2560","FASTmrEMMA","CmDW",3
"189","124+36088im","FASTmrMLM","CmDW",12
"190","C106+4202","FASTmrMLM","CmDW",7
"191","C116+3293","FASTmrMLM","CmDW",4
"192","C124+2560","FASTmrMLM","CmDW",2
"193","124+36088im","GLM","CmDW",0
"194","C106+4202","GLM","CmDW",0
"195","C116+3293","GLM","CmDW",0
"196","C124+2560","GLM","CmDW",0
"197","124+36088im","ISIS EM-BLASSO","CmDW",10
"198","C106+4202","ISIS EM-BLASSO","CmDW",6
"199","C116+3293","ISIS EM-BLASSO","CmDW",6
"200","C124+2560","ISIS EM-BLASSO","CmDW",8
"201","124+36088im","MLM+SUPER","CmDW",0
"202","C106+4202","MLM+SUPER","CmDW",0
"203","C116+3293","MLM+SUPER","CmDW",0
"204","C124+2560","MLM+SUPER","CmDW",0
"205","124+36088im","mrMLM","CmDW",13
"206","C106+4202","mrMLM","CmDW",4
"207","C116+3293","mrMLM","CmDW",2
"208","C124+2560","mrMLM","CmDW",4
"209","124+36088im","pKWmEB","CmDW",0
"210","C106+4202","pKWmEB","CmDW",3
"211","C116+3293","pKWmEB","CmDW",0
"212","C124+2560","pKWmEB","CmDW",0
"213","124+36088im","pLARmEB","CmDW",9
"214","C106+4202","pLARmEB","CmDW",7
"215","C116+3293","pLARmEB","CmDW",4
"216","C124+2560","pLARmEB","CmDW",8
"217","124+36088im","rrBLUP","CmDW",1
"218","C106+4202","rrBLUP","CmDW",0
"219","C116+3293","rrBLUP","CmDW",1
"220","C124+2560","rrBLUP","CmDW",1
"221","124+36088im","CMLM+SUPER","Cml",0
"222","C106+4202","CMLM+SUPER","Cml",0
"223","C116+3293","CMLM+SUPER","Cml",0
"224","C124+2560","CMLM+SUPER","Cml",1
"225","124+36088im","FarmCPU","Cml",9
"226","C106+4202","FarmCPU","Cml",7
"227","C116+3293","FarmCPU","Cml",8
"228","C124+2560","FarmCPU","Cml",4
"229","124+36088im","FASTmrEMMA","Cml",0
"230","C106+4202","FASTmrEMMA","Cml",3
"231","C116+3293","FASTmrEMMA","Cml",1
"232","C124+2560","FASTmrEMMA","Cml",3
"233","124+36088im","FASTmrMLM","Cml",14
"234","C106+4202","FASTmrMLM","Cml",5
"235","C116+3293","FASTmrMLM","Cml",6
"236","C124+2560","FASTmrMLM","Cml",8
"237","124+36088im","GLM","Cml",0
"238","C106+4202","GLM","Cml",0
"239","C116+3293","GLM","Cml",0
"240","C124+2560","GLM","Cml",0
"241","124+36088im","ISIS EM-BLASSO","Cml",12
"242","C106+4202","ISIS EM-BLASSO","Cml",5
"243","C116+3293","ISIS EM-BLASSO","Cml",7
"244","C124+2560","ISIS EM-BLASSO","Cml",7
"245","124+36088im","MLM+SUPER","Cml",0
"246","C106+4202","MLM+SUPER","Cml",0
"247","C116+3293","MLM+SUPER","Cml",2
"248","C124+2560","MLM+SUPER","Cml",1
"249","124+36088im","mrMLM","Cml",13
"250","C106+4202","mrMLM","Cml",5
"251","C116+3293","mrMLM","Cml",5
"252","C124+2560","mrMLM","Cml",3
"253","124+36088im","pKWmEB","Cml",0
"254","C106+4202","pKWmEB","Cml",0
"255","C116+3293","pKWmEB","Cml",2
"256","C124+2560","pKWmEB","Cml",5
"257","124+36088im","pLARmEB","Cml",12
"258","C106+4202","pLARmEB","Cml",5
"259","C116+3293","pLARmEB","Cml",3
"260","C124+2560","pLARmEB","Cml",6
"261","124+36088im","rrBLUP","Cml",0
"262","C106+4202","rrBLUP","Cml",0
"263","C116+3293","rrBLUP","Cml",0
"264","C124+2560","rrBLUP","Cml",0
"265","124+36088im","CMLM+SUPER","CmN",71
"266","C106+4202","CMLM+SUPER","CmN",12
"267","C116+3293","CMLM+SUPER","CmN",20
"268","C124+2560","CMLM+SUPER","CmN",14
"269","124+36088im","FarmCPU","CmN",11
"270","C106+4202","FarmCPU","CmN",1
"271","C116+3293","FarmCPU","CmN",6
"272","C124+2560","FarmCPU","CmN",9
"273","124+36088im","FASTmrEMMA","CmN",0
"274","C106+4202","FASTmrEMMA","CmN",5
"275","C116+3293","FASTmrEMMA","CmN",4
"276","C124+2560","FASTmrEMMA","CmN",2
"277","124+36088im","FASTmrMLM","CmN",17
"278","C106+4202","FASTmrMLM","CmN",7
"279","C116+3293","FASTmrMLM","CmN",4
"280","C124+2560","FASTmrMLM","CmN",8
"281","124+36088im","GLM","CmN",105
"282","C106+4202","GLM","CmN",6
"283","C116+3293","GLM","CmN",11
"284","C124+2560","GLM","CmN",4
"285","124+36088im","ISIS EM-BLASSO","CmN",5
"286","C106+4202","ISIS EM-BLASSO","CmN",4
"287","C116+3293","ISIS EM-BLASSO","CmN",5
"288","C124+2560","ISIS EM-BLASSO","CmN",7
