"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"2",2,"GFSSContig15931_175","Sobic.001G476000","SDW_kg.1",1,74820300,"SDW_kg","SDW_kg(PS_Y(1))","SDW_kg(124+36088im(1))","","","SDW_kg(ISIS EM-BLASSO(1))","","",0.3226,6.199,1,"Chr01",74820847,74822682,1836,"+",547,-2382,37942622,"Sobic.001G476000","Sobic.001G476000.1","Sobic.001G476000.1.p","","PTHR35164,PTHR35164:SF3","","","","","AT4G40020.1","","Myosin heavy chain-related protein","LOC_Os03g08980.1",NA,"expressed protein"
"3",3,"GFSSContig15931_175","Sobic.001G475900","SDW_kg.1",1,74820300,"SDW_kg","SDW_kg(PS_Y(1))","SDW_kg(124+36088im(1))","","","SDW_kg(ISIS EM-BLASSO(1))","","",0.3226,6.199,1,"Chr01",74814983,74820643,5661,"+",-5317,-343,37938906,"Sobic.001G475900","Sobic.001G475900.1","Sobic.001G475900.1.p","PF00107,PF08240","PTHR11695,PTHR11695:SF592","","1.1.1.1","K00121","GO:0055114,GO:0016491,GO:0008270","AT5G42250.1","","Zinc-binding alcohol dehydrogenase family protein","LOC_Os07g42924.1",NA,"dehydrogenase, putative, expressed"
"4",10,"GFSSContig17265_1038","Sobic.006G136800","CmD_LI_mm.1",6,49927748,"CmD_LI_mm","CmD_LI_mm(PS_N(1);PS_Y(1))","CmD_LI_mm(124+36088im(2))","","","CmD_LI_mm(mrMLM(2))","","",0.1516,21.62,1,"Chr06",49923688,49929393,5706,"+",-4060,-1645,37946373,"Sobic.006G136800","Sobic.006G136800.1","Sobic.006G136800.1.p","PF02458","PTHR31642,PTHR31642:SF37","","2.3.1.133","K13065","GO:0016747","AT5G48930.1","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","LOC_Os04g42250.3",NA,"transferase family protein, putative, expressed"
"5",11,"GFSSContig17477_775","Sobic.002G303700","CmN.2",2,67954599,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.05325,7.556,2,"Chr02",67951734,67955841,4108,"+",-2865,-1242,37954309,"Sobic.002G303700","Sobic.002G303700.2","Sobic.002G303700.2.p","PF16656,PF14008,PF00149","PTHR22953,PTHR22953:SF44","KOG1378","3.1.4.1","","GO:0016787","AT1G13750.1","","Purple acid phosphatases superfamily protein","LOC_Os12g38750.2",NA,"nucleotide pyrophosphatase/phosphodiesterase, putative, expressed"
"6",13,"GFSSContig18221_1150","Sobic.007G053100","CCirc_cm.1",7,5395966,"CCirc_cm","CCirc_cm(PS_Y(4))","CCirc_cm(124+36088im(4))","","","CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(1))","","",0.4316,16.3,1,"Chr07",5393317,5400889,7573,"+",-2649,-4923,37935661,"Sobic.007G053100","Sobic.007G053100.1","Sobic.007G053100.1.p","PF00324","PTHR11785,PTHR11785:SF338","KOG1287","","","GO:0055085,GO:0016020,GO:0006810,GO:0015171,GO:0003333","AT1G31830.1","","Amino acid permease family protein","LOC_Os03g37984.2",NA,"amino acid permease family protein, putative, expressed"
"8",18,"GFSSContig19553_1853","Sobic.003G119400","Yld_kg.3",3,10802480,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","","Yld_kg(pKWmEB(1))","","",0.4758,8.849,1,"Chr03",10802232,10806033,3802,"+",-248,-3553,37914336,"Sobic.003G119400","Sobic.003G119400.1","Sobic.003G119400.1.p","PF04845","PTHR12611","KOG3074","","","","AT2G32080.1","PUR ALPHA-1","purin-rich alpha 1","LOC_Os01g15600.1",NA,"PUR ALPHA-1, putative, expressed"
"9",25,"NsiI.TP127922","Sobic.004G196500","CmDW_g.1",4,54754163,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","CmDW_g(FarmCPU(1))","","","",0.1785,1.984,1,"Chr04",54753647,54755468,1822,"+",-516,-1305,37933461,"Sobic.004G196500","Sobic.004G196500.1","Sobic.004G196500.1.p","PF00561","PTHR10992,PTHR10992:SF869","KOG4178","3.3.2.10","","","AT3G51000.1","","alpha/beta-Hydrolases superfamily protein","LOC_Os10g35520.1",NA,"hydrolase, alpha/beta fold family domain containing protein, expressed"
"10",34,"NsiI.TP128678","Sobic.003G375200","Yld_kg.4",3,69000501,"Yld_kg","Yld_kg(PS_N(1))","Yld_kg(124+36088im(1))","","Yld_kg(FarmCPU(1))","","","",0.4086,1.872,1,"Chr03",68999883,69007574,7692,"+",-618,-7073,37912476,"Sobic.003G375200","Sobic.003G375200.1","Sobic.003G375200.1.p","PF05557","PTHR23168,PTHR23168:SF0","KOG4593","","K06638","GO:0007094","AT5G49880.1","","mitotic checkpoint family protein","LOC_Os01g65580.1",NA,"mitotic checkpoint family protein, putative, expressed"
"11",43,"NsiI.TP128897","Sobic.006G213300","CmDW_g.2",6,56190559,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(124+36088im(1))","","","CmDW_g(pKWmEB(1))","","",0.4556,4.294,1,"Chr06",56185793,56191223,5431,"-",-4766,-664,37946036,"Sobic.006G213300","Sobic.006G213300.1","Sobic.006G213300.1.p","PF01429","PTHR34067,PTHR34067:SF2","","","","GO:0005634,GO:0003677","AT5G52230.1","MBD13","methyl-CPG-binding domain protein 13","LOC_Os04g52380.1",NA,"methyl-CpG binding domain containing protein, putative, expressed"
"12",54,"NsiI.TP159695","Sobic.006G236700","CmN.10",6,57820247,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.1828,7.559,1,"Chr06",57815633,57822442,6810,"-",-4614,-2195,37948340,"Sobic.006G236700","Sobic.006G236700.1","Sobic.006G236700.1.p","PF00005,PF00664","PTHR24221,PTHR24221:SF149","","3.6.3.44","K05658","GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810","AT3G28860.1","ABCB19,ATABCB19,ATMDR1,ATMDR11,ATPGP19,MDR1,MDR11,PGP19","ATP binding cassette subfamily B19","LOC_Os04g38570.1",NA,"multidrug resistance protein, putative, expressed"
