"","Ind.SNP","Method","Trait.name","Freq"
"1","124+36088im","CMLM+SUPER","Bcirc",2
"4","C124+2560","CMLM+SUPER","Bcirc",3
"5","124+36088im","FarmCPU","Bcirc",10
"6","C106+4202","FarmCPU","Bcirc",11
"7","C116+3293","FarmCPU","Bcirc",8
"8","C124+2560","FarmCPU","Bcirc",2
"10","C106+4202","FASTmrEMMA","Bcirc",3
"11","C116+3293","FASTmrEMMA","Bcirc",2
"12","C124+2560","FASTmrEMMA","Bcirc",3
"13","124+36088im","FASTmrMLM","Bcirc",5
"14","C106+4202","FASTmrMLM","Bcirc",6
"15","C116+3293","FASTmrMLM","Bcirc",1
"16","C124+2560","FASTmrMLM","Bcirc",2
"21","124+36088im","ISIS EM-BLASSO","Bcirc",10
"22","C106+4202","ISIS EM-BLASSO","Bcirc",8
"23","C116+3293","ISIS EM-BLASSO","Bcirc",3
"24","C124+2560","ISIS EM-BLASSO","Bcirc",2
"25","124+36088im","MLM+SUPER","Bcirc",12
"28","C124+2560","MLM+SUPER","Bcirc",2
"29","124+36088im","mrMLM","Bcirc",11
"30","C106+4202","mrMLM","Bcirc",9
"31","C116+3293","mrMLM","Bcirc",3
"32","C124+2560","mrMLM","Bcirc",5
"36","C124+2560","pKWmEB","Bcirc",1
"37","124+36088im","pLARmEB","Bcirc",7
"38","C106+4202","pLARmEB","Bcirc",6
"39","C116+3293","pLARmEB","Bcirc",1
"40","C124+2560","pLARmEB","Bcirc",7
"48","C124+2560","CMLM+SUPER","CCirc",3
"49","124+36088im","FarmCPU","CCirc",9
"50","C106+4202","FarmCPU","CCirc",7
"51","C116+3293","FarmCPU","CCirc",2
"52","C124+2560","FarmCPU","CCirc",3
"54","C106+4202","FASTmrEMMA","CCirc",2
"55","C116+3293","FASTmrEMMA","CCirc",1
"56","C124+2560","FASTmrEMMA","CCirc",1
"57","124+36088im","FASTmrMLM","CCirc",13
"58","C106+4202","FASTmrMLM","CCirc",4
"59","C116+3293","FASTmrMLM","CCirc",1
