"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"19",79,"NsiI.TP249634","Sobic.009G052800","Cml_cm.7",9,5342948,"Cml_cm","Cml_cm(PS_N(2))","Cml_cm(124+36088im(2))","","","Cml_cm(ISIS EM-BLASSO(1)mrMLM(1))","","",0.2746,7.204,1,"Chr09",5341442,5342418,977,"+",-1506,530,37921367,"Sobic.009G052800","Sobic.009G052800.1","Sobic.009G052800.1.p","","","","","","","","","","LOC_Os05g06520.1",NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
"22",85,"NsiI.TP257077","Sobic.001G079401","Bcirc_cm.5",1,6103539,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","","","Bcirc_cm(ISIS EM-BLASSO(1))","","",0.4556,3.433,1,"Chr01",6101772,6103638,1867,"-",-1767,-99,37944514,"Sobic.001G079401","Sobic.001G079401.1","Sobic.001G079401.1.p","","","","","","","","","","",NA,""
"34",117,"NsiI.TP332475","Sobic.003G315800","CmN.25",3,64344627,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2026,2.971,2,"Chr03",64343406,64343947,542,"+",-1221,680,37915964,"Sobic.003G315800","Sobic.003G315800.2","Sobic.003G315800.2.p","","PTHR34114:SF4,PTHR34114","","","","","","","","",NA,""
"48",152,"NsiI.TP404457","Sobic.001G494950","Bcirc_cm.13",1,76403176,"Bcirc_cm","Bcirc_cm(PS_Y(1))","Bcirc_cm(124+36088im(1))","Bcirc_cm(MLM+SUPER(1))","","","","",0.2045,0.1099,1,"Chr01",76400530,76402484,1955,"-",-2646,692,37941903,"Sobic.001G494950","Sobic.001G494950.1","Sobic.001G494950.1.p","","","","","","","","","","",NA,""
"49",154,"NsiI.TP409721","Sobic.002G266400","CmN.34",2,65096533,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.0915,0.04129,1,"Chr02",65095981,65096349,369,"-",-552,184,37953048,"Sobic.002G266400","Sobic.002G266400.1","Sobic.002G266400.1.p","","","","","","","","","","",NA,""
"51",156,"NsiI.TP409721","Sobic.002G266500","CmN.34",2,65096533,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.0915,0.04129,2,"Chr02",65097219,65098349,1131,"+",686,-1816,37952755,"Sobic.002G266500","Sobic.002G266500.2","Sobic.002G266500.2.p","","","","","","","","","","LOC_Os05g05860.1",NA,"retrotransposon protein, putative, unclassified, expressed"
"55",165,"NsiI.TP434679","Sobic.003G128575","CmN.39",3,11842346,"CmN","CmN(PS_N(3))","CmN(C116+3293(1);C124+2560(2))","","CmN(FarmCPU(2))","CmN(pLARmEB(1))","","",0.1107,4.918,1,"Chr03",11840730,11841718,989,"-",-1616,628,37914671,"Sobic.003G128575","Sobic.003G128575.1","Sobic.003G128575.1.p","","","","","","","","","","",NA,""
"64",189,"NsiI.TP471156","Sobic.006G071096","CmD_LI_mm.4",6,43353284,"CmD_LI_mm","CmD_LI_mm(PS_Y(1))","CmD_LI_mm(124+36088im(1))","","","CmD_LI_mm(mrMLM(1))","","",0.041,15.91,1,"Chr06",43353433,43354267,835,"+",149,-983,37949196,"Sobic.006G071096","Sobic.006G071096.1","Sobic.006G071096.1.p","PF11250","PTHR33155,PTHR33155:SF5","","","","","","","","LOC_Os04g33710.1",NA,"expressed protein"
"75",221,"NsiI.TP515167","Sobic.004G351600","CmN.53",4,68022596,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.2923,0.01055,6,"Chr04",68020858,68025379,4522,"+",-1738,-2783,37931983,"Sobic.004G351600","Sobic.004G351600.6","Sobic.004G351600.6.p","PF10220","PTHR13091,PTHR13091:SF0","","","","GO:0000184","","","","LOC_Os02g57780.2",NA,"expressed protein"
"77",228,"NsiI.TP520698","Sobic.001G041700","Cml_cm.17",1,3113038,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.4451,0.05498,3,"Chr01",3100225,3112212,11988,"-",-12813,826,37944063,"Sobic.001G041700","Sobic.001G041700.3","Sobic.001G041700.3.p","","","","","","","","","","LOC_Os03g59650.1",NA,"BRCA1 C Terminus domain containing protein, expressed"
