Chrom,Start,End,Start.1,End.1,ID,ID.2,ID.1,Name,Trait.name,Group2,Group,Colors,Group3,New ID
6,49232193,49232193,49222193,49242193,Clark_et_al_(2016).stems_per_area,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus015394(PstI.TP784444),stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016),Clark_et_al_(2016).stems_per_area
1,731905,731905,731905,731905,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP94792,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2016).stem_diameter
2,71500114,71500114,71490114,71510114,Clark_et_al_(2016).stems_per_area,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus038912,stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016),Clark_et_al_(2016).stems_per_area
3,7812387,7812387,7802387,7822387,Clark_et_al_(2016).height,height(Clark(2016)),height(Clark.et.al.(2016)),UIMiscanthus041646,height,height,height(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016),Clark_et_al_(2016).height
2,53651277,53651277,53641277,53661277,Clark_et_al_(2016).stems_per_area,stems.per.area(Clark(2016)),stems.per.area(Clark.et.al.(2016)),UIMiscanthus054659,stems per area,stems_per_area,stems_per_area(Clark_et_al_(2016)),Magenta,Clark_et_al_(2016),Clark_et_al_(2016).stems_per_area
9,53350628,53350666,53340628,53360666,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP113042,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
4,53058611,53058647,53048611,53068647,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP113107,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
5,62673796,62673835,62663796,62683835,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP128975,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
1,8153076,8153110,8143076,8163110,Clark_et_al_(2019).CmNdN,CmNdN(Clark(2019)),CmNdN(Clark.et.al.(2019)),NsiI.TP137978,Culm node number,CmNdN,CmNdN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmNdN
1,3360402,3360420,3350402,3370420,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP148784,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
1,5540981,5540981,5540981,5540981,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP137261,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
2,68613623,68613645,68603623,68623645,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP169221,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
6,45061320,45061369,45051320,45071369,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP17846,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Green,Clark_et_al_(2019),Clark_et_al_(2019).DTI
1,5999154,5999154,5999154,5999154,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP882936,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
1,9570135,9570148,9560135,9580148,Clark_et_al_(2019).DBI,DBI(Clark(2019)),DBI(Clark.et.al.(2019)),PstI.TP1193219,Diameter of basal internode,DBI,DBI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
1,6103539,6103539,6103539,6103539,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP257077,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,20807843,20807868,20797843,20817868,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP187958,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
4,68562475,68562524,68552475,68572524,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP259300,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
1,22258955,22258955,22258955,22258955,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP761935,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).DBI
1,28681754,28681754,28681754,28681754,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP376790,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
1,2988383,2988383,2988383,2988383,Current Study.CCirc,CCirc(Current Study),CCirc(Current Study),PstI.TP1268585,Compressed plant circumference ,CCirc,CCirc(Current Study),Red,Current Study,Clark_et_al_(2019).CC
10,58500611,58500616,58490611,58510616,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP324486,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
1,58490850,58490873,58480850,58500873,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP1205830,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
1,72175111,72175111,72175111,72175111,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP324568,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
8,6143783,6143843,6133783,6153843,Clark_et_al_(2019).RCmN/TCmN,RCmN/TCmN(Clark(2019)),RCmN/TCmN(Clark.et.al.(2019)),NsiI.TP357738,Proportion of reproductive culms,RCmN/TCmN,RCmN/TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).RCmN/TCmN
4,3865245,3865251,3855245,3875251,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP360544,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
1,74969259,74969305,74959259,74979305,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP304860,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
1,72666012,72666037,72656012,72676037,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP388887,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
2,3765042,3765100,3755042,3775100,Clark_et_al_(2019).DTI,DTI(Clark(2019)),DTI(Clark.et.al.(2019)),NsiI.TP391602,Diameter of topmost internode,DTI,DTI(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).DTI
3,67274456,67274500,67264456,67284500,Clark_et_al_(2019).CmL,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP400051,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmL
7,2347033,2347086,2337033,2357086,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP402502,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
3,69355007,69355037,69345007,69365037,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP406255,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
3,60919492,60919523,60909492,60929523,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP425306,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
1,10687788,10687788,10687788,10687788,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP980214,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,12066190,12066190,12066190,12066190,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1016611,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,75697426,75697441,75687426,75707441,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP488333,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
1,77868388,77868398,77858388,77878398,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),PstI.TP425825,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
6,42101740,42101760,42091740,42111760,Clark_et_al_(2019).IntL,IntL(Clark(2019)),IntL(Clark.et.al.(2019)),NsiI.TP447271,Internode length,IntL,IntL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).IntL
1,30650620,30650620,30650620,30650620,Current Study.Bcirc,Bcirc(Current Study),Bcirc(Current Study),PstI.TP150197,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study,Current Study.Bcirc
1,78162835,78162835,78162835,78162835,Current Study.CmD_BI,CmD_BI(Current Study),CmD_BI(Current Study),PstI.TP459121,Culm outer diameter at basal internode ,CmD_BI,CmD_BI(Current Study),Red,Current Study,Clark_et_al_(2019).CmDW/V
1,74123200,74123229,74113200,74133229,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP486569,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
2,527130,527149,517130,537149,Clark_et_al_(2019).CmDW/V,CmDW/V(Clark(2019)),CmDW/V(Clark.et.al.(2019)),NsiI.TP245177,Culm density,CmDW/V,CmDW/V(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmDW/V
4,390298,390322,380298,400322,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP502518,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
2,17685125,17685178,17675125,17695178,Clark_et_al_(2019).Yld,Yld(Clark(2019)),Yld(Clark.et.al.(2019)),NsiI.TP505162,Yield,Yld,Yld(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).Yld
3,69257960,69257986,69247960,69267986,Clark_et_al_(2019).TCmN,TCmN(Clark(2019)),TCmN(Clark.et.al.(2019)),NsiI.TP514214,Total number of culms,TCmN,TCmN(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).TCmN
7,58039006,58039037,58029006,58049037,Clark_et_al_(2019).CmL,CmL(Clark(2019)),CmL(Clark.et.al.(2019)),NsiI.TP546382,Culm length,CmL,CmL(Clark_et_al_(2019)),Blue,Clark_et_al_(2019),Clark_et_al_(2019).CmL
