Row Labels,Bcirc_cm,CCirc_cm,CmD_BI_mm,CmD_LI_mm,CmDW_g,Cml_cm,CmN,SDW_kg,Yld_kg,(blank),Grand Total
Sobic.001G007500,,,1,,,,,,,,1
Sobic.001G007600,,,1,,,,,,,,1
Sobic.001G011800,,,,,,1,,,,,1
Sobic.001G040000,,,,1,,,,,,,1
Sobic.001G040200,,1,,,,,,,,,1
Sobic.001G041700,,,,,,2,,,,,2
Sobic.001G041800,,,,,,1,,,,,1
Sobic.001G048900,,,,,2,,,,,,2
Sobic.001G065600,,,,,1,,,,,,1
Sobic.001G072900,,,1,,,,,,,,1
Sobic.001G078300,,,2,,,,,,,,2
Sobic.001G079401,1,,,,,,,,,,1
Sobic.001G079500,1,,,,,,,,,,1
Sobic.001G079600,,,,,,,1,,,,1
Sobic.001G082900,,,,,1,1,,,,,2
Sobic.001G083000,,,,,1,1,,,,,2
Sobic.001G094600,,,,,,,1,,,,1
Sobic.001G104100,,,,,,2,,,,,2
Sobic.001G106200,,,,,,,1,,,,1
Sobic.001G107500,,1,,,,,,,,,1
Sobic.001G119800,,,,1,,,,,,,1
Sobic.001G135500,1,,,,,,,,,,1
Sobic.001G135600,1,,,,,,,,,,1
Sobic.001G140200,,,,,,,1,,1,,2
Sobic.001G150200,1,,,,,,,,,,1
Sobic.001G160200,,,,,,1,,,,,1
Sobic.001G161200,,1,,,,,,,,,1
Sobic.001G196000,,1,,,,,,,,,1
Sobic.001G205700,,,,,,,,1,,,1
Sobic.001G216300,,,,1,1,,,,,,2
Sobic.001G230400,,,2,,,,,,,,2
Sobic.001G233800,,,,,,,,1,,,1
Sobic.001G235266,,,,,,,,,1,,1
Sobic.001G249000,,,,,,1,,,,,1
Sobic.001G249600,,,,,,1,,,,,1
Sobic.001G254700,,,1,1,,,,,,,2
Sobic.001G258200,2,,,,,,,,,,2
Sobic.001G296100,,,,,,1,,,,,1
Sobic.001G297600,,,,,1,,,,,,1
Sobic.001G313800,1,1,,1,1,,1,,1,,6
Sobic.001G347500,,,,1,,,,,,,1
Sobic.001G362001,,,,1,,,,,,,1
Sobic.001G374800,1,,,,,,,,,,1
Sobic.001G374900,1,,,,,,,,,,1
Sobic.001G376600,1,,,,,,,,,,1
Sobic.001G378200,,1,,,,,1,,,,2
Sobic.001G384600,,,,,,,1,,,,1
Sobic.001G407900,1,,,,,,,,,,1
Sobic.001G413100,,1,,,,,,,,,1
Sobic.001G425300,1,,,,,,,,,,1
Sobic.001G425800,2,,,,,,,,,,2
Sobic.001G425900,1,,,,,,,,,,1
Sobic.001G429100,,,,,,,1,,,,1
Sobic.001G434800,,,,,1,,,,,,1
Sobic.001G444000,,,,,,,1,,,,1
Sobic.001G444100,1,,,,,,,,,,1
