Chrom,Start,End,Start.1,End.1,ID,ID.1,Name,Trait.name,Group2,Group,Colors,Group3
1,60042002,60042018,60032002,60052018,BC(Clark(2019)),BC(Clark.et.al.(2019)),NsiI.TP45219,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
1,76937565,76937584,76927565,76947584,BC(Clark(2019)),BC(Clark.et.al.(2019)),NsiI.TP674441,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
8,61280127,61280140,61270127,61290140,BC(Clark(2019)),BC(Clark.et.al.(2019)),PstI.TP22102,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
10,6028036,6028043,6018036,6038043,BC(Clark(2019)),BC(Clark.et.al.(2019)),PstI.TP1279997,Basal circumference,BC,BC(Clark2019)),Blue,Clark_et_al_(2019)
1,60318661,76221012,60318661,76221012,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG2 91.4 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017)
2,2605801,13526667,2605801,13526667,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG3 41.4 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017)
2,71987708,77256362,71987708,77256362,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG3 86.8 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017)
5,3135389,59272634,3135389,59272634,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG9 49.2 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017)
5,7657485,15122225,7657485,15122225,BC(Dong(2017)),BC(Dong.et.al.(2017)),BC LG10 31 cM,basal circumference,BC,BC(Dong2017)),Green,Dong_et_al_(2017)
2,0,3959119,0,3959119,BC1(Gifford(2015)),BC1(Gifford.et.al.(2015)),BC1,basal circumference,BC,BC1(Gifford(2015)),Purple,Gifford_et_al_(2015)
3,62633062,70486999,62633062,70486999,BC2(Gifford(2015)),BC2(Gifford.et.al.(2015)),BC2,basal circumference,BC,BC2(Gifford2015)),Purple,Gifford_et_al_(2015)
5,10486456,64927267,10486456,64927267,BC4(Gifford(2015)),BC4(Gifford.et.al.(2015)),BC4,basal circumference,BC,BC4(Gifford2015)),Purple,Gifford_et_al_(2015)
6,49893387,52583057,49893387,52583057,BC6(Gifford(2015)),BC6(Gifford.et.al.(2015)),BC6,basal circumference,BC,BC6(Gifford2015)),Purple,Gifford_et_al_(2015)
7,11187274,5102124,11187274,5102124,BC3(Gifford(2015)),BC3(Gifford.et.al.(2015)),BC3,basal circumference,BC,BC3(Gifford2015)),Purple,Gifford_et_al_(2015)
7,5395966,5395966,5395966,5395966,BC3(Gifford(2015)),BC3(Gifford.et.al.(2015)),BC3,basal circumference,BC,BC3(Gifford2015)),Purple,Gifford_et_al_(2015)
4,11187274,5102124,11187274,5102124,BC3(Gifford(2015)),BC3(Gifford.et.al.(2015)),BC3,basal circumference,BC,BC3(Gifford2015)),Purple,Gifford_et_al_(2015)
10,55158232,58161744,55158232,58161744,BC5(Gifford(2015)),BC5(Gifford.et.al.(2015)),BC5,basal circumference,BC,BC(Gifford2015)),Purple,Gifford_et_al_(2015)
1,72131324,72131324,72131324,72131324,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP211798,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,58622993,58622993,58622993,58622993,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP224601,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,6103539,6103539,6103539,6103539,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP257077,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,51136397,51136397,51136397,51136397,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP30868,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,76403176,76403176,76403176,76403176,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP404457,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,66520178,66520178,66520178,66520178,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP482264,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,12066190,12066190,12066190,12066190,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1016611,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,30650620,30650620,30650620,30650620,Bcirc(Current Study),Bcirc(Current Study),PstI.TP150197,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,74036176,74036176,74036176,74036176,Bcirc(Current Study),Bcirc(Current Study),PstI.TP326891,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,60097068,60097068,60097068,60097068,Bcirc(Current Study),Bcirc(Current Study),PstI.TP457393,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,70529598,70529598,70529598,70529598,Bcirc(Current Study),Bcirc(Current Study),PstI.TP663427,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,76101544,76101544,76101544,76101544,Bcirc(Current Study),Bcirc(Current Study),PstI.TP744556,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,69204551,69204551,69204551,69204551,Bcirc(Current Study),Bcirc(Current Study),PstI.TP754866,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,66347924,66347924,66347924,66347924,Bcirc(Current Study),Bcirc(Current Study),PstI.TP770722,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,70558586,70558586,70558586,70558586,Bcirc(Current Study),Bcirc(Current Study),PstI.TP969142,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
1,10687788,10687788,10687788,10687788,Bcirc(Current Study),Bcirc(Current Study),PstI.TP980214,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,186613,186613,186613,186613,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP39740,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,71277610,71277610,71277610,71277610,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1025634,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,2888124,2888124,2888124,2888124,Bcirc(Current Study),Bcirc(Current Study),PstI.TP312941,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,75226780,75226780,75226780,75226780,Bcirc(Current Study),Bcirc(Current Study),PstI.TP426528,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,55394288,55394288,55394288,55394288,Bcirc(Current Study),Bcirc(Current Study),PstI.TP476886,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,73095782,73095782,73095782,73095782,Bcirc(Current Study),Bcirc(Current Study),PstI.TP503391,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,699673,699673,699673,699673,Bcirc(Current Study),Bcirc(Current Study),PstI.TP790069,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,64681502,64681502,64681502,64681502,Bcirc(Current Study),Bcirc(Current Study),PstI.TP838455,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
2,70172526,70172526,70172526,70172526,Bcirc(Current Study),Bcirc(Current Study),PstI.TP995173,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,51796050,51796050,51796050,51796050,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP218789,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,2660294,2660294,2660294,2660294,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP441693,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,13084031,13084031,13084031,13084031,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP563229,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,3528771,3528771,3528771,3528771,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1032333,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,4545043,4545043,4545043,4545043,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1280049,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,6088178,6088178,6088178,6088178,Bcirc(Current Study),Bcirc(Current Study),PstI.TP188641,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,7414396,7414396,7414396,7414396,Bcirc(Current Study),Bcirc(Current Study),PstI.TP202435,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,2577255,2577255,2577255,2577255,Bcirc(Current Study),Bcirc(Current Study),PstI.TP513843,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
3,66708999,66708999,66708999,66708999,Bcirc(Current Study),Bcirc(Current Study),PstI.TP940999,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,67938088,67938088,67938088,67938088,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP346008,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,62592587,62592587,62592587,62592587,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP391506,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,54844080,54844080,54844080,54844080,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1040729,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,2136493,2136493,2136493,2136493,Bcirc(Current Study),Bcirc(Current Study),PstI.TP1198406,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,5155593,5155593,5155593,5155593,Bcirc(Current Study),Bcirc(Current Study),PstI.TP504809,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,60109935,60109935,60109935,60109935,Bcirc(Current Study),Bcirc(Current Study),PstI.TP648736,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,9915378,9915378,9915378,9915378,Bcirc(Current Study),Bcirc(Current Study),PstI.TP697156,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,62405613,62405613,62405613,62405613,Bcirc(Current Study),Bcirc(Current Study),PstI.TP714069,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
4,51121423,51121423,51121423,51121423,Bcirc(Current Study),Bcirc(Current Study),PstI.TP852023,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,56339998,56339998,56339998,56339998,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP647736,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,3182336,3182336,3182336,3182336,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP762935,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,47930110,47930110,47930110,47930110,Bcirc(Current Study),Bcirc(Current Study),PstI.TP148994,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,50586809,50586809,50586809,50586809,Bcirc(Current Study),Bcirc(Current Study),PstI.TP18079,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,1375822,1375822,1375822,1375822,Bcirc(Current Study),Bcirc(Current Study),PstI.TP298201,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,3914949,3914949,3914949,3914949,Bcirc(Current Study),Bcirc(Current Study),PstI.TP434866,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,45894338,45894338,45894338,45894338,Bcirc(Current Study),Bcirc(Current Study),PstI.TP710636,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,44312976,44312976,44312976,44312976,Bcirc(Current Study),Bcirc(Current Study),PstI.TP75301,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,1911989,1911989,1911989,1911989,Bcirc(Current Study),Bcirc(Current Study),PstI.TP774963,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,57442567,57442567,57442567,57442567,Bcirc(Current Study),Bcirc(Current Study),PstI.TP788586,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
6,57879722,57879722,57879722,57879722,Bcirc(Current Study),Bcirc(Current Study),PstI.TP849929,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
7,5038310,5038310,5038310,5038310,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP765320,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
8,61954442,61954442,61954442,61954442,Bcirc(Current Study),Bcirc(Current Study),PstI.TP161086,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
9,5056498,5056498,5056498,5056498,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP250072,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
9,49933625,49933625,49933625,49933625,Bcirc(Current Study),Bcirc(Current Study),NsiI.TP296932,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
9,51572610,51572610,51572610,51572610,Bcirc(Current Study),Bcirc(Current Study),PstI.TP134129,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
9,58253929,58253929,58253929,58253929,Bcirc(Current Study),Bcirc(Current Study),PstI.TP548121,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
9,57621267,57621267,57621267,57621267,Bcirc(Current Study),Bcirc(Current Study),PstI.TP976305,Basal circumference ,Bcirc,Bcirc(Current Study),Red,Current Study
