,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand
22,NsiI.TP115990,CmN.4,11,10376,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.3487,7.115,NA,NA,NA,NA,NA,NA
23,NsiI.TP11666,CmN.5,7,14339016,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(MLM+SUPER(1)),,,,CmN(GLM(1)),0.07567,7.423,NA,NA,NA,NA,NA,NA
24,NsiI.TP122100,CmN.6,11,10465,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.1421,11.32,NA,NA,NA,NA,NA,NA
51,NsiI.TP154371,CmN.9,4,5011408,CmN,CmN(PS_Y(2)),CmN(124+36088im(2)),CmN(CMLM+SUPER(1)),,,,CmN(GLM(1)),0.07723,9.649,NA,NA,NA,NA,NA,NA
52,NsiI.TP156483,Yld_kg.5,11,10853,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,,Yld_kg(FASTmrMLM(1)),,,0.0847,8.899,NA,NA,NA,NA,NA,NA
53,NsiI.TP156483,SDW_kg.4,11,10853,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(124+36088im(1)),,,SDW_kg(FASTmrMLM(1)),,,0.0847,21.1,NA,NA,NA,NA,NA,NA
58,NsiI.TP165765,CmD_BI_mm.2,11,10960,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(124+36088im(1)),,CmD_BI_mm(FarmCPU(1)),,,,0.1101,1.393,NA,NA,NA,NA,NA,NA
59,NsiI.TP172212,CmN.11,1,67605060,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.3174,7.446,NA,NA,NA,NA,NA,NA
64,NsiI.TP213158,CmD_BI_mm.3,2,67720379,CmD_BI_mm,CmD_BI_mm(PS_Y(2)),CmD_BI_mm(C124+2560(2)),,,CmD_BI_mm(FASTmrEMMA(1)pKWmEB(1)),,,0.2742,4.221,NA,NA,NA,NA,NA,NA
65,NsiI.TP215181,CmN.12,11,11521,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.05059,6.808,NA,NA,NA,NA,NA,NA
72,NsiI.TP224601,Bcirc_cm.3,1,58622993,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(124+36088im(1)),,Bcirc_cm(FarmCPU(1)),,,,0.146,5.164,NA,NA,NA,NA,NA,NA
73,NsiI.TP226043,CmN.14,11,11664,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),CmN(CMLM+SUPER(1)),,,,,0.2161,0.1637,NA,NA,NA,NA,NA,NA
74,NsiI.TP230244,CmN.15,11,11712,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1789,6.782,NA,NA,NA,NA,NA,NA
75,NsiI.TP231253,Cml_cm.5,11,11717,Cml_cm,Cml_cm(PS_Y(1)),Cml_cm(124+36088im(1)),,,Cml_cm(ISIS EM-BLASSO(1)),,,0.0524,2.153,NA,NA,NA,NA,NA,NA
76,NsiI.TP241298,CmN.16,11,11843,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.07905,6.884,NA,NA,NA,NA,NA,NA
77,NsiI.TP241831,CmN.17,8,47079973,CmN,CmN(PS_Y(1)),CmN(C106+4202(1)),CmN(CMLM+SUPER(1)),,,,,0.1226,4.551,NA,NA,NA,NA,NA,NA
78,NsiI.TP247987,Cml_cm.6,11,11923,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(124+36088im(1)),,,Cml_cm(ISIS EM-BLASSO(1)),,,0.0524,25.02,NA,NA,NA,NA,NA,NA
80,NsiI.TP24973,CCirc_cm.2,11,9399,CCirc_cm,CCirc_cm(PS_N(1);PS_Y(1)),CCirc_cm(124+36088im(2)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)),,,0.2605,4.391,NA,NA,NA,NA,NA,NA
105,NsiI.TP307255,Yld_kg.7,1,3020815,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(124+36088im(1)),,Yld_kg(FarmCPU(1)),,,,0.3494,2.976,NA,NA,NA,NA,NA,NA
106,NsiI.TP30868,Bcirc_cm.8,1,51136397,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(mrMLM(1)),,,0.0943,1.482,NA,NA,NA,NA,NA,NA
108,NsiI.TP309946,CmN.21,11,12519,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,CmN(FarmCPU(1)),,,,0.2438,1.468,NA,NA,NA,NA,NA,NA
109,NsiI.TP319204,CmN.22,11,12621,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.04682,6.826,NA,NA,NA,NA,NA,NA
110,NsiI.TP324732,CmN.23,11,12703,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.2722,7.471,NA,NA,NA,NA,NA,NA
112,NsiI.TP330963,Bcirc_cm.9,10,56296082,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(124+36088im(1)),,Bcirc_cm(FarmCPU(1)),,,,0.06987,0.2502,NA,NA,NA,NA,NA,NA
115,NsiI.TP331606,CmD_LI_mm.2,1,21598230,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(124+36088im(1)),,CmD_LI_mm(FarmCPU(1)),,,,0.2298,0.7735,NA,NA,NA,NA,NA,NA
120,NsiI.TP338280,CmN.27,6,53961287,CmN,CmN(PS_Y(1)),CmN(C116+3293(1)),CmN(CMLM+SUPER(1)),,,,,0.4526,0.52,NA,NA,NA,NA,NA,NA
141,NsiI.TP375399,Cml_cm.10,11,13278,Cml_cm,Cml_cm(PS_Y(1)),Cml_cm(C116+3293(1)),,,Cml_cm(mrMLM(1)),,,0.0132,0,NA,NA,NA,NA,NA,NA
142,NsiI.TP383201,Cml_cm.11,4,62497766,Cml_cm,Cml_cm(PS_N(1)),Cml_cm(C106+4202(1)),,Cml_cm(FarmCPU(1)),,,,0.1557,13.54,NA,NA,NA,NA,NA,NA
147,NsiI.TP391506,Bcirc_cm.11,4,62592587,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(pKWmEB(1)),,,0.1008,1.643,NA,NA,NA,NA,NA,NA
149,NsiI.TP39895,Yld_kg.9,11,9610,Yld_kg,Yld_kg(PS_N(1)),Yld_kg(C124+2560(1)),,Yld_kg(FarmCPU(1)),,,,0.2742,0.5823,NA,NA,NA,NA,NA,NA
158,NsiI.TP415654,CmN.36,1,75354964,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.07039,8.649,NA,NA,NA,NA,NA,NA
