SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
PstI.TP1071296,11,7466,1.41259287323576e-06,0.129310344827586,116,0,0.225481966020172,0.00285485019680947,1.45805265136531
PstI.TP890801,2,72613106,7.5192667694299e-06,0.0862068965517241,116,0,0.191586426129304,0.00509577445841302,-1.52626143320041
PstI.TP1040729,4,54844080,9.10251232799099e-06,0.219827586206897,116,0,0.187786071584518,0.00509577445841302,1.05394379679673
PstI.TP1193013,6,60825902,1.00856495960673e-05,0.103448275862069,116,0,0.185752454415292,0.00509577445841302,1.77496447948801
PstI.TP1025634,2,71277610,3.37440452348453e-05,0.0689655172413793,116,0,0.162135212133779,0.0118030341927369,1.82053007499892
PstI.TP651320,5,35481232,3.50411702901639e-05,0.254310344827586,116,0,0.1614074004307,0.0118030341927369,-1.29668412697383
NsiI.TP609151,5,68282440,6.08620370593064e-05,0.0818965517241379,116,0,0.150823604913508,0.016428236048044,-1.75062816472482
PstI.TP1227925,6,50604731,6.9379035499392e-05,0.163793103448276,116,0,0.148331761037302,0.016428236048044,1.16059225632574
PstI.TP84880,1,63680478,8.1883435777051e-05,0.137931034482759,116,0,0.145189567199452,0.016428236048044,-1.42224689260964
PstI.TP692281,2,56248202,8.62225266961635e-05,0.0646551724137931,116,0,0.144212892037494,0.016428236048044,1.65196585484098
NsiI.TP383201,4,62497766,8.94164257934114e-05,0.150862068965517,116,0,0.143525585074649,0.016428236048044,0.998879489499865
PstI.TP952007,6,56158074,0.000103296660960581,0.0905172413793103,116,0,0.140804493267275,0.0164321496467333,1.62576858523599
PstI.TP1201445,11,8486,0.00010569913181966,0.418103448275862,116,0,0.140371770237323,0.0164321496467333,0.817027223680788
PstI.TP9547,1,5534818,0.000118999552789187,0.310344827586207,116,0,0.138144701320874,0.0171784354419248,-0.749885787691607
PstI.TP315020,1,77386737,0.000145808227155029,0.155172413793103,116,0,0.134341300170797,0.0185756992232472,-1.18611811561569
NsiI.TP739117,9,59004735,0.000147061448575931,0.245689655172414,116,0,0.134181485363777,0.0185756992232472,-0.856929212371743
