"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"1","Trait1","FASTmrMLM","PstI.TP108989","1","2588793","-0.2098","4.7872","5.5746","3.8432","0.0446","C","0.0289","0.0405"
"1","Trait1","FASTmrMLM","PstI.TP980214","1","10687788","0.067","3.4672","4.1906","6.9927","0.4375","G","",""
"1","Trait1","FASTmrMLM","PstI.TP110898","10","9880843","0.1566","4.8519","5.642","17.8762","0.0536","C","",""
"1","Trait1","FASTmrEMMA","PstI.TP108989","1","2588793","-0.4606","5.3462","6.1559","12.9874","0.0446","C","0.0306","0.0405"
"1","Trait1","FASTmrEMMA","PstI.TP392482","1","17611146","-0.5464","3.8879","4.6338","7.859","0.0223","A","",""
"1","Trait1","pLARmEB","PstI.TP108989","1","2588793","-0.2159","3.5653","4.2942","1.8151","0.0446","C","0.0338","0.0405"
"1","Trait1","pLARmEB","PstI.TP110898","10","9880843","0.0441","3.6151","4.3467","0.6339","0.0536","C","",""
"1","Trait1","pKWmEB","PstI.TP108989","1","2588793","-0.2088","3.7085","4.4451","5.6286","0.0409","C","0.0349","0.0405"
"1","Trait1","ISIS EM-BLASSO","PstI.TP108989","1","2588793","-0.2098","4.7872","5.5746","3.8392","0.0446","C","0.0289","0.0405"
"1","Trait1","ISIS EM-BLASSO","PstI.TP980214","1","10687788","0.0672","3.4672","4.1906","7.0313","0.4375","G","",""
"1","Trait1","ISIS EM-BLASSO","PstI.TP110898","10","9880843","0.1568","4.8519","5.642","17.9191","0.0536","C","",""
