SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
PstI.TP745785,6,45615805,0.000653771658687113,0.423387096774194,124,0.339197544689809,0.404951891728519,0.877599570035867,-0.73391286089375
PstI.TP457393,1,60097068,0.0015465597713168,0.245967741935484,124,0.339197544689809,0.395553026544576,0.877599570035867,-0.813836018727317
PstI.TP789647,3,69354547,0.00447393192618608,0.358870967741935,124,0.339197544689809,0.384269531976961,0.877599570035867,0.555333693503553
PstI.TP339945,11,2686,0.00449197533022801,0.0645161290322581,124,0.339197544689809,0.384227484547522,0.877599570035867,-1.31221663714763
NsiI.TP482264,1,66520178,0.00551472327850764,0.0524193548387096,124,0.339197544689809,0.382092047631802,0.877599570035867,-1.02836293419609
PstI.TP152056,5,64031521,0.00571863809683203,0.0725806451612903,124,0.339197544689809,0.381715616356854,0.877599570035867,1.03148131590502
PstI.TP1071296,11,7466,0.00618354537563216,0.149193548387097,124,0.339197544689809,0.38090690709708,0.877599570035867,0.731813424021913
PstI.TP1200270,2,13518060,0.00622844661354793,0.108870967741935,124,0.339197544689809,0.38083215942381,0.877599570035867,-0.913900852088257
PstI.TP411848,11,3188,0.00623611351847044,0.439516129032258,124,0.339197544689809,0.380819452013903,0.877599570035867,-0.550279066565112
NsiI.TP827851,4,12330408,0.00653280656411272,0.0564516129032258,124,0.339197544689809,0.380339743980423,0.877599570035867,1.25771690998218
PstI.TP815977,8,47698137,0.00848718275604415,0.330645161290323,124,0.339197544689809,0.377653654690015,0.877599570035867,0.537005877079736
PstI.TP459121,1,78162835,0.00857455923834632,0.0685483870967742,124,0.339197544689809,0.377549065912713,0.877599570035867,-1.02651950302036
PstI.TP993272,2,58286678,0.00858353433702898,0.451612903225806,124,0.339197544689809,0.377538385525075,0.877599570035867,-1.71126341577669
PstI.TP744473,3,61669976,0.0086466126225185,0.104838709677419,124,0.339197544689809,0.377463647721212,0.877599570035867,-0.690028599222889
PstI.TP476886,2,55394288,0.00873888931542998,0.209677419354839,124,0.339197544689809,0.377355327978401,0.877599570035867,-0.712651501566885
PstI.TP834454,11,5776,0.0091199506742719,0.0766129032258065,124,0.339197544689809,0.376920254852984,0.877599570035867,-1.16232153852424
PstI.TP55941,6,51146867,0.00920937820408009,0.245967741935484,124,0.339197544689809,0.376820887550643,0.877599570035867,-0.592701666814412
PstI.TP433679,11,3324,0.0107889807373201,0.137096774193548,124,0.339197544689809,0.375214159262113,0.903717994055026,0.604468552009681
PstI.TP647611,4,59195320,0.0111667731278631,0.141129032258065,124,0.339197544689809,0.374866175654375,0.903717994055026,-0.811194487294611
PstI.TP1025634,2,71277610,0.0133197336457029,0.0685483870967742,124,0.339197544689809,0.373091350027233,0.903717994055026,0.923894147152273
PstI.TP171713,4,6902976,0.013507064029989,0.0685483870967742,124,0.339197544689809,0.372951317683041,0.903717994055026,0.845278906331525
PstI.TP1238303,6,50987036,0.0142553366098414,0.133064516129032,124,0.339197544689809,0.37241149073903,0.903717994055026,0.663575479384167
PstI.TP965825,3,63530528,0.0161900544875953,0.0766129032258065,124,0.339197544689809,0.371142378685444,0.903717994055026,-1.12091565641475
NsiI.TP350913,11,12980,0.0162291770372706,0.0524193548387096,124,0.339197544689809,0.371118380290601,0.903717994055026,1.37935380883409
PstI.TP774033,7,64851531,0.0167805583004836,0.0725806451612904,124,0.339197544689809,0.370786444540796,0.903717994055026,0.90570150604268
PstI.TP401147,11,3119,0.0177465759592748,0.0967741935483871,124,0.339197544689809,0.370231499308527,0.903717994055026,-0.753637478179521
PstI.TP797083,3,58432596,0.0177494779897471,0.0967741935483871,124,0.339197544689809,0.370229880226611,0.903717994055026,-0.786025060607295
PstI.TP1014210,11,7040,0.0194774534154681,0.0564516129032258,124,0.339197544689809,0.369311996325581,0.903717994055026,0.85539304910775
PstI.TP292777,7,64227793,0.0196191193763471,0.0524193548387096,124,0.339197544689809,0.36924056513457,0.903717994055026,0.81437138212173
PstI.TP1032333,3,3528771,0.0198043858432266,0.141129032258065,124,0.339197544689809,0.369147961138721,0.903717994055026,0.603505878677456
PstI.TP774963,6,1911989,0.021475280900041,0.161290322580645,124,0.339197544689809,0.368351656902572,0.903717994055026,-0.65790046399088
PstI.TP469520,6,53807168,0.0215443971655872,0.185483870967742,124,0.339197544689809,0.368320132902488,0.903717994055026,0.591258407303375
NsiI.TP262182,7,38847042,0.0215458452841148,0.189516129032258,124,0.339197544689809,0.368319473550088,0.903717994055026,-0.659472775366563
PstI.TP96953,11,798,0.0220249286441813,0.435483870967742,124,0.339197544689809,0.368103854616657,0.903717994055026,0.873209565156403
PstI.TP401749,7,8817658,0.0226234210336655,0.157258064516129,124,0.339197544689809,0.367841311054588,0.903717994055026,0.66853938994664
PstI.TP70600,9,46098921,0.0230045304943737,0.483870967741935,124,0.339197544689809,0.367677902998638,0.903717994055026,-0.510297394584006
PstI.TP31817,11,252,0.023152107232506,0.262096774193548,124,0.339197544689809,0.367615389350378,0.903717994055026,-0.510326490982437
PstI.TP82969,11,695,0.0232232984488924,0.0846774193548387,124,0.339197544689809,0.36758538226169,0.903717994055026,0.676156107666544
PstI.TP856013,11,5962,0.0242217417192116,0.0564516129032258,124,0.339197544689809,0.36717444220167,0.903717994055026,1.05645973934381
PstI.TP731868,3,62811145,0.0264288305316676,0.431451612903226,124,0.339197544689809,0.366325986787452,0.903717994055026,-0.457760050090826
PstI.TP1155086,9,50004653,0.026750572911492,0.233870967741935,124,0.339197544689809,0.366208566125728,0.903717994055026,0.728454243618392
PstI.TP710636,6,45894338,0.0274055761860915,0.189516129032258,124,0.339197544689809,0.365974053139753,0.903717994055026,0.66169662854672
PstI.TP836173,11,5793,0.0275716481179872,0.181451612903226,124,0.339197544689809,0.365915532469353,0.903717994055026,0.533790779111974
PstI.TP590182,1,71928782,0.0280991565807678,0.0766129032258065,124,0.339197544689809,0.365732084123833,0.903717994055026,0.779351671490048
PstI.TP589466,11,4216,0.0281001558667814,0.201612903225806,124,0.339197544689809,0.365731740065325,0.903717994055026,-0.5690234275353
PstI.TP455545,1,75986610,0.0290020498886097,0.467741935483871,124,0.339197544689809,0.365426364366932,0.903717994055026,0.427170406982433
PstI.TP451853,11,3460,0.0290332265738032,0.266129032258065,124,0.339197544689809,0.365415988085986,0.903717994055026,-0.47279825888183
NsiI.TP648509,10,41353679,0.0293170887218328,0.0564516129032258,124,0.339197544689809,0.365322050113053,0.903717994055026,-0.774342298404463
PstI.TP955356,3,67880743,0.0296023263519044,0.221774193548387,124,0.339197544689809,0.36522861922405,0.903717994055026,-0.539928900979796
NsiI.TP213158,2,67720379,0.0310198565965249,0.274193548387097,124,0.339197544689809,0.364777979000565,0.903717994055026,-0.486167362646281
PstI.TP387329,9,55961556,0.0312033535034721,0.185483870967742,124,0.339197544689809,0.364721240278934,0.903717994055026,-0.553976369181609
PstI.TP790069,2,699673,0.0315421015810857,0.262096774193548,124,0.339197544689809,0.364617417267393,0.903717994055026,0.699877840756297
PstI.TP178843,10,51681279,0.0319041926458829,0.0887096774193549,124,0.339197544689809,0.364507735483189,0.903717994055026,-0.617310822232074
PstI.TP807213,1,57183105,0.032182931800868,0.120967741935484,124,0.339197544689809,0.364424195060108,0.903717994055026,-0.742993600218121
PstI.TP1204344,11,8498,0.0322217545317527,0.233870967741935,124,0.339197544689809,0.364412620321512,0.903717994055026,0.488348293642396
PstI.TP890801,2,72613106,0.0324620514272078,0.0806451612903226,124,0.339197544689809,0.364341304059223,0.903717994055026,-0.656693565179139
PstI.TP504809,4,5155593,0.0325236693942933,0.395161290322581,124,0.339197544689809,0.36432310679362,0.903717994055026,0.68250306137821
PstI.TP396501,3,62733946,0.0330963095207518,0.0725806451612903,124,0.339197544689809,0.36415571705081,0.903717994055026,-0.835492399319904
PstI.TP745087,3,71534823,0.0332473815411199,0.294354838709677,124,0.339197544689809,0.364112067647913,0.903717994055026,-0.431099671357875
PstI.TP15780,9,56211895,0.0342661670807765,0.169354838709677,124,0.339197544689809,0.363823083158857,0.903717994055026,-0.519673796906603
PstI.TP135750,8,2838380,0.0346905144601641,0.0766129032258065,124,0.339197544689809,0.363705389158442,0.903717994055026,0.795243935800682
NsiI.TP730441,3,70813388,0.0351303994511427,0.0806451612903226,124,0.339197544689809,0.363584985276247,0.903717994055026,-0.941906344229166
PstI.TP855559,11,5958,0.0356458139878795,0.25,124,0.339197544689809,0.363445924571874,0.903717994055026,0.592415898841839
PstI.TP510424,10,7091437,0.0362883533683054,0.141129032258065,124,0.339197544689809,0.363275521065943,0.903717994055026,-0.5952013231106
PstI.TP1181476,5,2299991,0.0366714128638321,0.221774193548387,124,0.339197544689809,0.363175448453661,0.903717994055026,-0.538398158101068
PstI.TP478050,3,63462498,0.0368181404985381,0.0645161290322581,124,0.339197544689809,0.363137409956449,0.903717994055026,-0.800711484203492
PstI.TP360715,10,58959795,0.0379521432656766,0.161290322580645,124,0.339197544689809,0.362848742862135,0.914250799343219,-0.504738179961003
PstI.TP995394,9,50625938,0.0391050000156733,0.495967741935484,124,0.339197544689809,0.362564517455297,0.914250799343219,-0.39911242279916
