,SNP,MAF.x,PVE.y
1,GFk45ctg179201_418,0.0733,0.0024
2,GFSSContig11377_769,0.2685,3.359
3,GFSSContig11619_923,0.3711,2.567
4,GFSSContig14485_1273,0.3764,3.277
5,GFSSContig15044_1090,0.1863,0.412
6,GFSSContig16256_300,0.1496,2.187
7,GFSSContig16952_694,0.4237,7.668
8,GFSSContig17419_591,0.4273,3.358
9,GFSSContig18315_975,0.2024,0.03153
10,GFSSContig19146_697,0.204,0.51
11,GFSSContig19333_2734,0.5,0.0275
12,GFSSContig3389_148,0.09227,2.041
13,GFSSContig4510_767,0.1399,1.66
14,GFSSContig4757_256,0.1241,0.1005
15,GFSSContig4787_601,0.0703,3.701
16,NsiI.TP1005,0.1136,1.267
17,NsiI.TP101439,0.3149,2.589
18,NsiI.TP102705,0.27,2.215
19,NsiI.TP10339,0.3533,0.01946
20,NsiI.TP104065,0.4347,0.2494
21,NsiI.TP106121,0.2984,3.468
22,NsiI.TP107770,0.08495,0.01051
23,NsiI.TP108822,0.1168,1.239
24,NsiI.TP109633,0.2884,0.08808
25,NsiI.TP110016,0.2106,2.091
26,NsiI.TP111087,0.1564,4.612
27,NsiI.TP111245,0.1704,11.93
28,NsiI.TP111392,0.2989,1.937
29,NsiI.TP115118,0.1159,1.474
30,NsiI.TP115800,0.229,0.09467
31,NsiI.TP115990,0.339,0.07332
32,NsiI.TP11763,0.4454,0.002045
33,NsiI.TP117758,0.0172,1.92E-06
34,NsiI.TP119411,0.324,0.09527
35,NsiI.TP119595,0.1524,9.451
36,NsiI.TP119766,0.3419,1.583
37,NsiI.TP120901,0.2054,1.901
38,NsiI.TP123409,0.0189,0
39,NsiI.TP123778,0.4698,2.845
40,NsiI.TP123780,0.25,2.78E-05
41,NsiI.TP125412,0.1079,2.957
42,NsiI.TP125422,0.06268,7.038
43,NsiI.TP127048,0.1758,0.2148
44,NsiI.TP127103,0.1814,0.09253
45,NsiI.TP127922,0.1785,4.846
46,NsiI.TP128678,0.4086,1.624
47,NsiI.TP129464,0.0796,0.003789
48,NsiI.TP130730,0.0819,0.4699
49,NsiI.TP135373,0.3479,0.2087
50,NsiI.TP138508,0.1898,0.01227
51,NsiI.TP13900,0.1149,1.401
52,NsiI.TP139027,0.129,2.471
53,NsiI.TP146169,0.3284,9.32E-06
54,NsiI.TP146180,0.205,0.2752
55,NsiI.TP146839,0.4285,3.038
56,NsiI.TP149102,0.1437,0.8238
57,NsiI.TP149154,0.4062,6.337
58,NsiI.TP150749,0.1293,0.916
59,NsiI.TP151058,0.0259,0
60,NsiI.TP152015,0.3589,0.973
61,NsiI.TP152255,0.06559,0.1916
62,NsiI.TP152677,0.1209,0.7564
63,NsiI.TP154316,0.0547,3.285
64,NsiI.TP154359,0.2417,1.359
65,NsiI.TP15605,0.1508,0.1045
66,NsiI.TP156555,0.2802,7.723
67,NsiI.TP156560,0.265,1.78
68,NsiI.TP159695,0.172,2.329
69,NsiI.TP16416,0.06897,3.362
70,NsiI.TP166838,0.346,3.291
71,NsiI.TP167396,0.4767,7.559
72,NsiI.TP167708,0.4987,0.4292
73,NsiI.TP169322,0.3539,3.683
74,NsiI.TP169977,0.08515,9.931
75,NsiI.TP171370,0.2537,0.02049
76,NsiI.TP17176,0.08927,1.479
77,NsiI.TP172212,0.3031,0.2521
78,NsiI.TP172371,0.1778,1.598
79,NsiI.TP174370,0.4142,0.6057
80,NsiI.TP175336,0.3616,0.4818
81,NsiI.TP175409,0.1362,2.392
82,NsiI.TP176730,0.1303,1.02E-05
83,NsiI.TP176915,0.3848,7.949
84,NsiI.TP1783,0.3987,18.66
85,NsiI.TP179941,0.0474,0
86,NsiI.TP179961,0.4137,2.424
87,NsiI.TP180786,0.4622,3.631
88,NsiI.TP183334,0.09987,0.09499
89,NsiI.TP185806,0.1566,2.942
90,NsiI.TP185826,0.4249,0.06987
91,NsiI.TP187694,0.4547,2.719
92,NsiI.TP188522,0.06881,0.06224
93,NsiI.TP189044,0.1798,0.1987
94,NsiI.TP190912,0.2318,0.4689
95,NsiI.TP191077,0.4503,4.583
96,NsiI.TP19314,0.1723,3.154
97,NsiI.TP194619,0.1238,7.021
98,NsiI.TP195045,0.4752,2.318
99,NsiI.TP195180,0.1034,1.041
100,NsiI.TP196097,0.2897,1.316
101,NsiI.TP196221,0.07654,1.833
102,NsiI.TP196281,0.4926,0.4155
103,NsiI.TP197957,0.2113,0.07672
104,NsiI.TP198999,0.0786,0.4571
105,NsiI.TP203570,0.2069,14.18
106,NsiI.TP204910,0.4525,0.01017
107,NsiI.TP205252,0.1568,0.8147
108,NsiI.TP205267,0.0776,2.00E-04
109,NsiI.TP208407,0.1201,2.334
110,NsiI.TP208538,0.1491,4.44
111,NsiI.TP208628,0.2159,1.071
112,NsiI.TP208710,0.1168,3.813
113,NsiI.TP210176,0.4755,7.378
114,NsiI.TP210502,0.3428,0.9489
115,NsiI.TP210953,0.0474,0
116,NsiI.TP211131,0.0647,4.046
117,NsiI.TP211144,0.196,0.02418
118,NsiI.TP212267,0.3025,1.857
119,NsiI.TP214052,0.05812,0.7294
120,NsiI.TP214170,0.3558,0.1793
121,NsiI.TP215974,0.0172,0
122,NsiI.TP21698,0.1639,5.811
123,NsiI.TP217157,0.1512,0.4843
124,NsiI.TP217249,0.0995,0.62
125,NsiI.TP218127,0.2782,0.2993
126,NsiI.TP219720,0.2173,0.02808
127,NsiI.TP222046,0.1113,0.1283
128,NsiI.TP222605,0.1786,0.2528
129,NsiI.TP222867,0.3101,1.61
130,NsiI.TP223397,0.399,0.175
131,NsiI.TP223943,0.2234,6.123
132,NsiI.TP224600,0.3889,0.7323
133,NsiI.TP225733,0.05408,0.9684
134,NsiI.TP22693,0.1965,3.837
135,NsiI.TP229129,0.4595,4.814
136,NsiI.TP230244,0.1701,0.5977
137,NsiI.TP23197,0.4888,0.371
138,NsiI.TP234466,0.08643,2.395
139,NsiI.TP23487,0.09354,5.08
140,NsiI.TP234912,0.1057,0.08691
141,NsiI.TP237545,0.4836,1.343
142,NsiI.TP237994,0.1308,0.004262
143,NsiI.TP238740,0.09273,3.44
144,NsiI.TP238741,0.3052,0.01009
145,NsiI.TP241069,0.3984,6.116
146,NsiI.TP243305,0.1552,6.00E-04
147,NsiI.TP245163,0.2241,12.47
148,NsiI.TP245879,0.09896,4.777
149,NsiI.TP245890,0.3233,0.6491
150,NsiI.TP246551,0.4079,3.036
151,NsiI.TP248677,0.1829,0.7515
152,NsiI.TP250793,0.2255,0.4657
153,NsiI.TP251147,0.4457,1.602
154,NsiI.TP253869,0.4755,0.04436
155,NsiI.TP25459,0.117,2.342
156,NsiI.TP255006,0.1739,0.9349
