,SNP,Chromosome,Position,P.value,MAF,Ind.SNP,PS,Software,Method,Trait.name,PVE,P.value.1
975,NsiI.TP388861,4,53760575,4.24E-05,0.1974,F116+36088im,PS_Y,mrMLMM,mrMLM,HW_50,15.5876,4.00E-05
976,PstI.TP133136,5,65324990,3.20E-08,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,HW_50,10.2796,3.00E-08
977,PstI.TP532426,7,64966356,0.00011215,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,HW_50,4.9328,1.00E-04
978,PstI.TP1107958,9,50254652,6.71E-05,0.0175,F116+36088im,PS_Y,mrMLMM,mrMLM,HW_50,13.9858,7.00E-05
979,PstI.TP1282314,9,15059279,9.14E-05,0.1623,F116+36088im,PS_Y,mrMLMM,mrMLM,HW_50,9.3806,9.00E-05
980,PstI.TP133136,5,65324990,7.76E-08,0.194,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HW_50,5.7125,8.00E-08
981,PstI.TP1282314,9,15059279,8.89E-07,0.1595,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HW_50,8.668,9.00E-07
982,PstI.TP896950,11,6252,0.000111738,0.2198,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,HW_50,3.3372,1.00E-04
983,PstI.TP325669,4,67124681,2.58E-08,0.3233,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,7.0758,3.00E-08
984,PstI.TP133136,5,65324990,4.63E-06,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,3.571,5.00E-06
985,PstI.TP187918,11,1532,2.85E-05,0.25,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,6.1542,3.00E-05
986,PstI.TP874146,11,6098,0.000138739,0.056,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,8.6312,1.00E-04
987,PstI.TP1020545,11,7078,0.000195029,0.3405,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,2.8057,2.00E-04
988,NsiI.TP495572,11,15165,4.53E-08,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,HW_50,10.8395,5.00E-08
989,NsiI.TP30868,1,51136397,5.03E-05,0.0991,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HW_50,2.1402,5.00E-05
990,PstI.TP133136,5,65324990,3.47E-08,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HW_50,5.8505,3.00E-08
991,PstI.TP125419,10,50424324,0.00016293,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HW_50,2.3324,2.00E-04
992,NsiI.TP495572,11,15165,1.39E-06,0.2328,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HW_50,10.2443,1.00E-06
993,NsiI.TP524956,11,15612,3.84E-05,0.2974,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,HW_50,5.0801,4.00E-05
994,NsiI.TP388861,4,53760575,0.000196336,0.1974,F116+36088im,PS_Y,mrMLMM,mrMLM,FW_50,14.52,2.00E-04
995,PstI.TP133136,5,65324990,3.23E-07,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,FW_50,9.8308,3.00E-07
996,PstI.TP532426,7,64966356,1.10E-05,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,FW_50,6.934,1.00E-05
997,PstI.TP1107958,9,50254652,5.68E-05,0.0175,F116+36088im,PS_Y,mrMLMM,mrMLM,FW_50,15.4481,6.00E-05
998,PstI.TP898128,9,54591637,0.000102447,0.2198,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FW_50,7.0968,1.00E-04
999,PstI.TP115244,11,953,8.52E-06,0.4397,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FW_50,8.687,9.00E-06
1000,PstI.TP187918,11,1532,1.71E-05,0.25,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FW_50,6.0083,2.00E-05
1001,NsiI.TP495572,11,15165,6.48E-05,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,FW_50,7.5084,6.00E-05
1002,PstI.TP325669,4,67124681,5.07E-06,0.3233,F116+36088im,PS_Y,mrMLMM,pLARmEB,FW_50,6.2991,5.00E-06
1003,PstI.TP133136,5,65324990,0.000109951,0.194,F116+36088im,PS_Y,mrMLMM,pLARmEB,FW_50,3.4463,1.00E-04
1004,PstI.TP187918,11,1532,6.90E-05,0.25,F116+36088im,PS_Y,mrMLMM,pLARmEB,FW_50,5.6358,7.00E-05
1005,PstI.TP874146,11,6098,3.25E-05,0.056,F116+36088im,PS_Y,mrMLMM,pLARmEB,FW_50,8.5808,3.00E-05
1006,NsiI.TP495572,11,15165,6.59E-07,0.2328,F116+36088im,PS_Y,mrMLMM,pLARmEB,FW_50,9.8081,7.00E-07
1007,PstI.TP133136,5,65324990,2.17E-07,0.194,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FW_50,4.7685,2.00E-07
1008,PstI.TP125419,10,50424324,3.14E-06,0.2241,F116+36088im,PS_Y,mrMLMM,ISIS EM-BLASSO,FW_50,3.6634,3.00E-06
1009,NsiI.TP30868,1,51136397,3.33E-05,0.1009,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,5.0473,3.00E-05
1010,NsiI.TP766568,1,13943502,2.28E-07,0.4693,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,13.0326,2.00E-07
1011,PstI.TP513949,3,61369495,0.00019611,0.3421,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,7.8314,2.00E-04
1012,NsiI.TP388861,4,53760575,1.36E-06,0.1974,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,11.7103,1.00E-06
1013,PstI.TP133136,5,65324990,3.08E-10,0.193,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,8.514,3.00E-10
1014,PstI.TP532426,7,64966356,9.44E-05,0.4561,F116+36088im,PS_Y,mrMLMM,mrMLM,GHW_1,5.9875,9.00E-05
1015,PstI.TP133136,5,65324990,0.00015449,0.194,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_1,2.2991,2.00E-04
1016,PstI.TP125419,10,50424324,5.84E-05,0.2241,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_1,2.3748,6.00E-05
1017,NsiI.TP767179,11,18585,4.74E-05,0.2328,F116+36088im,PS_Y,mrMLMM,FASTmrMLM,GHW_1,12.1744,5.00E-05
