"","SNP","Gene","chr","start","end","width","strand"
"GFk45ctg179201_418","GFk45ctg179201_418","Sobic.004G134200.1","Chr04",22556949,22575455,18507,"-"
"GFSSContig11377_7691","GFSSContig11377_769","Sobic.001G016900.3","Chr01",1467448,1471602,4155,"+"
"GFSSContig11377_7692","GFSSContig11377_769","Sobic.001G016900.1","Chr01",1467448,1473628,6181,"+"
"GFSSContig11377_7693","GFSSContig11377_769","Sobic.001G016900.2","Chr01",1467448,1473628,6181,"+"
"GFSSContig11377_7694","GFSSContig11377_769","Sobic.001G016900.4","Chr01",1467448,1473628,6181,"+"
"GFSSContig11377_7695","GFSSContig11377_769","Sobic.001G017100.2","Chr01",1477012,1479956,2945,"+"
"GFSSContig11377_7696","GFSSContig11377_769","Sobic.001G017100.5","Chr01",1477229,1479956,2728,"+"
"GFSSContig11377_7697","GFSSContig11377_769","Sobic.001G017100.4","Chr01",1477251,1479956,2706,"+"
"GFSSContig11377_7698","GFSSContig11377_769","Sobic.001G017200.1","Chr01",1480415,1485939,5525,"+"
"GFSSContig11377_7699","GFSSContig11377_769","Sobic.001G017000.1","Chr01",1473135,1474616,1482,"-"
"GFSSContig11377_76910","GFSSContig11377_769","Sobic.001G017300.1","Chr01",1486492,1491239,4748,"-"
"GFSSContig11619_9231","GFSSContig11619_923","Sobic.002G249700.1","Chr02",63682208,63685011,2804,"+"
"GFSSContig11619_9232","GFSSContig11619_923","Sobic.002G249600.1","Chr02",63673828,63676586,2759,"-"
"GFSSContig11619_9233","GFSSContig11619_923","Sobic.002G249650.1","Chr02",63678982,63679353,372,"-"
"GFSSContig11619_9234","GFSSContig11619_923","Sobic.002G249800.1","Chr02",63685205,63688420,3216,"-"
"GFSSContig11619_9235","GFSSContig11619_923","Sobic.002G249900.1","Chr02",63692031,63694541,2511,"-"
"GFSSContig14485_12731","GFSSContig14485_1273","Sobic.001G532600.1","Chr01",79587920,79592040,4121,"-"
"GFSSContig14485_12732","GFSSContig14485_1273","Sobic.001G532600.2","Chr01",79587920,79592040,4121,"-"
"GFSSContig14485_12733","GFSSContig14485_1273","Sobic.001G532600.4","Chr01",79587920,79592040,4121,"-"
"GFSSContig14485_12734","GFSSContig14485_1273","Sobic.001G532600.3","Chr01",79588947,79592040,3094,"-"
"GFSSContig14485_12735","GFSSContig14485_1273","Sobic.001G532700.1","Chr01",79596097,79601102,5006,"-"
"GFSSContig15044_10901","GFSSContig15044_1090","Sobic.004G086200.1","Chr04",7155714,7166846,11133,"+"
"GFSSContig15044_10902","GFSSContig15044_1090","Sobic.004G086200.2","Chr04",7155714,7166846,11133,"+"
"GFSSContig15044_10903","GFSSContig15044_1090","Sobic.004G086200.3","Chr04",7155714,7166856,11143,"+"
"GFSSContig15044_10904","GFSSContig15044_1090","Sobic.004G086200.4","Chr04",7159428,7166856,7429,"+"
"GFSSContig15044_10905","GFSSContig15044_1090","Sobic.004G086300.1","Chr04",7169366,7173095,3730,"+"
"GFSSContig16256_3001","GFSSContig16256_300","Sobic.003G062300.1","Chr03",5438686,5444182,5497,"+"
"GFSSContig16256_3002","GFSSContig16256_300","Sobic.003G062400.1","Chr03",5445388,5450448,5061,"+"
"GFSSContig16256_3003","GFSSContig16256_300","Sobic.003G062400.2","Chr03",5445422,5451615,6194,"+"
"GFSSContig16256_3004","GFSSContig16256_300","Sobic.003G062500.1","Chr03",5452782,5454358,1577,"+"
"GFSSContig16256_3005","GFSSContig16256_300","Sobic.003G062500.2","Chr03",5452782,5454358,1577,"+"
"GFSSContig16256_3006","GFSSContig16256_300","Sobic.003G062600.1","Chr03",5457757,5459243,1487,"+"
"GFSSContig16952_694","GFSSContig16952_694","Sobic.005G109000.1","Chr05",21259432,21261780,2349,"-"
"GFSSContig17419_5911","GFSSContig17419_591","Sobic.010G260300.1","Chr10",59696142,59700239,4098,"+"
"GFSSContig17419_5912","GFSSContig17419_591","Sobic.010G260500.1","Chr10",59706329,59709209,2881,"+"
"GFSSContig17419_5913","GFSSContig17419_591","Sobic.010G260600.1","Chr10",59709324,59713263,3940,"+"
"GFSSContig17419_5914","GFSSContig17419_591","Sobic.010G260400.1","Chr10",59702634,59706098,3465,"-"
"GFSSContig18315_9751","GFSSContig18315_975","Sobic.009G187150.1","Chr09",53978163,53980040,1878,"+"
"GFSSContig18315_9752","GFSSContig18315_975","Sobic.009G187100.1","Chr09",53975946,53977915,1970,"-"
"GFSSContig18315_9753","GFSSContig18315_975","Sobic.009G187200.1","Chr09",53981394,53983493,2100,"-"
"GFSSContig18315_9754","GFSSContig18315_975","Sobic.009G187300.1","Chr09",53985664,53987371,1708,"-"
"GFSSContig18315_9755","GFSSContig18315_975","Sobic.009G187300.2","Chr09",53985672,53987371,1700,"-"
"GFSSContig18315_9756","GFSSContig18315_975","Sobic.009G187300.3","Chr09",53985681,53987371,1691,"-"
