"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1",1,"GFk45ctg179201_418","Sobic.004G134200",4,22559183,1,"PS_N(1)","F116+36088im(1)","","","FM_1(1)","","","","","FASTmrMLM(1)","",0.0733,0.0024,1,"Chr04",22556949,22575455,18507,"-",-2234,-16272,37932285,"Sobic.004G134200","Sobic.004G134200.1","Sobic.004G134200.1.p","PF02841,PF02263","PTHR10751,PTHR10751:SF44","KOG2037","","","GO:0005525,GO:0003924","AT5G46070.1","","Guanylate-binding family protein","LOC_Os02g20410.1",NA,"GTP binding protein, putative, expressed"
"2",2,"GFSSContig11377_769","Sobic.001G016900",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,3,"Chr01",1467448,1471602,4155,"+",-14032,9878,37943993,"Sobic.001G016900","Sobic.001G016900.3","Sobic.001G016900.3.p","PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340.1","UNE6","LUC7 related protein","LOC_Os03g62640.3",NA,"RNA-binding protein Luc7-like, putative, expressed"
"4",9,"GFSSContig11377_769","Sobic.001G017200",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,1,"Chr01",1480415,1485939,5525,"+",-1065,-4459,37940123,"Sobic.001G017200","Sobic.001G017200.1","Sobic.001G017200.1.p","PF03839","PTHR12443:SF9,PTHR12443","KOG2927","","K12275","GO:0008565,GO:0015031,GO:0016021","AT3G20920.1","","translocation protein-related","LOC_Os02g23890.1",NA,"protein transporter, putative, expressed"
"5",10,"GFSSContig11377_769","Sobic.001G017000",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,1,"Chr01",1473135,1474616,1482,"-",-8345,6864,37942444,"Sobic.001G017000","Sobic.001G017000.1","Sobic.001G017000.1.p","PF01250","PTHR21011,PTHR21011:SF1","","","K02990","GO:0019843,GO:0006412,GO:0005840,GO:0003735","AT1G64510.1","","Translation elongation  factor EF1B/ribosomal protein S6 family protein","LOC_Os03g62630.1",NA,"ribosomal protein S6, putative, expressed"
"7",12,"GFSSContig11619_923","Sobic.002G249700",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63682208,63685011,2804,"+",-4228,1425,37951105,"Sobic.002G249700","Sobic.002G249700.1","Sobic.002G249700.1.p","PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230.1","WAK5","wall associated kinase 5","LOC_Os09g29510.1",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"8",13,"GFSSContig11619_923","Sobic.002G249600",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63673828,63676586,2759,"-",-12608,9850,37950964,"Sobic.002G249600","Sobic.002G249600.1","Sobic.002G249600.1.p","PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21270.1","WAK2","wall-associated kinase 2","LOC_Os09g29510.1",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"11",16,"GFSSContig11619_923","Sobic.002G249900",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63692031,63694541,2511,"-",5595,-8105,37951860,"Sobic.002G249900","Sobic.002G249900.1","Sobic.002G249900.1.p","PF01370","PTHR10366,PTHR10366:SF392","KOG1502","1.2.1.44","","GO:0050662,GO:0003824","AT2G33590.1","","NAD(P)-binding Rossmann-fold superfamily protein","LOC_Os09g31490.1",NA,"reductase, putative, expressed"
"12",17,"GFSSContig14485_1273","Sobic.001G532600",1,79597601,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.3764,3.277,1,"Chr01",79587920,79592040,4121,"-",-9681,5561,37942333,"Sobic.001G532600","Sobic.001G532600.1","Sobic.001G532600.1.p","PF12766","PTHR10851,PTHR10851:SF3","KOG4558","1.4.3.5","","GO:0010181,GO:0055114,GO:0008615,GO:0004733","AT2G46580.1","","Pyridoxamine 5\'-phosphate oxidase family protein","LOC_Os03g02450.2",NA,"pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed"
"13",21,"GFSSContig14485_1273","Sobic.001G532700",1,79597601,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.3764,3.277,1,"Chr01",79596097,79601102,5006,"-",-1504,-3501,37939390,"Sobic.001G532700","Sobic.001G532700.1","Sobic.001G532700.1.p","PF00400","PTHR14221,PTHR14221:SF1","","","","GO:0005515","AT5G24320.1","","Transducin/WD40 repeat-like superfamily protein","LOC_Os03g02440.2",NA,"WD repeat-containing protein 44, putative, expressed"
"14",22,"GFSSContig15044_1090","Sobic.004G086200",4,7164817,5,"PS_Y(5)","F116+36088im(5)","","","","FD_50(1);FW_50(1);FM_50(1)","fprinW(1);fprind(1)","CMLM+SUPER(1)MLM+SUPER(4)","","","",0.1863,0.412,1,"Chr04",7155714,7166846,11133,"+",-9103,-2029,37930851,"Sobic.004G086200","Sobic.004G086200.1","Sobic.004G086200.1.p","PF00160","PTHR11071,PTHR11071:SF297","KOG0879","5.2.1.8","K09566","GO:0006457,GO:0003755,GO:0000413","AT3G63400.3","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","LOC_Os02g10970.1",NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
"16",27,"GFSSContig16256_300","Sobic.003G062300",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5438686,5444182,5497,"+",-15250,9754,37913178,"Sobic.003G062300","Sobic.003G062300.1","Sobic.003G062300.1.p","PF01422","PTHR12360","KOG1952","","K15683","GO:0008270,GO:0006355,GO:0005634,GO:0003700","AT5G05660.1","ATNFXL2","sequence-specific DNA binding transcription factors;zinc ion binding;sequence-specific DNA binding transcription factors","LOC_Os01g06550.1",NA,"NF-X1-type zinc finger protein, putative, expressed"
"17",28,"GFSSContig16256_300","Sobic.003G062400",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5445388,5450448,5061,"+",-8548,3488,37918218,"Sobic.003G062400","Sobic.003G062400.1","Sobic.003G062400.1.p","PF00628,PF12165","PTHR12321,PTHR12321:SF37","KOG1632","","","GO:0005515,GO:0042393,GO:0006355","AT5G05610.2","AL1","alfin-like 1","LOC_Os05g07040.1",NA,"PHD finger protein, putative, expressed"
"19",32,"GFSSContig16256_300","Sobic.003G062600",3,5453936,15,"PS_Y(15)","F116+36088im(15)","GHW_1(2);HM_1(2)","","FW_1(1);GFW_1(1)","FD_50(1);FW_50(1);GFW_50(2);FM_50(2)","fprinW(1);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(9)","","","",0.1496,2.187,1,"Chr03",5457757,5459243,1487,"+",3821,-5307,37915638,"Sobic.003G062600","Sobic.003G062600.1","Sobic.003G062600.1.p","PF00201","PTHR11926,PTHR11926:SF167","","","","GO:0016758,GO:0008152","AT4G15480.1","UGT84A1","UDP-Glycosyltransferase superfamily protein","LOC_Os02g09510.1",NA,"limonoid UDP-glucosyltransferase, putative, expressed"
"20",33,"GFSSContig16952_694","Sobic.005G109000",5,21260380,4,"PS_Y(4)","F116+36088im(4)","GHW_1(2);HM_1(1)","","GFW_1(1)","","","CMLM+SUPER(1)MLM+SUPER(3)","","","",0.4237,7.668,1,"Chr05",21259432,21261780,2349,"-",-948,-1400,37925635,"Sobic.005G109000","Sobic.005G109000.1","Sobic.005G109000.1.p","PF00067","PTHR24296,PTHR24296:SF5","KOG0157","","","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT3G48520.1","CYP94B3","cytochrome P450, family 94, subfamily B, polypeptide 3","LOC_Os11g29290.1",NA,"cytochrome P450, putative, expressed"
