,SNP,Gene,chr,start,end,width,strand,dis_start.positon,dis_positon.end
87,NsiI.TP106121,NA,NA,NA,NA,NA,NA,,
88,NsiI.TP107770,NA,NA,NA,NA,NA,NA,,
91,NsiI.TP109633,NA,NA,NA,NA,NA,NA,,
92,NsiI.TP110016,NA,NA,NA,NA,NA,NA,,
93,NsiI.TP111087,NA,NA,NA,NA,NA,NA,,
94,NsiI.TP111245,NA,NA,NA,NA,NA,NA,,
99,NsiI.TP115118,NA,NA,NA,NA,NA,NA,,
101,NsiI.TP115990,NA,NA,NA,NA,NA,NA,,
110,NsiI.TP119411,NA,NA,NA,NA,NA,NA,,
114,NsiI.TP119766,NA,NA,NA,NA,NA,NA,,
156,NsiI.TP130730,NA,NA,NA,NA,NA,NA,,
157,NsiI.TP135373,NA,NA,NA,NA,NA,NA,,
158,NsiI.TP138508,NA,NA,NA,NA,NA,NA,,
159,NsiI.TP13900,NA,NA,NA,NA,NA,NA,,
166,NsiI.TP146839,NA,NA,NA,NA,NA,NA,,
167,NsiI.TP149102,NA,NA,NA,NA,NA,NA,,
188,NsiI.TP152255,NA,NA,NA,NA,NA,NA,,
192,NsiI.TP154316,NA,NA,NA,NA,NA,NA,,
201,NsiI.TP156555,NA,NA,NA,NA,NA,NA,,
214,NsiI.TP16416,NA,NA,NA,NA,NA,NA,,
231,NsiI.TP167708,NA,NA,NA,NA,NA,NA,,
251,NsiI.TP172371,NA,NA,NA,NA,NA,NA,,
256,NsiI.TP175409,NA,NA,NA,NA,NA,NA,,
260,NsiI.TP176915,NA,NA,NA,NA,NA,NA,,
261,NsiI.TP1783,NA,NA,NA,NA,NA,NA,,
265,NsiI.TP179961,NA,NA,NA,NA,NA,NA,,
266,NsiI.TP180786,NA,NA,NA,NA,NA,NA,,
269,NsiI.TP185806,NA,NA,NA,NA,NA,NA,,
270,NsiI.TP185826,NA,NA,NA,NA,NA,NA,,
271,NsiI.TP187694,NA,NA,NA,NA,NA,NA,,
272,NsiI.TP188522,NA,NA,NA,NA,NA,NA,,
277,NsiI.TP190912,NA,NA,NA,NA,NA,NA,,
278,NsiI.TP191077,NA,NA,NA,NA,NA,NA,,
279,NsiI.TP19314,NA,NA,NA,NA,NA,NA,,
291,NsiI.TP196097,NA,NA,NA,NA,NA,NA,,
292,NsiI.TP196221,NA,NA,NA,NA,NA,NA,,
293,NsiI.TP196281,NA,NA,NA,NA,NA,NA,,
294,NsiI.TP197957,NA,NA,NA,NA,NA,NA,,
317,NsiI.TP208407,NA,NA,NA,NA,NA,NA,,
318,NsiI.TP208538,NA,NA,NA,NA,NA,NA,,
319,NsiI.TP208628,NA,NA,NA,NA,NA,NA,,
329,NsiI.TP210502,NA,NA,NA,NA,NA,NA,,
362,NsiI.TP215974,NA,NA,NA,NA,NA,NA,,
369,NsiI.TP217157,NA,NA,NA,NA,NA,NA,,
400,NsiI.TP222867,NA,NA,NA,NA,NA,NA,,
422,NsiI.TP225733,NA,NA,NA,NA,NA,NA,,
423,NsiI.TP22693,NA,NA,NA,NA,NA,NA,,
424,NsiI.TP229129,NA,NA,NA,NA,NA,NA,,
425,NsiI.TP230244,NA,NA,NA,NA,NA,NA,,
430,NsiI.TP234466,NA,NA,NA,NA,NA,NA,,
431,NsiI.TP23487,NA,NA,NA,NA,NA,NA,,
432,NsiI.TP234912,NA,NA,NA,NA,NA,NA,,
438,NsiI.TP238740,NA,NA,NA,NA,NA,NA,,
439,NsiI.TP238741,NA,NA,NA,NA,NA,NA,,
442,NsiI.TP243305,NA,NA,NA,NA,NA,NA,,
452,NsiI.TP245890,NA,NA,NA,NA,NA,NA,,
455,NsiI.TP248677,NA,NA,NA,NA,NA,NA,,
489,NsiI.TP257521,NA,NA,NA,NA,NA,NA,,
498,NsiI.TP260906,NA,NA,NA,NA,NA,NA,,
512,NsiI.TP276353,NA,NA,NA,NA,NA,NA,,
515,NsiI.TP278971,NA,NA,NA,NA,NA,NA,,
516,NsiI.TP280339,NA,NA,NA,NA,NA,NA,,
521,NsiI.TP284022,NA,NA,NA,NA,NA,NA,,
522,NsiI.TP285092,NA,NA,NA,NA,NA,NA,,
526,NsiI.TP288843,NA,NA,NA,NA,NA,NA,,
535,NsiI.TP290592,NA,NA,NA,NA,NA,NA,,
536,NsiI.TP293440,NA,NA,NA,NA,NA,NA,,
543,NsiI.TP302373,NA,NA,NA,NA,NA,NA,,
544,NsiI.TP303442,NA,NA,NA,NA,NA,NA,,
548,NsiI.TP304396,NA,NA,NA,NA,NA,NA,,
549,NsiI.TP30868,NA,NA,NA,NA,NA,NA,,
550,NsiI.TP309926,NA,NA,NA,NA,NA,NA,,
551,NsiI.TP310185,NA,NA,NA,NA,NA,NA,,
552,NsiI.TP314390,NA,NA,NA,NA,NA,NA,,
558,NsiI.TP318460,NA,NA,NA,NA,NA,NA,,
559,NsiI.TP319204,NA,NA,NA,NA,NA,NA,,
560,NsiI.TP319863,NA,NA,NA,NA,NA,NA,,
561,NsiI.TP321836,NA,NA,NA,NA,NA,NA,,
566,NsiI.TP324424,NA,NA,NA,NA,NA,NA,,
574,NsiI.TP324732,NA,NA,NA,NA,NA,NA,,
586,NsiI.TP328982,NA,NA,NA,NA,NA,NA,,
594,NsiI.TP331229,NA,NA,NA,NA,NA,NA,,
595,NsiI.TP333584,NA,NA,NA,NA,NA,NA,,
596,NsiI.TP333882,NA,NA,NA,NA,NA,NA,,
599,NsiI.TP337152,NA,NA,NA,NA,NA,NA,,
616,NsiI.TP343718,NA,NA,NA,NA,NA,NA,,
617,NsiI.TP344870,NA,NA,NA,NA,NA,NA,,
618,NsiI.TP346232,NA,NA,NA,NA,NA,NA,,
658,NsiI.TP358792,NA,NA,NA,NA,NA,NA,,
668,NsiI.TP359530,NA,NA,NA,NA,NA,NA,,
669,NsiI.TP360446,NA,NA,NA,NA,NA,NA,,
672,NsiI.TP361679,NA,NA,NA,NA,NA,NA,,
673,NsiI.TP363117,NA,NA,NA,NA,NA,NA,,
681,NsiI.TP368101,NA,NA,NA,NA,NA,NA,,
705,NsiI.TP373338,NA,NA,NA,NA,NA,NA,,
706,NsiI.TP373942,NA,NA,NA,NA,NA,NA,,
