"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"39",60,"GFSSContig3389_148","Sobic.001G092250",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7129663,7131337,1675,"-",-2575,901,37943734,"Sobic.001G092250","Sobic.001G092250.1","Sobic.001G092250.1.p","","","","","","","","","","",NA,""
"41",62,"GFSSContig3389_148","Sobic.001G092400",1,7132238,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.09227,2.041,1,"Chr01",7134385,7137059,2675,"-",2147,-4821,37938196,"Sobic.001G092400","Sobic.001G092400.1","Sobic.001G092400.1.p","","","","","","","","","","",NA,""
"54",76,"NsiI.TP102705","Sobic.004G116050",4,12103867,2,"PS_Y(2)","F116+36088im(2)","HM_1(1)","","GFW_1(1)","","","MLM+SUPER(2)","","","",0.27,2.215,1,"Chr04",12097090,12098839,1750,"+",-6777,5028,37933869,"Sobic.004G116050","Sobic.004G116050.1","Sobic.004G116050.1.p","","","","","","","","","","",NA,""
"59",83,"NsiI.TP10339","Sobic.004G302550",4,64117829,1,"PS_Y(1)","F116+36088im(1)","","","GFW_1(1)","","","MLM+SUPER(1)","","","",0.3533,0.01946,1,"Chr04",64109435,64110582,1148,"+",-8394,7247,37931794,"Sobic.004G302550","Sobic.004G302550.1","Sobic.004G302550.1.p","","","","","","","","","","",NA,""
"65",95,"NsiI.TP111392","Sobic.002G344100",2,71036593,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.2989,1.937,1,"Chr02",71037853,71038846,994,"+",1260,-2253,37954374,"Sobic.002G344100","Sobic.002G344100.1","Sobic.002G344100.1.p","","","","","","","","","","",NA,""
"66",97,"NsiI.TP111392","Sobic.002G344000",2,71036593,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.2989,1.937,1,"Chr02",71031372,71036088,4717,"-",-5221,505,37953751,"Sobic.002G344000","Sobic.002G344000.1","Sobic.002G344000.1.p","PF13365","PTHR18868,PTHR18868:SF19","","","","","","","","LOC_Os03g01940.1",NA,"expressed protein"
"69",103,"NsiI.TP11763","Sobic.002G175050",2,55368372,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.4454,0.002045,1,"Chr02",55377263,55378966,1704,"+",8891,-10594,37950315,"Sobic.002G175050","Sobic.002G175050.1","Sobic.002G175050.1.p","","","","","","","","","","",NA,""
"79",122,"NsiI.TP123778","Sobic.001G317500",1,60586278,24,"PS_Y(24)","F116+36088im(24)","HW_1(1);GHW_1(2);HM_1(2)","GHW_50(1)","FW_1(1);GFW_1(2);FM_1(2)","FD_50(2);FW_50(2);GFW_50(2);FM_50(1)","fprinW(2);fprind(2);fprinGW(2)","CMLM+SUPER(12)MLM+SUPER(12)","","","",0.4698,2.845,1,"Chr01",60578689,60579296,608,"+",-7589,6982,37944729,"Sobic.001G317500","Sobic.001G317500.1","Sobic.001G317500.1.p","","","","","","","","","","",NA,""
"94",139,"NsiI.TP127103","Sobic.003G221650",3,55736173,14,"PS_Y(14)","F116+36088im(14)","GHW_1(2);HM_1(1)","","GFW_1(2)","FD_50(1);FW_50(2);GFW_50(2)","fprinW(2);fprind(1);fprinGW(1)","CMLM+SUPER(6)MLM+SUPER(8)","","","",0.1814,0.09253,1,"Chr03",55732317,55733151,835,"-",-3856,3022,37912522,"Sobic.003G221650","Sobic.003G221650.1","Sobic.003G221650.1.p","","","","","","","","","","",NA,""
"98",143,"NsiI.TP127922","Sobic.004G196600",4,54754163,2,"PS_Y(2)","F116+36088im(2)","","","GFW_1(2)","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.1785,4.846,1,"Chr04",54759263,54761089,1827,"+",5100,-6926,37931865,"Sobic.004G196600","Sobic.004G196600.1","Sobic.004G196600.1.p","","","","","","","","","","LOC_Os02g38980.1",NA,"bromodomain domain containing protein, expressed"
