"","X","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1",1,"GFk45ctg179201_418","Sobic.004G134200",4,22559183,1,"PS_N(1)","F116+36088im(1)","","","FM_1(1)","","","","","FASTmrMLM(1)","",0.0733,0.0024,1,"Chr04",22556949,22575455,18507,"-",-2234,-16272,37932285,"Sobic.004G134200","Sobic.004G134200.1","Sobic.004G134200.1.p","PF02841,PF02263","PTHR10751,PTHR10751:SF44","KOG2037","","","GO:0005525,GO:0003924","AT5G46070.1","","Guanylate-binding family protein","LOC_Os02g20410.1",NA,"GTP binding protein, putative, expressed"
"2",2,"GFSSContig11377_769","Sobic.001G016900",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,3,"Chr01",1467448,1471602,4155,"+",-14032,9878,37943993,"Sobic.001G016900","Sobic.001G016900.3","Sobic.001G016900.3.p","PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340.1","UNE6","LUC7 related protein","LOC_Os03g62640.3",NA,"RNA-binding protein Luc7-like, putative, expressed"
"3",6,"GFSSContig11377_769","Sobic.001G017100",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,2,"Chr01",1477012,1479956,2945,"+",-4468,1524,37942329,"Sobic.001G017100","Sobic.001G017100.2","Sobic.001G017100.2.p","PF03168","PTHR31459,PTHR31459:SF2","","","","","AT2G44060.2","","Late embryogenesis abundant protein, group 2","LOC_Os03g62620.4",NA,"late embryogenesis abundant protein, putative, expressed"
"4",9,"GFSSContig11377_769","Sobic.001G017200",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,1,"Chr01",1480415,1485939,5525,"+",-1065,-4459,37940123,"Sobic.001G017200","Sobic.001G017200.1","Sobic.001G017200.1.p","PF03839","PTHR12443:SF9,PTHR12443","KOG2927","","K12275","GO:0008565,GO:0015031,GO:0016021","AT3G20920.1","","translocation protein-related","LOC_Os02g23890.1",NA,"protein transporter, putative, expressed"
"5",10,"GFSSContig11377_769","Sobic.001G017000",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,1,"Chr01",1473135,1474616,1482,"-",-8345,6864,37942444,"Sobic.001G017000","Sobic.001G017000.1","Sobic.001G017000.1.p","PF01250","PTHR21011,PTHR21011:SF1","","","K02990","GO:0019843,GO:0006412,GO:0005840,GO:0003735","AT1G64510.1","","Translation elongation  factor EF1B/ribosomal protein S6 family protein","LOC_Os03g62630.1",NA,"ribosomal protein S6, putative, expressed"
"6",11,"GFSSContig11377_769","Sobic.001G017300",1,1481480,2,"PS_Y(2)","F116+36088im(2)","GHW_1(2)","","","","","CMLM+SUPER(1)MLM+SUPER(1)","","","",0.2685,3.359,1,"Chr01",1486492,1491239,4748,"-",5012,-9759,37939305,"Sobic.001G017300","Sobic.001G017300.1","Sobic.001G017300.1.p","PF05991","PTHR34547","","","K06962","","AT2G02410.1","","","LOC_Os03g62610.1",NA,"RNA-binding protein containing a PIN domain, putative, expressed"
"7",12,"GFSSContig11619_923","Sobic.002G249700",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63682208,63685011,2804,"+",-4228,1425,37951105,"Sobic.002G249700","Sobic.002G249700.1","Sobic.002G249700.1.p","PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230.1","WAK5","wall associated kinase 5","LOC_Os09g29510.1",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"8",13,"GFSSContig11619_923","Sobic.002G249600",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63673828,63676586,2759,"-",-12608,9850,37950964,"Sobic.002G249600","Sobic.002G249600.1","Sobic.002G249600.1.p","PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21270.1","WAK2","wall-associated kinase 2","LOC_Os09g29510.1",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"9",14,"GFSSContig11619_923","Sobic.002G249650",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63678982,63679353,372,"-",-7454,7083,37951603,"Sobic.002G249650","Sobic.002G249650.1","Sobic.002G249650.1.p","","","","","","","AT1G10000.1","","Ribonuclease H-like superfamily protein","LOC_Os09g15410.1",NA,"retrotransposon protein, putative, unclassified"
"10",15,"GFSSContig11619_923","Sobic.002G249800",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63685205,63688420,3216,"-",-1231,-1984,37951057,"Sobic.002G249800","Sobic.002G249800.1","Sobic.002G249800.1.p","PF00012","PTHR19375,PTHR19375:SF202","","","K04043","","AT5G09590.1","HSC70-5,MTHSC70-2","mitochondrial HSO70 2","LOC_Os09g31486.1",NA,"DnaK family protein, putative, expressed"
"11",16,"GFSSContig11619_923","Sobic.002G249900",2,63686436,3,"PS_Y(3)","F116+36088im(3)","GHW_1(2);HM_1(1)","","","","","CMLM+SUPER(1)MLM+SUPER(2)","","","",0.3711,2.567,1,"Chr02",63692031,63694541,2511,"-",5595,-8105,37951860,"Sobic.002G249900","Sobic.002G249900.1","Sobic.002G249900.1.p","PF01370","PTHR10366,PTHR10366:SF392","KOG1502","1.2.1.44","","GO:0050662,GO:0003824","AT2G33590.1","","NAD(P)-binding Rossmann-fold superfamily protein","LOC_Os09g31490.1",NA,"reductase, putative, expressed"
"12",17,"GFSSContig14485_1273","Sobic.001G532600",1,79597601,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.3764,3.277,1,"Chr01",79587920,79592040,4121,"-",-9681,5561,37942333,"Sobic.001G532600","Sobic.001G532600.1","Sobic.001G532600.1.p","PF12766","PTHR10851,PTHR10851:SF3","KOG4558","1.4.3.5","","GO:0010181,GO:0055114,GO:0008615,GO:0004733","AT2G46580.1","","Pyridoxamine 5\'-phosphate oxidase family protein","LOC_Os03g02450.2",NA,"pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed"
"13",21,"GFSSContig14485_1273","Sobic.001G532700",1,79597601,1,"PS_Y(1)","F116+36088im(1)","HM_1(1)","","","","","MLM+SUPER(1)","","","",0.3764,3.277,1,"Chr01",79596097,79601102,5006,"-",-1504,-3501,37939390,"Sobic.001G532700","Sobic.001G532700.1","Sobic.001G532700.1.p","PF00400","PTHR14221,PTHR14221:SF1","","","","GO:0005515","AT5G24320.1","","Transducin/WD40 repeat-like superfamily protein","LOC_Os03g02440.2",NA,"WD repeat-containing protein 44, putative, expressed"
"14",22,"GFSSContig15044_1090","Sobic.004G086200",4,7164817,5,"PS_Y(5)","F116+36088im(5)","","","","FD_50(1);FW_50(1);FM_50(1)","fprinW(1);fprind(1)","CMLM+SUPER(1)MLM+SUPER(4)","","","",0.1863,0.412,1,"Chr04",7155714,7166846,11133,"+",-9103,-2029,37930851,"Sobic.004G086200","Sobic.004G086200.1","Sobic.004G086200.1.p","PF00160","PTHR11071,PTHR11071:SF297","KOG0879","5.2.1.8","K09566","GO:0006457,GO:0003755,GO:0000413","AT3G63400.3","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","LOC_Os02g10970.1",NA,"peptidyl-prolyl cis-trans isomerase, putative, expressed"
"15",26,"GFSSContig15044_1090","Sobic.004G086300",4,7164817,5,"PS_Y(5)","F116+36088im(5)","","","","FD_50(1);FW_50(1);FM_50(1)","fprinW(1);fprind(1)","CMLM+SUPER(1)MLM+SUPER(4)","","","",0.1863,0.412,1,"Chr04",7169366,7173095,3730,"+",4549,-8278,37930795,"Sobic.004G086300","Sobic.004G086300.1","Sobic.004G086300.1.p","PF00875,PF03441","PTHR11455,PTHR11455:SF9","KOG0133","4.1.99.13","K02295","","AT3G15620.1","UVR3","DNA photolyase family protein","LOC_Os02g10990.1",NA,"FAD binding domain of DNA photolyase domain containing protein, expressed"
