,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
1,GFk45ctg179201_418,"PF02841,PF02263","PTHR10751,PTHR10751:SF44",KOG2037,,,"GO:0005525,GO:0003924",AT5G46070,,Guanylate-binding family protein,LOC_Os02g20410,NA,"GTP binding protein, putative, expressed"
2,GFSSContig11377_769,PF03194,"PTHR12375,PTHR12375:SF32",KOG0796,,,"GO:0006376,GO:0005685,GO:0003729",AT3G03340,UNE6,LUC7 related protein,LOC_Os03g62640,NA,"RNA-binding protein Luc7-like, putative, expressed"
6,GFSSContig11377_769,PF03168,"PTHR31459,PTHR31459:SF2",,,,,AT2G44060,,"Late embryogenesis abundant protein, group 2",LOC_Os03g62620,NA,"late embryogenesis abundant protein, putative, expressed"
9,GFSSContig11377_769,PF03839,"PTHR12443:SF9,PTHR12443",KOG2927,,K12275,"GO:0008565,GO:0015031,GO:0016021",AT3G20920,,translocation protein-related,LOC_Os02g23890,NA,"protein transporter, putative, expressed"
10,GFSSContig11377_769,PF01250,"PTHR21011,PTHR21011:SF1",,,K02990,"GO:0019843,GO:0006412,GO:0005840,GO:0003735",AT1G64510,,Translation elongation  factor EF1B/ribosomal protein S6 family protein,LOC_Os03g62630,NA,"ribosomal protein S6, putative, expressed"
11,GFSSContig11377_769,PF05991,PTHR34547,,,K06962,,AT2G02410,,,LOC_Os03g62610,NA,"RNA-binding protein containing a PIN domain, putative, expressed"
12,GFSSContig11619_923,"PF13947,PF00069","PTHR27005,PTHR27005:SF12",KOG1187,2.7.11.1,,"GO:0030247,GO:0006468,GO:0005524,GO:0004672",AT1G21230,WAK5,wall associated kinase 5,LOC_Os09g29510,NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
13,GFSSContig11619_923,"PF13947,PF00069","PTHR27005,PTHR27005:SF12",KOG1187,2.7.11.1,,"GO:0030247,GO:0006468,GO:0005524,GO:0004672",AT1G21270,WAK2,wall-associated kinase 2,LOC_Os09g29510,NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
14,GFSSContig11619_923,,,,,,,AT1G10000,,Ribonuclease H-like superfamily protein,LOC_Os09g15410,NA,"retrotransposon protein, putative, unclassified"
15,GFSSContig11619_923,PF00012,"PTHR19375,PTHR19375:SF202",,,K04043,,AT5G09590,"HSC70-5,MTHSC70-2",mitochondrial HSO70 2,LOC_Os09g31486,NA,"DnaK family protein, putative, expressed"
16,GFSSContig11619_923,PF01370,"PTHR10366,PTHR10366:SF392",KOG1502,1.2.1.44,,"GO:0050662,GO:0003824",AT2G33590,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os09g31490,NA,"reductase, putative, expressed"
17,GFSSContig14485_1273,PF12766,"PTHR10851,PTHR10851:SF3",KOG4558,1.4.3.5,,"GO:0010181,GO:0055114,GO:0008615,GO:0004733",AT2G46580,,Pyridoxamine 5\'-phosphate oxidase family protein,LOC_Os03g02450,NA,"pyridoxamine 5\'-phosphate oxidase family protein, putative, expressed"
