"","SNP","Gene","Chromosome","Position","Grand.Total","PS","Ind.SNP","Heading_1","Heading_50","Flowering_1","Flowering_50","PCA","SUPER","FarmCPU","mrMLM.1","mrMLM.2","MAF","PVE","chr","start","end","width","strand","dis_start.positon","dis_positon.end","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1","GFk45ctg179201_418","Sobic.004G134200",4,22559183,1,"PS_N","F116+36088im","","","FM_1","","","","","FASTmrMLM","",0.0733,0.0024,"Chr04",22556949,22575455,18507,"-",-2234,-16272,"PF02841,PF02263","PTHR10751,PTHR10751:SF44","KOG2037","","","GO:0005525,GO:0003924","AT5G46070","","Guanylate-binding family protein","LOC_Os02g20410",NA,"GTP binding protein, putative, expressed"
"7","GFSSContig11377_769","Sobic.001G016900",1,1481480,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2685,3.359,"Chr01",1467448,1473628,6181,"+",-14032,7852,"PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340","UNE6","LUC7 related protein","LOC_Os03g62640",NA,"RNA-binding protein Luc7-like, putative, expressed"
"42","GFSSContig11377_769","Sobic.001G017000",1,1481480,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2685,3.359,"Chr01",1473135,1474616,1482,"-",-8345,6864,"PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340","UNE6","LUC7 related protein","LOC_Os03g62640",NA,"RNA-binding protein Luc7-like, putative, expressed"
"22","GFSSContig11377_769","Sobic.001G017100",1,1481480,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2685,3.359,"Chr01",1477012,1479956,2945,"+",-4468,1524,"PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340","UNE6","LUC7 related protein","LOC_Os03g62640",NA,"RNA-binding protein Luc7-like, putative, expressed"
"37","GFSSContig11377_769","Sobic.001G017200",1,1481480,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2685,3.359,"Chr01",1480415,1485939,5525,"+",-1065,-4459,"PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340","UNE6","LUC7 related protein","LOC_Os03g62640",NA,"RNA-binding protein Luc7-like, putative, expressed"
"47","GFSSContig11377_769","Sobic.001G017300",1,1481480,2,"PS_Y","F116+36088im","GHW_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.2685,3.359,"Chr01",1486492,1491239,4748,"-",5012,-9759,"PF03194","PTHR12375,PTHR12375:SF32","KOG0796","","","GO:0006376,GO:0005685,GO:0003729","AT3G03340","UNE6","LUC7 related protein","LOC_Os03g62640",NA,"RNA-binding protein Luc7-like, putative, expressed"
"57","GFSSContig11619_923","Sobic.002G249600",2,63686436,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.3711,2.567,"Chr02",63673828,63676586,2759,"-",-12608,9850,"PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230","WAK5","wall associated kinase 5","LOC_Os09g29510",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"62","GFSSContig11619_923","Sobic.002G249650",2,63686436,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.3711,2.567,"Chr02",63678982,63679353,372,"-",-7454,7083,"PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230","WAK5","wall associated kinase 5","LOC_Os09g29510",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"52","GFSSContig11619_923","Sobic.002G249700",2,63686436,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.3711,2.567,"Chr02",63682208,63685011,2804,"+",-4228,1425,"PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230","WAK5","wall associated kinase 5","LOC_Os09g29510",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
"67","GFSSContig11619_923","Sobic.002G249800",2,63686436,3,"PS_Y","F116+36088im","GHW_1;HM_1","","","","","CMLM+SUPER;MLM+SUPER","","","",0.3711,2.567,"Chr02",63685205,63688420,3216,"-",-1231,-1984,"PF13947,PF00069","PTHR27005,PTHR27005:SF12","KOG1187","2.7.11.1","","GO:0030247,GO:0006468,GO:0005524,GO:0004672","AT1G21230","WAK5","wall associated kinase 5","LOC_Os09g29510",NA,"OsWAK80 - OsWAK receptor-like protein kinase, expressed"
