SNP,Chromosome,Position,Grand Total,PS,Ind.SNP,Heading_1,Heading_50,Flowering_1,Flowering_50,PCA,SUPER,FarmCPU,mrMLM.1,mrMLM.2,MAF,PVE
GFk45ctg179201_418,4,22559183,1,PS_N(1),F116+36088im(1),,,FM_1(1),,,,,FASTmrMLM(1),,0.0733,0.0024
GFSSContig11377_769,1,1481480,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2685,3.359
GFSSContig11619_923,2,63686436,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.3711,2.567
GFSSContig14485_1273,1,79597601,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.3764,3.277
GFSSContig15044_1090,4,7164817,5,PS_Y(5),F116+36088im(5),,,,FD_50(1);FW_50(1);FM_50(1),fprinW(1);fprind(1),CMLM+SUPER(1)MLM+SUPER(4),,,,0.1863,0.412
GFSSContig16256_300,3,5453936,15,PS_Y(15),F116+36088im(15),GHW_1(2);HM_1(2),,FW_1(1);GFW_1(1),FD_50(1);FW_50(1);GFW_50(2);FM_50(2),fprinW(1);fprind(1);fprinGW(1),CMLM+SUPER(6)MLM+SUPER(9),,,,0.1496,2.187
GFSSContig16952_694,5,21260380,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.4237,7.668
GFSSContig17419_591,10,59706968,3,PS_Y(3),F116+36088im(3),,,GFW_1(2),,fprinGW(1),CMLM+SUPER(2)MLM+SUPER(1),,,,0.4273,3.358
GFSSContig18315_975,9,53976945,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.2024,0.03153
GFSSContig19146_697,2,70229911,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.204,0.51
GFSSContig19333_2734,4,3228803,5,PS_Y(5),F116+36088im(5),,,GFW_1(2),FD_50(1);FM_50(1),fprind(1),CMLM+SUPER(3)MLM+SUPER(2),,,,0.5,0.0275
GFSSContig3389_148,1,7132238,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.09227,2.041
GFSSContig4510_767,10,43025569,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1399,1.66
GFSSContig4757_256,7,64751316,13,PS_Y(13),F116+36088im(13),GHW_1(2);HM_1(2),GHW_50(1),GFW_1(2),FD_50(1);FW_50(1);GFW_50(2);FM_50(1),fprind(1),CMLM+SUPER(4)MLM+SUPER(9),,,,0.1241,0.1005
GFSSContig4787_601,1,20799071,1,PS_Y(1),F116+36088im(1),,,FM_1(1),,,CMLM+SUPER(1),,,,0.0703,3.701
NsiI.TP1005,8,58192884,3,PS_Y(3),F116+36088im(3),HM_1(1),,GFW_1(1),GFW_50(1),,CMLM+SUPER(1)MLM+SUPER(2),,,,0.1136,1.267
NsiI.TP101439,3,50050903,13,PS_Y(13),F116+36088im(13),GHW_1(2);HM_1(1),,GFW_1(2),FD_50(2);FW_50(1);GFW_50(2);FM_50(1),fprinW(1);fprind(1),CMLM+SUPER(4)MLM+SUPER(9),,,,0.3149,2.589
NsiI.TP102705,4,12103867,2,PS_Y(2),F116+36088im(2),HM_1(1),,GFW_1(1),,,MLM+SUPER(2),,,,0.27,2.215
NsiI.TP10339,4,64117829,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3533,0.01946
NsiI.TP104065,1,12578208,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4347,0.2494
NsiI.TP106121,11,10257,4,PS_Y(4),F116+36088im(4),HW_1(1);GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.2984,3.468
NsiI.TP107770,11,10275,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.08495,0.01051
NsiI.TP108822,6,5886763,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1168,1.239
NsiI.TP109633,11,10288,30,PS_Y(30),F116+36088im(30),HD_1(1);HW_1(1);GHW_1(2);HM_1(2),HD_50(2);GHW_50(1);HW_50(1),FD_1(2);FW_1(1);GFW_1(2);FM_1(1),FD_50(2);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(2);fprinGW(2),CMLM+SUPER(17)MLM+SUPER(13),,,,0.2884,0.08808
NsiI.TP110016,11,10292,8,PS_Y(8),F116+36088im(8),HM_1(1),,GFW_1(1),FW_50(2);GFW_50(2);FM_50(1),fprinW(1),CMLM+SUPER(4)MLM+SUPER(4),,,,0.2106,2.091
NsiI.TP111087,11,10310,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1564,4.612
NsiI.TP111245,11,10315,17,PS_Y(17),F116+36088im(17),GHW_1(2);HM_1(1),,FW_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(10)MLM+SUPER(7),,,,0.1704,11.93
NsiI.TP111392,2,71036593,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.2989,1.937
NsiI.TP115118,11,10361,4,PS_Y(4),F116+36088im(4),HW_1(1);GHW_1(2),,GFW_1(1),,,CMLM+SUPER(1)MLM+SUPER(3),,,,0.1159,1.474
NsiI.TP115800,2,20500579,2,PS_Y(2),F116+36088im(2),HM_1(1),,GFW_1(1),,,MLM+SUPER(2),,,,0.229,0.09467
NsiI.TP115990,11,10376,4,PS_Y(4),F116+36088im(4),GHW_1(2);HM_1(1),,FM_1(1),,,CMLM+SUPER(2)MLM+SUPER(2),,,,0.339,0.07332
NsiI.TP11763,2,55368372,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.4454,0.002045
NsiI.TP117758,1,66087512,1,PS_N(1),F116+3098(1),,,FM_1(1),,,,,,pLARmEB(1),0.0172,1.92E-06
NsiI.TP119411,11,10406,3,PS_Y(3),F116+36088im(3),GHW_1(2);HM_1(1),,,,,CMLM+SUPER(1)MLM+SUPER(2),,,,0.324,0.09527
NsiI.TP119595,1,61467903,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,CMLM+SUPER(1),,,,0.1524,9.451
NsiI.TP119766,11,10412,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.3419,1.583
NsiI.TP120901,4,67265395,12,PS_Y(12),F116+36088im(12),GHW_1(2);HM_1(1),,GFW_1(1),FD_50(1);FW_50(1);GFW_50(2);FM_50(2),fprinW(1);fprind(1),CMLM+SUPER(3)MLM+SUPER(9),,,,0.2054,1.901
NsiI.TP123409,10,8686160,1,PS_N(1),F106+4185(1),,,FW_1(1),,,,,,pLARmEB(1),0.0189,0
NsiI.TP123778,1,60586278,24,PS_Y(24),F116+36088im(24),HW_1(1);GHW_1(2);HM_1(2),GHW_50(1),FW_1(1);GFW_1(2);FM_1(2),FD_50(2);FW_50(2);GFW_50(2);FM_50(1),fprinW(2);fprind(2);fprinGW(2),CMLM+SUPER(12)MLM+SUPER(12),,,,0.4698,2.845
NsiI.TP123780,3,55955099,1,PS_N(1),F116+36088im(1),,,,,fprinM(1),,,FASTmrMLM(1),,0.25,2.78E-05
NsiI.TP125412,9,54877907,2,PS_Y(2),F116+36088im(2),GHW_1(2),,,,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1079,2.957
NsiI.TP125422,7,20096050,2,PS_Y(2),F116+36088im(2),,,,FD_50(1),fprind(1),MLM+SUPER(2),,,,0.06268,7.038
NsiI.TP127048,9,4573547,15,PS_Y(15),F116+36088im(15),HW_1(1);GHW_1(2);HM_1(1),,FD_1(1);FW_1(1);GFW_1(2),FD_50(1);FW_50(1);GFW_50(2);FM_50(1),fprinW(1);fprind(1),CMLM+SUPER(3)MLM+SUPER(12),,,,0.1758,0.2148
NsiI.TP127103,3,55736173,14,PS_Y(14),F116+36088im(14),GHW_1(2);HM_1(1),,GFW_1(2),FD_50(1);FW_50(2);GFW_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(6)MLM+SUPER(8),,,,0.1814,0.09253
NsiI.TP127922,4,54754163,2,PS_Y(2),F116+36088im(2),,,GFW_1(2),,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.1785,4.846
NsiI.TP128678,3,69000501,5,PS_Y(5),F116+36088im(5),HM_1(2),,GFW_1(2),FM_50(1),,CMLM+SUPER(2)MLM+SUPER(3),,,,0.4086,1.624
NsiI.TP129464,6,43607339,1,PS_Y(1),F116+36088im(1),,,GFW_1(1),,,MLM+SUPER(1),,,,0.0796,0.003789
NsiI.TP130730,11,10568,2,PS_N(2),F116+36088im(2),,,FM_1(1),GFW_50(1),,,,FASTmrMLM(2),,0.0819,0.4699
NsiI.TP135373,11,10639,25,PS_Y(25),F116+36088im(25),HD_1(1);HW_1(1);HM_1(2),HD_50(2);GHW_50(1);HW_50(1),FD_1(2);FW_1(2);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1);fprinGW(1),CMLM+SUPER(13)MLM+SUPER(12),,,,0.3479,0.2087
NsiI.TP138508,11,10672,1,PS_Y(1),F116+36088im(1),HM_1(1),,,,,MLM+SUPER(1),,,,0.1898,0.01227
NsiI.TP13900,11,9274,22,PS_Y(22),F116+36088im(22),HD_1(2);HW_1(2);GHW_1(2);HM_1(1),,FD_1(2);FW_1(1);GFW_1(2),FD_50(1);FW_50(2);GFW_50(2);FM_50(2),fprinW(2);fprind(1),CMLM+SUPER(9)MLM+SUPER(13),,,,0.1149,1.401
NsiI.TP139027,3,63289950,9,PS_Y(9),F116+36088im(9),GHW_1(2);HM_1(1),,GFW_1(2),FW_50(1);GFW_50(2);FM_50(1),,CMLM+SUPER(3)MLM+SUPER(6),,,,0.129,2.471
NsiI.TP146169,7,14058863,2,PS_Y(2),F116+36088im(2),,,GFW_1(2),,,CMLM+SUPER(1)MLM+SUPER(1),,,,0.3284,9.32E-06
