"","SNP","Chromosome","Position","P.value","MAF","Ind.SNP","PS","Software","Method","Trait.name","PVE","maf","P.value.1","MAF.1"
"975","NsiI.TP388861",4,53760575,4.24424064429568e-05,0.1974,"F116+36088im","PS_Y","mrMLMM","mrMLM","HW_50",15.5876,NA,4e-05,0.1974
"976","PstI.TP133136",5,65324990,3.20110559153497e-08,0.193,"F116+36088im","PS_Y","mrMLMM","mrMLM","HW_50",10.2796,NA,3e-08,0.193
"977","PstI.TP532426",7,64966356,0.000112150186466686,0.4561,"F116+36088im","PS_Y","mrMLMM","mrMLM","HW_50",4.9328,NA,1e-04,0.4561
"978","PstI.TP1107958",9,50254652,6.70501880162841e-05,0.0175,"F116+36088im","PS_Y","mrMLMM","mrMLM","HW_50",13.9858,NA,7e-05,0.0175
"979","PstI.TP1282314",9,15059279,9.13692373681454e-05,0.1623,"F116+36088im","PS_Y","mrMLMM","mrMLM","HW_50",9.3806,NA,9e-05,0.1623
"980","PstI.TP133136",5,65324990,7.76247116628691e-08,0.194,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HW_50",5.7125,NA,8e-08,0.194
"981","PstI.TP1282314",9,15059279,8.88791719884821e-07,0.1595,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HW_50",8.668,NA,9e-07,0.1595
"982","PstI.TP896950",11,6252,0.00011173777007617,0.2198,"F116+36088im","PS_Y","mrMLMM","FASTmrMLM","HW_50",3.3372,NA,1e-04,0.2198
"983","PstI.TP325669",4,67124681,2.57513499041031e-08,0.3233,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",7.0758,NA,3e-08,0.3233
"984","PstI.TP133136",5,65324990,4.63446919736288e-06,0.194,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",3.571,NA,5e-06,0.194
"985","PstI.TP187918",11,1532,2.84708215979929e-05,0.25,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",6.1542,NA,3e-05,0.25
"986","PstI.TP874146",11,6098,0.000138739460060306,0.056,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",8.6312,NA,1e-04,0.056
"987","PstI.TP1020545",11,7078,0.00019502936197623,0.3405,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",2.8057,NA,2e-04,0.3405
"988","NsiI.TP495572",11,15165,4.53210538548104e-08,0.2328,"F116+36088im","PS_Y","mrMLMM","pLARmEB","HW_50",10.8395,NA,5e-08,0.2328
"989","NsiI.TP30868",1,51136397,5.02689715369067e-05,0.0991,"F116+36088im","PS_Y","mrMLMM","ISIS EM-BLASSO","HW_50",2.1402,NA,5e-05,0.0991
