"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD"
"1547","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2260","PstI.TP863331",1,161269,0.587724891381377,0.294963144172294,0.793171290515053,0.430981309480145,0.0605948277416786,0.330510729868971,0.538310865875366,0.405388872610538,0.0738469311158857,0.0670017835851067,0.883841099507737,0.574853372827976,0.391855941072801,0.346390859272023,0.258389646997291,0.507033735197349,0.161001050410392,0.370696674931336,0.869771498641442,0.467185408542736,0.289527042533803,0.39319784360685,0.843632046970592,0.85703432550617,0.130664887986326,0.266162352955526,0.405643068160184,0.450411158008883
"1406","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2407","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","NsiI.TP148773",1,285352,0.140262912701946,0.18590503891213,0.0440906108471786,0.0392501796396665,0.0247645518939835,0.153838471525323,0.296644932723202,0.289275932668015,0.17728320555277,0.0957361617249817,0.0290507738026975,0.184941633826969,0.339728257440102,0.0534713342144587,0.72399753457351,0.65177089208788,0.903460956698399,0.913586809122518,0.944572827549599,0.701716241357727,0.505074063532151,0.513717153338423,0.664839469747243,0.802165238858336,0.935296321326052,0.653218334772579,0.457374283930759,0.884155526322962
"495","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1408","PstI.TP425356",1,569039,0.862539440974889,1.12740419742865,0.724978676466328,1.03180223546013,0.739582183968565,0.476005082375922,0.442380713628699,0.188814320665989,0.144301320181644,1.20878327684206,0.516616398896512,0.926557959879633,0.654973161856147,0.45700035064197,0.137233632497686,0.0745754362503496,0.188374157751932,0.0929389506238116,0.182145235688177,0.334191129097109,0.361093180354791,0.647419355853601,0.717296447293724,0.0618324881816772,0.304357214746951,0.118424630983361,0.221323147668862,0.349140033588754
"2560","PstI.TP999740",1,569491,0.229548855228208,0.0133066381994802,0.055031913697285,0.0482385432670534,0.0813669326216303,0.139114995080422,0.638842803651307,0.587973103741585,0.728086959619716,0.00893414836857927,0.186501465393292,0.0890706524794414,1.49100079114646,0.180353955003487,0.589455663510954,0.9698249703002,0.88098413238816,0.894873107011457,0.829149928033773,0.725913720225624,0.229697990784542,0.258242011734555,0.187030760757951,0.979638515741333,0.650876414654225,0.814571755982304,0.0322848824042822,0.660155194610988
"578","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1928","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1278","PstI.TP354591",1,1050082,0.0489401900222404,0.0247823260781044,0.0392330677880841,0.0794142619737936,0.0873059517779972,1.47113807441282,0.32045259675848,0.354607607165385,0.103539670979591,0.207890324987039,0.768967963147041,1.57086593786024,0.0192702098952556,0.166008406521003,0.893428516059371,0.944534170213394,0.913622806517202,0.832886337427736,0.817888399109342,0.0337957372983801,0.478131551358591,0.441969594444006,0.787880458588468,0.61959752603296,0.170228407714037,0.0268617351120659,0.956598708296487,0.682325486423665
