"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"3","Trait3","mrMLM","PstI.TP1012416","2","59610846","-0.1408","4.1689","4.9287"," 5.4600","0.3558","C","0.0596","0.1151"
"3","Trait3","mrMLM","PstI.TP704244","3","50687892","-0.2881","3.2652","3.9769","14.5015","0.0529","A","",""
"3","Trait3","mrMLM","PstI.TP1132955","4","63683010"," 0.2156","5.2575","6.0638","20.0431","0.1971","C","",""
"3","Trait3","mrMLM","NsiI.TP765320","7"," 5038310"," 0.2961","4.4850","5.2593","29.5010","0.1058","C","",""
"3","Trait3","FASTmrMLM","PstI.TP57846","4","4201581","0.2758","4.5706","5.3487","44.047","0.2217","C","0.0642","0.1151"
"3","Trait3","FASTmrMLM","PstI.TP737962","11","5096","0.1673","5.7631","6.5879","14.7309","0.4151","C","",""
"3","Trait3","FASTmrEMMA","PstI.TP57846","4","4201581","0.4999","4.7827","5.5699","13.3984","0.2217","C","0.0595","0.1151"
"3","Trait3","FASTmrEMMA","PstI.TP737962","11","5096","0.2874","4.7548","5.5408","8.6229","0.4151","C","",""
"3","Trait3","pLARmEB","PstI.TP704244","3","50687892","-0.1587","3.111","3.8133","4.9768","0.0519","A","0.06","0.1151"
"3","Trait3","pLARmEB","PstI.TP57846","4","4201581","0.2747","6.9151","7.7771","43.0603","0.2217","C","",""
"3","Trait3","pLARmEB","PstI.TP737962","11","5096","0.1524","4.6729","5.4554","12.041","0.4151","C","",""
"3","Trait3","ISIS EM-BLASSO","PstI.TP998491","2","14521096","-0.1063","3.2539","3.9649","6.0085","0.2689","C","0.0613","0.1151"
"3","Trait3","ISIS EM-BLASSO","PstI.TP57846","4","4201581","0.282","7.2607","8.1327","42.5054","0.2217","C","",""
"3","Trait3","ISIS EM-BLASSO","PstI.TP411848","11","3188","-0.1104","4.1681","4.9278","5.0059","0.4764","G","",""
"3","Trait3","ISIS EM-BLASSO","PstI.TP737962","11","5096","0.1655","3.7442","4.4827","13.3031","0.4151","C","",""
