"","SB","GI"
"3637","Sb09g006020","Sobic.009G071700"
"10475","Sb06g002877","SORBIDRAFT_06g002877"
"10992","Sb06g015560","Sobic.006G068900"
"12058","Sb06g024740","Sobic.006G172200"
"12066","Sb06g024820","Sobic.006G172900"
"12079","Sb06g024943","SORBIDRAFT_06g024943"
"12082","Sb06g024960","Sobic.006G174500"
"12091","Sb06g025040","Sobic.006G175500"
"12093","Sb06g025060","Sobic.006G175700"
"12481","Sb06g028370","Sobic.006G213400"
"12482","Sb06g028380","Sobic.006G213500"
"12499","Sb06g028540","Sobic.006G215200"
"13284","Sb05g001215","Sobic.005G014100"
"18551","Sb04g030940","Sobic.004G271900"
"20963","Sb03g013220","Sobic.003G152200"
"21339","Sb03g023720","Sobic.003G180300"
"22159","Sb03g031320","Sobic.003G258900"
"25902","Sb02g022120","Sobic.002G172200"
"25904","Sb02g022140","null"
"26034","Sb02g023120","Sobic.002G183300"
"26036","Sb02g023140","Sobic.002G183600"
"27818","Sb02g038300","Sobic.002G363200"
"27856","Sb02g038630","null"
"27980","Sb02g039680","Sobic.002G379800"
"28298","Sb02g042450","Sobic.002G411700"
"29544","Sb01g009310","Sobic.001G104300"
