"","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","QTN.effect","LOD.score","Genotype.for.code.1","Var_error","Var_phen..total.","X","P.value.1"
"120","PstI.TP459121",1,78162835,7.48840625502486e-07,0.0735294117647059,102,0.0738092973355917,0.354884628195872,0.00210648867953849,-0.0305782283439224,0.00210648867953849,"O102+4322","PS_Y","GAPIT","CMLM","OWA19",28.107533086028,NA,NA,NA,NA,NA,NA,7e-07
"121","PstI.TP459121",1,78162835,6.60565042734775e-07,0.0714285714285714,112,0.0590058979310137,0.316028848098372,0.00143871066307634,-0.0285657828512466,0.00143871066307634,"O112+3450","PS_Y","GAPIT","CMLM","OWA19",25.7022950167358,NA,NA,NA,NA,NA,NA,7e-07
"122","PstI.TP459121",1,78162835,8.65171369576163e-06,0.069672131147541,122,0.0477958592428167,0.231057396194652,0.0143877998760516,-0.0242886670895691,0.0143877998760516,"O122+2646","PS_Y","GAPIT","CMLM","OWA19",18.3261536951835,NA,NA,NA,NA,NA,NA,9e-06
"969","PstI.TP459121",1,78162835,4.7359847635341e-07,0.0735294117647059,102,0.0976359268518406,0.382792838369361,0.00133223251398214,-0.0282200766745807,0.00133223251398214,"O102+4322","PS_Y","GAPIT","GLM","OWA19",28.515691151752,NA,NA,NA,NA,NA,NA,5e-07
"970","PstI.TP459121",1,78162835,7.48840625502486e-07,0.0735294117647059,102,0.0738092973355917,0.354884628195872,0.00210648867953849,-0.0305782283439224,0.00210648867953849,"O102+4322","PS_Y","GAPIT","MLM","OWA19",28.107533086028,NA,NA,NA,NA,NA,NA,7e-07
"971","PstI.TP459121",1,78162835,4.54116816713698e-07,0.0714285714285714,112,0.0828537621300824,0.341640132590436,0.000989066426802433,-0.0261682442202385,0.000989066426802434,"O112+3450","PS_Y","GAPIT","GLM","OWA19",25.8786370460354,NA,NA,NA,NA,NA,NA,5e-07
"972","PstI.TP459121",1,78162835,6.60565042734775e-07,0.0714285714285714,112,0.0590058979310137,0.316028848098372,0.00143871066307634,-0.0285657828512466,0.00143871066307634,"O112+3450","PS_Y","GAPIT","MLM","OWA19",25.7022950167358,NA,NA,NA,NA,NA,NA,7e-07
"973","PstI.TP459121",1,78162835,3.23916018061462e-06,0.069672131147541,122,0.0613109158140002,0.26087328664353,0.00538672338036212,-0.023188575843273,0.00538672338036211,"O122+2646","PS_Y","GAPIT","GLM","OWA19",19.956237082953,NA,NA,NA,NA,NA,NA,3e-06
"974","PstI.TP459121",1,78162835,8.65171369576163e-06,0.069672131147541,122,0.0477958592428167,0.231057396194652,0.0143877998760516,-0.0242886670895691,0.0143877998760516,"O122+2646","PS_Y","GAPIT","MLM","OWA19",18.3261536951835,NA,NA,NA,NA,NA,NA,9e-06
"3983","PstI.TP234382",1,67947376,0.000163757047688358,0.425,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA18",12.582,0.0976,3.0851,"C",0.0188,0.0437,NA,2e-04
"3984","NsiI.TP641200",1,3051168,2.33883723865935e-05,0.025,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA18",33.6785,0.2456,3.8852,"C",NA,NA,NA,2e-05
"3985","NsiI.TP224586",3,4243452,0.000170608238900312,0.3333,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA18",3.9973,-0.065,3.0684,"C",NA,NA,NA,2e-04
"3986","NsiI.TP512189",3,61885782,6.13196969715683e-05,0.1708,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA18",18.5,0.1197,3.4878,"C",NA,NA,NA,6e-05
"3987","PstI.TP349355",4,51739537,6.98232404077172e-08,0.0833,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA18",5.3993,-0.2024,6.3126,"A",NA,NA,NA,7e-08
"3988","NsiI.TP504649",4,67177683,5.81433432308447e-10,0.1311,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA18",18.2118,-0.1462,8.335,"C",0.0273,0.0437,NA,6e-10
"3989","NsiI.TP702393",7,54899243,1.11969567324346e-05,0.3934,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA18",13.9988,0.0929,4.1901,"A",NA,NA,NA,1e-05
"3990","PstI.TP65061",2,73159281,0.000193731392458196,0.3566,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA18",2.6315,-0.0575,3.0165,"A",0.022,0.0437,NA,2e-04
"3991","NsiI.TP504649",4,67177683,8.71966901287074e-08,0.1311,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA18",11.29,-0.119,6.2192,"C",NA,NA,NA,9e-08
"3992","NsiI.TP702393",7,54899243,9.74765163901319e-05,0.3934,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA18",8.3011,0.074,3.2975,"A",NA,NA,NA,1e-04
"3993","NsiI.TP128483",10,59308875,2.66317680704052e-05,0.2869,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA18",7.2943,0.0721,3.8315,"C",NA,NA,NA,3e-05
"3994","NsiI.TP724799",4,68146066,0.000185737672905297,0.0697,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",14.4361,0.1056,3.0337,"C",0.0254,0.0437,NA,2e-04
"3995","NsiI.TP128483",10,59308875,6.75149577160642e-05,0.2869,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",5.3229,0.0689,3.4483,"C",NA,NA,NA,7e-05
"3996","PstI.TP437620",11,3351,0.000192486377778253,0.2623,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",10.292,-0.0797,3.0191,"C",NA,NA,NA,2e-04
"3997","NsiI.TP2469",11,9161,4.89440608973125e-05,0.1598,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",20.7754,-0.1179,3.5806,"A",NA,NA,NA,5e-05
"3998","PstI.TP459121",1,78162835,2.50092115378012e-05,0.0708,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0141,3.8575,"C",1e-04,3e-04,NA,3e-05
"3999","PstI.TP1075817",1,10117174,2.24957252942252e-14,0.0167,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",21.8535,0.028,12.6603,"A",NA,NA,NA,2e-14
"4000","NsiI.TP474172",1,62376131,8.03896244857127e-10,0.1542,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",17.4437,-0.0125,8.1978,"C",NA,NA,NA,8e-10
"4001","NsiI.TP58591",1,11198433,1.44743809966616e-06,0.3083,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",8.0227,0.006,5.0416,"A",NA,NA,NA,1e-06
"4002","NsiI.TP444479",2,69620402,4.82280830381648e-08,0.025,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",23.1256,0.0152,6.4683,"C",NA,NA,NA,5e-08
"4003","NsiI.TP468343",3,70187996,3.36124369047054e-05,0.3167,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",2.4089,-0.0038,3.7355,"A",NA,NA,NA,3e-05
"4004","PstI.TP1040489",4,4932783,0.000147876785008306,0.0292,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",3.9938,-0.0168,3.1268,"A",NA,NA,NA,1e-04
"4005","NsiI.TP111617",5,61371701,8.82266928217716e-07,0.1292,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",2.285,-0.0069,5.2485,"C",NA,NA,NA,9e-07
"4006","NsiI.TP129565",9,44786093,1.29897262889785e-06,0.1083,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","mrMLM","OWA19",8.8945,0.0064,5.0868,"A",NA,NA,NA,1e-06
"4007","NsiI.TP806172",2,58871698,7.56310273906106e-06,0.2869,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",3.921,0.0049,4.3529,"C",1e-04,3e-04,NA,8e-06
"4008","PstI.TP1040489",4,4932783,9.35190313826658e-10,0.0287,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",9.2999,-0.0204,8.1337,"A",NA,NA,NA,9e-10
"4009","NsiI.TP208625",8,50606712,4.64943306687543e-05,0.041,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",38.5407,0.0124,3.6017,"A",NA,NA,NA,5e-05
"4010","NsiI.TP169382",9,55737180,1.0181224173777e-07,0.377,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",3.0233,0.0075,6.154,"C",NA,NA,NA,1e-07
"4011","PstI.TP334601",11,2644,1.93999227239098e-07,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",4.6347,-0.0079,5.8832,"A",NA,NA,NA,2e-07
"4012","PstI.TP1250222",11,8799,2.20546413639275e-09,0.0492,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",4.9038,-0.0122,7.7705,"C",NA,NA,NA,2e-09
"4013","NsiI.TP150122",11,10788,3.89941986676544e-06,0.0656,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","FASTmrMLM","OWA19",5.8105,-0.0103,4.6284,"A",NA,NA,NA,4e-06
"4014","PstI.TP57213",1,59006419,1.51147163008501e-05,0.127,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",6.556,0.0079,4.0658,"C",1e-04,3e-04,NA,2e-05
"4015","PstI.TP678255",1,67745947,7.71969247610251e-06,0.2623,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",1.1919,-0.0053,4.3444,"A",NA,NA,NA,8e-06
"4016","GFSSContig7996_485",6,54332713,0.00015969819223383,0.3238,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",3.4747,0.0051,3.0954,"T",NA,NA,NA,2e-04
"4017","NsiI.TP349989",9,48138,7.49894209332456e-05,0.2049,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",0.3393,-0.0039,3.4051,"A",NA,NA,NA,7e-05
"4018","NsiI.TP169382",9,55737180,4.37320665169645e-05,0.377,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",0.2535,0.0034,3.627,"C",NA,NA,NA,4e-05
"4019","PstI.TP334601",11,2644,0.000174060409130319,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",1.821,-0.0078,3.0602,"A",NA,NA,NA,2e-04
"4020","PstI.TP349163",11,2748,2.33883723865935e-06,0.168,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",1.6565,-0.0074,4.8414,"A",NA,NA,NA,2e-06
"4021","NsiI.TP60110",11,9843,9.27470275918869e-08,0.1516,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","pLARmEB","OWA19",2.7168,0.0111,6.1932,"A",NA,NA,NA,9e-08
"4022","PstI.TP1094695",1,67135061,1.32220866819026e-07,0.123,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",23.1753,0.0088,6.0442,"C",1e-04,3e-04,NA,1e-07
"4023","NsiI.TP554032",3,50563424,1.00392206590702e-05,0.2254,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",9.6979,0.0052,4.2354,"A",NA,NA,NA,1e-05
"4024","PstI.TP334601",11,2644,1.7430104866195e-07,0.0902,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",8.7066,-0.0104,5.9281,"A",NA,NA,NA,2e-07
"4025","NsiI.TP150122",11,10788,9.46673020034698e-07,0.0656,NA,NA,NA,NA,NA,NA,"122+35256im","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA19",7.2503,-0.0111,5.219,"A",NA,NA,NA,9e-07
"4026","PstI.TP108989",1,2588793,4.95792553906302e-07,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA18",13.3183,-0.4432,5.4897,"C",0.0206,0.0369,NA,5e-07
"4027","PstI.TP392482",1,17611146,1.90897394112351e-05,0.0245,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA18",10.2475,-0.5695,3.9692,"A",NA,NA,NA,2e-05
"4028","PstI.TP727705",4,2828636,0.000170686824991567,0.2255,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA18",5.8759,0.1584,3.0682,"C",NA,NA,NA,2e-04
"4029","NsiI.TP624872",4,60455775,0.000170372697651327,0.0245,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA18",5.1705,-0.4045,3.0689,"G",NA,NA,NA,2e-04
"4030","PstI.TP108989",1,2588793,1.60583160062501e-07,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA18",3.7925,-0.2364,5.9625,"C",0.022,0.0369,NA,2e-07
"4031","PstI.TP642933",6,57096182,2.04173794466953e-05,0.4314,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA18",4.9862,-0.0717,3.9414,"A",NA,NA,NA,2e-05
"4032","PstI.TP108989",1,2588793,1.60583160062501e-07,0.0441,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",5.8622,-0.236,5.9625,"C",0.022,0.0369,NA,2e-07
"4033","PstI.TP642933",6,57096182,2.04173794466953e-05,0.4314,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","ISIS EM-BLASSO","OWA18",7.8633,-0.0723,3.9414,"A",NA,NA,NA,2e-05
"4034","PstI.TP392482",1,17611146,1.08467592287615e-08,0.025,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0337,7.0973,"A",1e-04,3e-04,NA,1e-08
"4035","PstI.TP459121",1,78162835,1.74260918982593e-06,0.075,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",0,-0.0158,4.9641,"C",NA,NA,NA,2e-06
"4036","PstI.TP678255",1,67745947,5.74777818845521e-05,0.27,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",4.4624,-0.0063,3.5144,"A",NA,NA,NA,6e-05
"4037","PstI.TP49139",1,80477608,1.40831563236653e-05,0.055,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",3.4409,-0.0113,4.0951,"A",NA,NA,NA,1e-05
"4038","PstI.TP729855",3,65126133,1.06585959714725e-10,0.035,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",11.3379,-0.0206,9.0547,"C",NA,NA,NA,1e-10
"4039","PstI.TP166492",6,2200069,5.35303397744143e-06,0.12,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","mrMLM","OWA19",23.4159,0.0098,4.4966,"A",NA,NA,NA,5e-06
"4040","PstI.TP459121",1,78162835,1.35300686449196e-10,0.0735,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrMLM","OWA19",0,-0.0246,8.9534,"C",1e-04,3e-04,NA,1e-10
"4041","PstI.TP729855",3,65126133,5.52968000492803e-06,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrMLM","OWA19",6.8801,-0.016,4.4831,"C",NA,NA,NA,6e-06
"4042","PstI.TP459121",1,78162835,3.18346441755644e-07,0.0735,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA19",13.8645,-0.0357,5.6753,"C",1e-04,3e-04,NA,3e-07
"4043","PstI.TP1010623",3,2603844,5.91425437756223e-08,0.0147,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA19",7.3218,-0.0543,6.3825,"C",NA,NA,NA,6e-08
"4044","PstI.TP729855",3,65126133,2.36319739915402e-05,0.0343,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","FASTmrEMMA","OWA19",7.1176,-0.0282,3.881,"C",NA,NA,NA,2e-05
"4045","PstI.TP678255",1,67745947,0.000117273530577938,0.2647,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",0.0027,-4e-04,3.2217,"A",1e-04,3e-04,NA,1e-04
"4046","NsiI.TP127610",1,69282032,3.33272899576138e-05,0.3284,NA,NA,NA,NA,NA,NA,"O102+4322","PS_Y","mrMLMM","pLARmEB","OWA19",0.4329,0.0032,3.739,"G",NA,NA,NA,3e-05
