Nearest.S..bicolor.gene,Chr.a,Positionb,Trialc,Winterd,Miscanthus.SNPe,Arabidopsis.gene,Gene.symbol,SB,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,PFAM.ID,PFAM.Description,KOG.ID,KOG.Desctiption,KO.ID,GO.ID,KO.Description,GO.Description,PAC.Transcript.ID,Transcript.Start..bp.,Transcript.End..bp.
Sobic.001G117600,1,9 158 264,KNU 2013,1,UIMiscanthus096890,AT4G22760,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.001G455800,1,73 182 406,UI 2013,1,UIMiscanthus017076,AT4G13780,,Sb01g042830,chromosome_1,66064192,66070982,PF09334,tRNA synthetases class I (M),KOG1247,Methionyl-tRNA synthetase,K01874,6418,methionyl-tRNA synthetase [EC:6.1.1.10],amino acid activation,1954278,66064192,66070982
Sobic.001G465900,1,73 966 201,KNU 2013,2,UIMiscanthus104319,AT3G03900,APK3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.001G506100,1,77 425 506,NEF 2012,2,UIMiscanthus111533,AT4G28650,,Sb01g047250,chromosome_1,70350087,70353601,PF00069,Protein kinase domain,KOG1187,Serine/threonine protein kinase,,6468,,protein amino acid phosphorylation,1954821,70350087,70353601
Sobic.002G033200,2,3 043 560,CSU 2012,2,UIMiscanthus015113,AT1G30540,,Sb02g002880,chromosome_2,3063859,3066411,PF01869,BadF/BadG/BcrA/BcrD ATPase family,KOG1794,N-Acetylglucosamine kinase,,NA,,,1955598,3063859,3066411
Sobic.002G035100,2,3 279 281,NEF 2012,2,UIMiscanthus118365,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.002G036150,2,3 406 536,KNU 2012,2,UIMiscanthus118366,AT1G30135,JAZ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.002G065900,2,6 522 791,NEF 2012,2,UIMiscanthus118367,AT5G59190,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.002G141300,2,22 943 245,NEF 2012,1,UIMiscanthus118368,AT5G67300,MYBR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.002G425600,2,77 204 376,KNU 2012,2,UIMiscanthus020585,AT2G41070,"ATBZIP12, DPBF4, EEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.003G018000,3,1 603 696,KNU 2013,1,UIMiscanthus118369,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.003G084100,3,7 227 095,KNU 2012,1,UIMiscanthus008958,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.003G191750,3,51 321 773,NEF 2012,2,UIMiscanthus118370,AT4G36020,CSDP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sobic.003G312550,3,64 085 542,HU 2012,2,UIMiscanthus118371,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
