"","SB","GI"
"36","Sb10g000510","Sobic.010G003600"
"90","Sb10g000970","null"
"117","Sb10g001150","Sobic.010G011700"
"122","Sb10g001190","Sobic.010G012000"
"167","Sb10g001620","Sobic.010G016500"
"183","Sb10g001770","Sobic.010G018300"
"195","Sb10g001873","null"
"203","Sb10g001940","Sobic.010G020200"
"213","Sb10g002030","Sobic.010G021300"
"233","Sb10g002210","Sobic.010G023600"
"243","Sb10g002290","null"
"279","Sb10g002590","null"
"280","Sb10g002600","null"
"281","Sb10g002610","Sobic.010G028600"
"310","Sb10g002870","Sobic.010G031700"
"311","Sb10g002880","Sobic.010G031900"
"312","Sb10g002890","Sobic.010G032000"
"340","Sb10g003130","Sobic.010G034600"
"350","Sb10g003230","Sobic.010G036000"
"357","Sb10g003280","Sobic.010G036800"
"360","Sb10g003300","Sobic.010G037200"
"375","Sb10g003420","Sobic.010G038500"
"382","Sb10g003500","Sobic.010G039500"
"398","Sb10g003640","null"
"416","Sb10g003800","Sobic.010G043100"
"431","Sb10g003910","null"
"440","Sb10g004000","Sobic.010G045700"
"596","Sb10g005170","Sobic.010G059800"
"609","Sb10g005280","Sobic.010G060900"
"663","Sb10g005770","Sobic.010G066700"
"670","Sb10g005840","Sobic.010G067200"
"682","Sb10g005950","Sobic.010G068300"
"692","Sb10g006050","Sobic.010G069300"
"722","Sb10g006350","Sobic.010G072700"
"737","Sb10g006490","Sobic.010G074100"
"748","Sb10g006580","Sobic.010G075500"
"774","Sb10g006770","Sobic.010G077900"
"790","Sb10g006910","Sobic.010G079700"
"807","Sb10g007060","Sobic.010G081600"
"817","Sb10g007150","Sobic.010G082400"
"832","Sb10g007240","Sobic.010G083600"
"837","Sb10g007290","Sobic.010G084100"
"838","Sb10g007293","null"
"875","Sb10g007600","Sobic.010G087800"
"876","Sb10g007610","Sobic.010G087900"
"886","Sb10g007700","Sobic.010G088800"
"895","Sb10g007770","Sobic.010G089600"
"917","Sb10g007920","Sobic.010G091100"
"943","Sb10g008130","Sobic.010G092900"
"951","Sb10g008200","Sobic.010G093400"
"955","Sb10g008213","Sobic.010G094300"
"1018","Sb10g008730","Sobic.010G100300"
"1020","Sb10g008750","Sobic.010G100600"
"1043","Sb10g008930","Sobic.010G102500"
"1052","Sb10g009010","Sobic.010G103300"
"1066","Sb10g009090","Sobic.010G104300"
"1071","Sb10g009140","Sobic.010G104600"
"1073","Sb10g009160","Sobic.010G104800"
"1156","Sb10g009820","null"
"1175","Sb10g009950","Sobic.010G114600"
"1181","Sb10g009990","Sobic.010G115000"
"1190","Sb10g010060","null"
"1204","Sb10g010350","Sobic.010G117100"
"1208","Sb10g010380","Sobic.010G117400"
"1211","Sb10g010410","Sobic.010G117800"
"1212","Sb10g010420","Sobic.010G117900"
"1292","Sb10g011020","Sobic.010G124900"
"1313","Sb10g011170","null"
"1318","Sb10g011210","Sobic.010G128000"
"1372","Sb10g012160","Sobic.010G131700"
"1415","Sb10g012970","Sobic.010G134700"
"1420","Sb10g013000","Sobic.010G135100"
"1424","Sb10g013030","Sobic.010G135600"
"1434","Sb10g013313","Sobic.010G136900"
"1493","Sb10g015690","Sobic.010G140500"
"1639","Sb10g020180","Sobic.010G150900"
"1678","Sb10g020870","Sobic.010G155300"
"1688","Sb10g020960","Sobic.010G156500"
"1718","Sb10g021140","Sobic.010G159000"
"1735","Sb10g021250","Sobic.010G159700"
"1743","Sb10g021320","Sobic.010G160600"
"1763","Sb10g021610","Sobic.010G161600"
"1774","Sb10g021670","Sobic.010G162500"
"1775","Sb10g021680","Sobic.010G162700"
"1777","Sb10g021690","Sobic.010G162900"
"1778","Sb10g021700","Sobic.010G163000"
"1810","Sb10g021935","Sobic.010G165700"
"1816","Sb10g021980","Sobic.010G166500"
"1819","Sb10g022010","Sobic.010G166800"
"1867","Sb10g022340","Sobic.010G170600"
"1881","Sb10g022440","Sobic.010G171900"
"1884","Sb10g022470","Sobic.010G172200"
"1925","Sb10g022780","Sobic.010G175800"
"1950","Sb10g023010","Sobic.010G178500"
"1965","Sb10g023140","Sobic.010G179800"
