"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1",1,"GFSSContig17769_257","Sobic.003G106000","OWA19.1",3,9603539,6.11e-07,0.3402,3.22e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr03",9610191,9615113,4923,"+",6652,-11574,37914797,"Sobic.003G106000","Sobic.003G106000.1","Sobic.003G106000.1.p","PF00059,PF07714","PTHR27006,PTHR27006:SF5","KOG1187","2.7.10.1","","GO:0006468,GO:0004672","AT1G52310.1","","protein kinase family protein / C-type lectin domain-containing protein","LOC_Os01g01410.1",NA,"TKL_IRAK_C-LEC.1 - TKL_IRAK_C-LEC has homology to C-type lectin receptors, expressed"
"2",2,"GFSSContig17769_257","Sobic.003G105900","OWA19.1",3,9603539,6.11e-07,0.3402,3.22e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr03",9602593,9609797,7205,"-",-946,-6258,37916656,"Sobic.003G105900","Sobic.003G105900.1","Sobic.003G105900.1.p","PF13176","PTHR14140,PTHR14140:SF31","","","","GO:0005515","AT3G54360.1","","zinc ion binding","LOC_Os02g55200.1",NA,"expressed protein"
"3",4,"GFSSContig7996_485","Sobic.006G188800","OWA19.2",6,54332713,0.000159698,0.3238,3.4747,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr06",54331337,54333531,2195,"+",-1376,-818,37947443,"Sobic.006G188800","Sobic.006G188800.1","Sobic.006G188800.1.p","PF00651","PTHR31060,PTHR31060:SF3","","","","GO:0005515","AT1G63850.1","","BTB/POZ domain-containing protein","LOC_Os04g49060.1",NA,"H-BTB3 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"8",14,"NsiI.TP111617","Sobic.005G146533","OWA19.4",5,61371701,8.82e-07,0.1292,3.1358,"OWA19","PS_N(2);PS_Y(1)","122+35256im(3)","","mrMLM(1);FASTmrMLM(1);pLARmEB(1)","",1,"Chr05",61359556,61363324,3769,"-",-12145,8377,37924463,"Sobic.005G146533","Sobic.005G146533.1","Sobic.005G146533.1.p","PF04535","PTHR33573,PTHR33573:SF5","","","","","AT2G39518.1","","Uncharacterised protein family (UPF0497)","LOC_Os11g34730.1",NA,"membrane associated DUF588 domain containing protein, putative, expressed"
"9",15,"NsiI.TP111617","Sobic.005G146666","OWA19.4",5,61371701,8.82e-07,0.1292,3.1358,"OWA19","PS_N(2);PS_Y(1)","122+35256im(3)","","mrMLM(1);FASTmrMLM(1);pLARmEB(1)","",1,"Chr05",61376754,61380936,4183,"-",5053,-9235,37925392,"Sobic.005G146666","Sobic.005G146666.1","Sobic.005G146666.1.p","PF04535","PTHR33573,PTHR33573:SF5","","","","","AT2G39518.1","","Uncharacterised protein family (UPF0497)","LOC_Os11g34730.1",NA,"membrane associated DUF588 domain containing protein, putative, expressed"
"10",16,"NsiI.TP127610","Sobic.001G408900","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69269305,69272122,2818,"+",-12727,9910,37941062,"Sobic.001G408900","Sobic.001G408900.1","Sobic.001G408900.1.p","PF00085","PTHR18929,PTHR18929:SF104","KOG0910","","","GO:0045454","AT1G07960.1","ATPDIL5-1,PDIL5-1","PDI-like 5-1","LOC_Os03g17860.1",NA,"OsPDIL5-1 protein disulfide isomerase PDIL5-1, expressed"
"11",17,"NsiI.TP127610","Sobic.001G409000","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69273278,69274344,1067,"+",-8754,7688,37941108,"Sobic.001G409000","Sobic.001G409000.1","Sobic.001G409000.1.p","","","","","","","","","","",NA,""
"12",18,"NsiI.TP127610","Sobic.001G409200","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69289989,69291418,1430,"+",7957,-9386,37937747,"Sobic.001G409200","Sobic.001G409200.1","Sobic.001G409200.1.p","PF03195","PTHR31301,PTHR31301:SF29","","","","","AT1G07900.1","LBD1","LOB domain-containing protein 1","LOC_Os03g17810.1",NA,"DUF260 domain containing protein, putative, expressed"
"13",19,"NsiI.TP127610","Sobic.001G409100","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69274318,69279345,5028,"-",-7714,2687,37938223,"Sobic.001G409100","Sobic.001G409100.1","Sobic.001G409100.1.p","PF03360","PTHR10896,PTHR10896:SF25","KOG1476","2.4.2.24","","GO:0016020,GO:0015018","AT2G37090.1","IRX9","Nucleotide-diphospho-sugar transferases superfamily protein","LOC_Os03g17850.1",NA,"glycosyltransferase family 43 protein, putative, expressed"
"17",24,"NsiI.TP129565","Sobic.009G111200","OWA19.6",9,44786093,1.3e-06,0.1083,8.8945,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr09",44785084,44786853,1770,"+",-1009,-760,37919614,"Sobic.009G111200","Sobic.009G111200.1","Sobic.009G111200.1.p","PF00847","PTHR31190,PTHR31190:SF21","","","","GO:0006355,GO:0003700","AT3G16770.1","ATEBP,EBP,ERF72,RAP2.3","ethylene-responsive element binding protein","LOC_Os05g29810.1",NA,"AP2 domain containing protein, expressed"
"18",25,"NsiI.TP129565","Sobic.009G111301","OWA19.6",9,44786093,1.3e-06,0.1083,8.8945,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr09",44790435,44791232,798,"+",4342,-5139,37920795,"Sobic.009G111301","Sobic.009G111301.1","Sobic.009G111301.1.p","","PTHR37380,PTHR37380:SF2","","","","","","","","",NA,""
"19",26,"NsiI.TP129565","Sobic.009G111400","OWA19.6",9,44786093,1.3e-06,0.1083,8.8945,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr09",44791313,44800404,9092,"+",5220,-14311,37920084,"Sobic.009G111400","Sobic.009G111400.1","Sobic.009G111400.1.p","PF16113,PF00725,PF02737","PTHR23309,PTHR23309:SF23","KOG1683","1.1.1.35,5.1.2.3,5.3.3.8,4.2.1.17","K10527","GO:0055114,GO:0016491,GO:0006631,GO:0003857","AT3G06860.1","ATMFP2,MFP2","multifunctional protein 2","LOC_Os05g29880.3",NA,"3-hydroxyacyl-CoA dehydrogenase, putative, expressed"
"20",31,"NsiI.TP164112","Sobic.002G408800","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75760984,75765627,4644,"+",-13053,8410,37954227,"Sobic.002G408800","Sobic.002G408800.1","Sobic.002G408800.1.p","PF07714","PTHR24056,PTHR24056:SF219","","2.7.11.22,2.7.11.23","K08819","GO:0006468,GO:0004672","AT1G54610.3","","Protein kinase superfamily protein","LOC_Os07g47180.1",NA,"transposon protein, putative, unclassified, expressed"
"21",32,"NsiI.TP164112","Sobic.002G408900","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75766505,75771713,5209,"-",-7532,2324,37950207,"Sobic.002G408900","Sobic.002G408900.1","Sobic.002G408900.1.p","","PTHR24015,PTHR24015:SF846","","","","","AT3G21465.1","","","LOC_Os07g47201.1",NA,"adenyl cyclase, putative, expressed"
