"","Nearest.S..bicolor.gene","Chr.a","Positionb","Trialc","Winterd","Miscanthus.SNPe","Pvaluef","Position.relative.to.the.geneg","Arabidopsis.gene","Gene.ontology","Gene.symbol","X.x","X.1","X.2","X.3","X.4","X.5","SB","X.y","Transcript.Name","Chromosome.Name","Description","Organism.Name","Strand","Gene.Start..bp.","Gene.End..bp.","Peptide.Name","PFAM.ID","PFAM.Description","SMART.ID","SMART.Description","Panther.ID","Panther.Description","KOG.ID","KOG.Desctiption","EC.ID","EC.Description","KO.ID","GO.ID","KO.Description","GO.Description","PAC.Transcript.ID","Transcript.Start..bp.","Transcript.End..bp."
"1","",NA,"2014","OWA9","QTL9","UIMiscanthus012370","","","","","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",NA,"2014","OWA7","QTL7","UIMiscanthus011134","","","","","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Sobic.001G117600",1,"9 158 264","KNU 2013","1","UIMiscanthus096890","2.48E‐11","CDS","AT4G22760","Tetratricopeptide repeat (TPR)‐like superfamily protein","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Sobic.001G431500",NA,"2014","OWA1","QTL1","UIMiscanthus061802","UIMiscanthus002771","","","","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946","ISOLEUCYL, LEUCYL, TYROSYL, VALYL AND METHIONYL-TRNA SYNTHETASES","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",6418,"methionyl-tRNA synthetase [EC:6.1.1.10]","amino acid activation",1954278,66064192,66070982
"6","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF09334","tRNA synthetases class I (M)","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",5737,"methionyl-tRNA synthetase [EC:6.1.1.10]","cytoplasm",1954278,66064192,66070982
"7","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",4812,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA ligase activity",1954278,66064192,66070982
"8","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",166,"methionyl-tRNA synthetase [EC:6.1.1.10]","nucleotide binding",1954278,66064192,66070982
"9","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",49,"methionyl-tRNA synthetase [EC:6.1.1.10]","tRNA binding",1954278,66064192,66070982
"10","Sobic.001G455800",1,"73 182 406","UI 2013","1","UIMiscanthus017076","1.85E‐07","3' UTR ‐> 1,171 bp","AT4G13780","Methionine–tRNA ligase","",NA,"",NA,NA,NA,"","Sb01g042830","","Sb01g042830.1","chromosome_1","similar to Probable methionyl-tRNA synthetase","Sbicolor_v1.0",1,66064192,66070982,"1954278_peptide","PF01588","Putative tRNA binding domain","","","PTHR11946:SF20","SUBFAMILY NOT NAMED","KOG1247","Methionyl-tRNA synthetase","6.1.1.10","Methionine--tRNA ligase.","K01874",6418,"methionyl-tRNA synthetase [EC:6.1.1.10]","amino acid activation",1954278,66064192,66070982
