"","SB","GI"
"2472","Sb10g027490","Sobic.010G232500"
"3181","Sb09g002320","Sobic.009G027800"
"3261","Sb09g003060","Sobic.009G036100"
"5353","Sb09g028710","Sobic.009G234500"
"6240","Sb08g005190","Sobic.008G062300"
"6241","Sb08g005200","Sobic.008G062400"
"16214","Sb04g004250","Sobic.004G049800"
"19161","Sb04g036240","Sobic.004G334000"
"22012","Sb03g030100","Sobic.003G244600"
"24361","Sb02g003090","Sobic.002G035700"
"25914","Sb02g022210","Sobic.002G173200"
"27793","Sb02g038130","Sobic.002G361100"
"28416","Sb02g043450","Sobic.002G423600"
"29165","Sb01g005990","Sobic.001G065800"
"31926","Sb01g031870","Sobic.001G329800"
"32530","Sb01g037090","Sobic.001G391300"
