ID,SNP,Chromosome,Position,P.value,MAF,PVE,Trait.names,PS,Ind.SNP,FarmCPU,mrMLM,GAPIT,Total.N
OWA19.1,GFSSContig17769_257,3,9603539,6.11E-07,0.3402,3.22E-06,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.2,GFSSContig7996_485,6,54332713,0.000159698,0.3238,3.4747,OWA19,PS_Y,122+35256im,,pLARmEB,,1
OWA19.3,NsiI.TP101365,10,58707662,4.02E-06,0.362745098,3.187003097,OWA19,PS_Y,O102+4322,FarmCPU,,,1
OWA19.4,NsiI.TP111617,5,61371701,8.82E-07,0.1292,3.1358,OWA19,PS_N;PS_Y,122+35256im,,mrMLM;FASTmrMLM;pLARmEB,,3
OWA19.5,NsiI.TP127610,1,69282032,3.33E-05,0.3284,0.4329,OWA19,PS_Y,O102+4322,,pLARmEB,,1
OWA19.6,NsiI.TP129565,9,44786093,1.30E-06,0.1083,8.8945,OWA19,PS_Y,122+35256im,,mrMLM,,1
OWA19.7,NsiI.TP150122,11,10788,3.90E-06,0.0656,7.2503,OWA19,PS_Y,122+35256im,,FASTmrMLM;ISIS EM-BLASSO,,2
OWA19.8,NsiI.TP164112,2,75774037,1.04E-05,0.058745893,0.007161003,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.9,NsiI.TP169382,9,55737180,1.02E-07,0.377,3.0233,OWA19,PS_N;PS_Y,122+35256im,,FASTmrMLM;pLARmEB,,3
OWA19.10,NsiI.TP182487,11,11165,8.14E-08,0.0164,0,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.11,NsiI.TP191037,11,11248,1.44E-05,0.119076891,0.060532456,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.12,NsiI.TP195995,2,68227771,8.45E-06,0.401960784,7.550182358,OWA19,PS_N,O102+4322,FarmCPU,,,1
OWA19.13,NsiI.TP204910,2,65965770,2.77E-24,0.0343,0.1146,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
OWA19.14,NsiI.TP208625,8,50606712,4.65E-05,0.041,38.5407,OWA19,PCA=3;PS_N;PS_Y,122+35256im,,FASTmrMLM;pLARmEB,rrBLUP,4
OWA19.15,NsiI.TP228522,10,8197919,2.31E-05,0.3527,5.84E-05,OWA19,PS_N,O112+3450,,pLARmEB,,1
OWA19.16,NsiI.TP241500,1,68301853,2.26E-05,0.110194393,0.68176264,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.17,NsiI.TP349989,9,48138,7.50E-05,0.2049,0.3393,OWA19,PS_Y,122+35256im,,pLARmEB,,1
OWA19.18,NsiI.TP360999,1,10465743,1.23E-05,0.086065574,0.004917308,OWA19,PS_Y,O122+2646,FarmCPU,,,1
OWA19.19,NsiI.TP408031,2,72193245,4.76E-05,0.0492,1.49E-06,OWA19,PS_N,122+35256im,,pLARmEB,,1
OWA19.20,NsiI.TP422411,3,70832262,2.65E-06,0.056576111,0.821332693,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.21,NsiI.TP422621,11,13856,3.40E-06,0.082868562,0.559286679,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.22,NsiI.TP424080,8,62210912,8.06E-08,0.041,14.2891,OWA19,PS_Y,O122+2646,,FASTmrEMMA,,1
OWA19.23,NsiI.TP440500,9,59299455,3.14E-05,0.058823529,9.970284346,OWA19,PS_N,O102+4322,FarmCPU,,,1
OWA19.24,NsiI.TP444479,2,69620402,4.82E-08,0.025,26.0684,OWA19,PS_N;PS_Y,122+35256im,,mrMLM;FASTmrMLM,,2
OWA19.25,NsiI.TP460633,4,62266318,8.86E-06,0.041,15.7579345,OWA19,PCA=3;PS_N,122+35256im,,ISIS EM-BLASSO,rrBLUP,2
OWA19.26,NsiI.TP468343,3,70187996,3.36E-05,0.3167,2.4089,OWA19,PS_Y,122+35256im,,mrMLM,,1
OWA19.27,NsiI.TP474172,1,62376131,8.04E-10,0.1542,17.4437,OWA19,PS_Y,122+35256im,,mrMLM,,1
OWA19.28,NsiI.TP476303,11,14864,3.45E-06,0.078063741,0.302705188,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.29,NsiI.TP486731,2,76163097,2.08E-05,0.079050252,0.041900767,OWA19,PS_Y,122+35256im,,,CMLM+SUPER;MLM+SUPER,2
OWA19.30,NsiI.TP487417,2,22482603,3.72E-19,0.0637,0.0405,OWA19,PS_N,O102+4322,,FASTmrMLM,,1
