"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"1",1,"GFSSContig17769_257","Sobic.003G106000","OWA19.1",3,9603539,6.11e-07,0.3402,3.22e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr03",9610191,9615113,4923,"+",6652,-11574,37914797,"Sobic.003G106000","Sobic.003G106000.1","Sobic.003G106000.1.p","PF00059,PF07714","PTHR27006,PTHR27006:SF5","KOG1187","2.7.10.1","","GO:0006468,GO:0004672","AT1G52310.1","","protein kinase family protein / C-type lectin domain-containing protein","LOC_Os01g01410.1",NA,"TKL_IRAK_C-LEC.1 - TKL_IRAK_C-LEC has homology to C-type lectin receptors, expressed"
"2",2,"GFSSContig17769_257","Sobic.003G105900","OWA19.1",3,9603539,6.11e-07,0.3402,3.22e-06,"OWA19","PS_N(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr03",9602593,9609797,7205,"-",-946,-6258,37916656,"Sobic.003G105900","Sobic.003G105900.1","Sobic.003G105900.1.p","PF13176","PTHR14140,PTHR14140:SF31","","","","GO:0005515","AT3G54360.1","","zinc ion binding","LOC_Os02g55200.1",NA,"expressed protein"
"3",4,"GFSSContig7996_485","Sobic.006G188800","OWA19.2",6,54332713,0.000159698,0.3238,3.4747,"OWA19","PS_Y(1)","122+35256im(1)","","pLARmEB(1)","",1,"Chr06",54331337,54333531,2195,"+",-1376,-818,37947443,"Sobic.006G188800","Sobic.006G188800.1","Sobic.006G188800.1.p","PF00651","PTHR31060,PTHR31060:SF3","","","","GO:0005515","AT1G63850.1","","BTB/POZ domain-containing protein","LOC_Os04g49060.1",NA,"H-BTB3 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed"
"10",16,"NsiI.TP127610","Sobic.001G408900","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69269305,69272122,2818,"+",-12727,9910,37941062,"Sobic.001G408900","Sobic.001G408900.1","Sobic.001G408900.1.p","PF00085","PTHR18929,PTHR18929:SF104","KOG0910","","","GO:0045454","AT1G07960.1","ATPDIL5-1,PDIL5-1","PDI-like 5-1","LOC_Os03g17860.1",NA,"OsPDIL5-1 protein disulfide isomerase PDIL5-1, expressed"
"13",19,"NsiI.TP127610","Sobic.001G409100","OWA19.5",1,69282032,3.33e-05,0.3284,0.4329,"OWA19","PS_Y(1)","O102+4322(1)","","pLARmEB(1)","",1,"Chr01",69274318,69279345,5028,"-",-7714,2687,37938223,"Sobic.001G409100","Sobic.001G409100.1","Sobic.001G409100.1.p","PF03360","PTHR10896,PTHR10896:SF25","KOG1476","2.4.2.24","","GO:0016020,GO:0015018","AT2G37090.1","IRX9","Nucleotide-diphospho-sugar transferases superfamily protein","LOC_Os03g17850.1",NA,"glycosyltransferase family 43 protein, putative, expressed"
"17",24,"NsiI.TP129565","Sobic.009G111200","OWA19.6",9,44786093,1.3e-06,0.1083,8.8945,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr09",44785084,44786853,1770,"+",-1009,-760,37919614,"Sobic.009G111200","Sobic.009G111200.1","Sobic.009G111200.1.p","PF00847","PTHR31190,PTHR31190:SF21","","","","GO:0006355,GO:0003700","AT3G16770.1","ATEBP,EBP,ERF72,RAP2.3","ethylene-responsive element binding protein","LOC_Os05g29810.1",NA,"AP2 domain containing protein, expressed"
"19",26,"NsiI.TP129565","Sobic.009G111400","OWA19.6",9,44786093,1.3e-06,0.1083,8.8945,"OWA19","PS_Y(1)","122+35256im(1)","","mrMLM(1)","",1,"Chr09",44791313,44800404,9092,"+",5220,-14311,37920084,"Sobic.009G111400","Sobic.009G111400.1","Sobic.009G111400.1.p","PF16113,PF00725,PF02737","PTHR23309,PTHR23309:SF23","KOG1683","1.1.1.35,5.1.2.3,5.3.3.8,4.2.1.17","K10527","GO:0055114,GO:0016491,GO:0006631,GO:0003857","AT3G06860.1","ATMFP2,MFP2","multifunctional protein 2","LOC_Os05g29880.3",NA,"3-hydroxyacyl-CoA dehydrogenase, putative, expressed"
"20",31,"NsiI.TP164112","Sobic.002G408800","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75760984,75765627,4644,"+",-13053,8410,37954227,"Sobic.002G408800","Sobic.002G408800.1","Sobic.002G408800.1.p","PF07714","PTHR24056,PTHR24056:SF219","","2.7.11.22,2.7.11.23","K08819","GO:0006468,GO:0004672","AT1G54610.3","","Protein kinase superfamily protein","LOC_Os07g47180.1",NA,"transposon protein, putative, unclassified, expressed"
"22",36,"NsiI.TP164112","Sobic.002G409000","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr02",75773614,75775575,1962,"-",-423,-1538,37953670,"Sobic.002G409000","Sobic.002G409000.1","Sobic.002G409000.1.p","PF00657","PTHR22835,PTHR22835:SF147","","3.1.1.3","","GO:0016788","AT2G23540.1","","GDSL-like Lipase/Acylhydrolase superfamily protein","LOC_Os07g47210.1",NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
"24",38,"NsiI.TP164112","Sobic.002G409200","OWA19.8",2,75774037,1.04e-05,0.058745893,0.007161003,"OWA19","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",2,"Chr02",75780712,75784318,3607,"-",6675,-10281,37951326,"Sobic.002G409200","Sobic.002G409200.2","Sobic.002G409200.2.p","PF01657,PF07714","PTHR27002,PTHR27002:SF99","KOG1187","2.7.11.1","","GO:0006468,GO:0004672","AT4G23310.1","CRK23","cysteine-rich RLK (RECEPTOR-like protein kinase) 23","LOC_Os07g47230.1",NA,"TKL_IRAK_DUF26-lh.10 - DUF26 kinases have homology to DUF26 containing loci, expressed"
"29",49,"NsiI.TP195995","Sobic.002G307900","OWA19.12",2,68227771,8.45e-06,0.401960784,7.550182358,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr02",68228301,68230517,2217,"-",530,-2746,37953399,"Sobic.002G307900","Sobic.002G307900.1","Sobic.002G307900.1.p","PF00141","PTHR31235,PTHR31235:SF8","","1.11.1.7","K00430","GO:0055114,GO:0020037,GO:0006979,GO:0004601","AT1G30870.1","","Peroxidase superfamily protein","LOC_Os07g31610.1",NA,"peroxidase precursor, putative, expressed"
"31",51,"NsiI.TP204910","Sobic.002G276800","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65958977,65962368,3392,"+",-6793,3402,37951364,"Sobic.002G276800","Sobic.002G276800.1","Sobic.002G276800.1.p","PF00810","PTHR10585,PTHR10585:SF35","KOG3106","","","GO:0046923,GO:0016021,GO:0006621","AT1G75760.1","","ER lumen protein retaining receptor family protein","LOC_Os08g43470.1",NA,"ER lumen protein retaining receptor, putative, expressed"
"32",52,"NsiI.TP204910","Sobic.002G276900","OWA19.13",2,65965770,2.77e-24,0.0343,0.1146,"OWA19","PS_N(1)","O102+4322(1)","","FASTmrMLM(1)","",1,"Chr02",65966085,65970564,4480,"+",315,-4794,37953024,"Sobic.002G276900","Sobic.002G276900.1","Sobic.002G276900.1.p","PF08271,PF00382","PTHR11618,PTHR11618:SF27","KOG1597","","K03124","GO:0017025,GO:0008270,GO:0006355,GO:0006352","AT3G10330.1","","Cyclin-like family protein","LOC_Os09g36440.1",NA,"transcription initiation factor IIB, putative, expressed"
