"","X","SNP","Gene","ID","Chromosome","Position","P.value","MAF","PVE","Trait.names","PS","Ind.SNP","FarmCPU","mrMLM","GAPIT","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"4",5,"NsiI.TP101365","Sobic.010G246900","OWA19.3",10,58707662,4.02e-06,0.362745098,3.187003097,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",58700687,58703971,3285,"+",-6975,3691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",11,"NsiI.TP101365","Sobic.010G247000","OWA19.3",10,58707662,4.02e-06,0.362745098,3.187003097,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",58709632,58711758,2127,"+",1970,-4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",12,"NsiI.TP101365","Sobic.010G246800","OWA19.3",10,58707662,4.02e-06,0.362745098,3.187003097,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",58698237,58698965,729,"-",-9425,8697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",13,"NsiI.TP101365","Sobic.010G247100","OWA19.3",10,58707662,4.02e-06,0.362745098,3.187003097,"OWA19","PS_Y(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr10",58712018,58714104,2087,"-",4356,-6442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20,"NsiI.TP128483","Sobic.010G254401","OWA18.1",10,59308875,2.66e-05,0.2869,7.2943,"OWA18","PS_N(1);PS_Y(2)","122+35256im(3)","","ISIS EM-BLASSO(2);pLARmEB(1)","",1,"Chr10",59314161,59315373,1213,"-",5286,-6498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",21,"NsiI.TP128483","Sobic.010G254200","OWA18.1",10,59308875,2.66e-05,0.2869,7.2943,"OWA18","PS_N(1);PS_Y(2)","122+35256im(3)","","ISIS EM-BLASSO(2);pLARmEB(1)","",2,"Chr10",59294356,59299852,5497,"-",-14519,9023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",23,"NsiI.TP128483","Sobic.010G254300","OWA18.1",10,59308875,2.66e-05,0.2869,7.2943,"OWA18","PS_N(1);PS_Y(2)","122+35256im(3)","","ISIS EM-BLASSO(2);pLARmEB(1)","",1,"Chr10",59308285,59312489,4205,"+",-590,-3614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",40,"NsiI.TP169382","Sobic.009G211200","OWA19.9",9,55737180,1.02e-07,0.377,3.0233,"OWA19","PS_N(1);PS_Y(2)","122+35256im(3)","","FASTmrMLM(1);pLARmEB(2)","",1,"Chr09",55730349,55734639,4291,"+",-6831,2541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",41,"NsiI.TP169382","Sobic.009G211300","OWA19.9",9,55737180,1.02e-07,0.377,3.0233,"OWA19","PS_N(1);PS_Y(2)","122+35256im(3)","","FASTmrMLM(1);pLARmEB(2)","",3,"Chr09",55735728,55741894,6167,"+",-1452,-4714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",45,"NsiI.TP169382","Sobic.009G211100","OWA19.9",9,55737180,1.02e-07,0.377,3.0233,"OWA19","PS_N(1);PS_Y(2)","122+35256im(3)","","FASTmrMLM(1);pLARmEB(2)","",1,"Chr09",55725196,55729572,4377,"-",-11984,7608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",46,"NsiI.TP169382","Sobic.009G211400","OWA19.9",9,55737180,1.02e-07,0.377,3.0233,"OWA19","PS_N(1);PS_Y(2)","122+35256im(3)","","FASTmrMLM(1);pLARmEB(2)","",1,"Chr09",55743119,55748514,5396,"-",5939,-11334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",62,"NsiI.TP228522","Sobic.010G092550","OWA19.15",10,8197919,2.31e-05,0.3527,5.84e-05,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",1,"Chr10",8186923,8190629,3707,"+",-10996,7290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",63,"NsiI.TP228522","Sobic.010G092600","OWA19.15",10,8197919,2.31e-05,0.3527,5.84e-05,"OWA19","PS_N(1)","O112+3450(1)","","pLARmEB(1)","",1,"Chr10",8195416,8200323,4908,"-",-2503,-2404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",66,"NsiI.TP299143","Sobic.010G083700","OWA18.5",10,7147645,1.62e-06,0.162482766,0.494916681,"OWA18","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr10",7138579,7147096,8518,"-",-9066,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",67,"NsiI.TP299143","Sobic.010G083900","OWA18.5",10,7147645,1.62e-06,0.162482766,0.494916681,"OWA18","PS_Y(2)","122+35256im(2)","","","CMLM+SUPER(1);MLM+SUPER(1)",1,"Chr10",7149116,7158566,9451,"-",1471,-10921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",109,"NsiI.TP440500","Sobic.009G259500","OWA19.23",9,59299455,3.14e-05,0.058823529,9.970284346,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr09",59288607,59293583,4977,"-",-10848,5872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",110,"NsiI.TP440500","Sobic.009G259600","OWA19.23",9,59299455,3.14e-05,0.058823529,9.970284346,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr09",59299077,59301445,2369,"+",-378,-1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",111,"NsiI.TP440500","Sobic.009G259700","OWA19.23",9,59299455,3.14e-05,0.058823529,9.970284346,"OWA19","PS_N(1)","O102+4322(1)","FarmCPU(1)","","",1,"Chr09",59302171,59303677,1507,"-",2716,-4222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
