"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"10","Trait10","mrMLM","PstI.TP1020277","1","23246220"," 0.1574"," 5.3927"," 6.2041"," 0.0000","0.0307","C","0.005","0.0183"
"10","Trait10","mrMLM","PstI.TP229716","2","52006699","-0.1683"," 6.6466"," 7.5005","22.4804","0.0307","A","",""
"10","Trait10","mrMLM","PstI.TP354335","3","50899095","-0.2206"," 5.8130"," 6.6396","22.6776","0.0175","C","",""
"10","Trait10","mrMLM","PstI.TP306248","4","62016244","-0.0446"," 3.1616"," 3.8670"," 6.4947","0.1930","C","",""
"10","Trait10","mrMLM","PstI.TP1134201","9","49341921","-0.2580","14.1458","15.1567","31.0140","0.0219","C","",""
"10","Trait10","FASTmrMLM","PstI.TP229716","2","52006699","-0.2821","8.3189","9.219","58.0818","0.0302","A","0.0094","0.0183"
"10","Trait10","FASTmrMLM","PstI.TP166481","3","1960833","-0.0652","3.276","3.9883","3.9157","0.0517","A","",""
"10","Trait10","FASTmrMLM","PstI.TP306248","4","62016244","-0.0051","3.1904","3.8976","0.0774","0.1983","C","",""
"10","Trait10","FASTmrEMMA","PstI.TP1020277","1","23246220","0.3367","3.7733","4.5134","8.7814","0.0302","C","0.0079","0.0183"
"10","Trait10","FASTmrEMMA","NsiI.TP549004","2","62333756","0.3773","3.0384","3.7361","9.8242","0.0172","C","",""
"10","Trait10","FASTmrEMMA","PstI.TP897409","6","56637189","0.2974","3.5724","4.3016","4.021","0.0172","C","",""
"10","Trait10","pLARmEB","PstI.TP229716","2","52006699","-0.2158","5.3713","6.1819","3.6577","0.0302","A","0.008","0.0183"
"10","Trait10","pLARmEB","PstI.TP881184","2","76620224","-0.0762","4.0387","4.7922","1.2793","0.0991","A","",""
"10","Trait10","pLARmEB","PstI.TP306248","4","62016244","-0.06","4.1309","4.8889","1.1645","0.1983","C","",""
"10","Trait10","pLARmEB","PstI.TP1134201","9","49341921","-0.2146","8.8761","9.7896","2.123","0.0216","C","",""
"10","Trait10","ISIS EM-BLASSO","NsiI.TP459313","1","57397568","1.2688e-05","4.3424","5.1103","2.5774e-08","0.0302","A","0.0081","0.0183"
"10","Trait10","ISIS EM-BLASSO","PstI.TP229716","2","52006699","-0.1697","4.5565","5.334","30.5955","0.0302","A","",""
"10","Trait10","ISIS EM-BLASSO","PstI.TP354335","3","50899095","-1.0528e-05","10.7648","11.7184","6.9123e-08","0.0172","C","",""
"10","Trait10","ISIS EM-BLASSO","PstI.TP1134201","9","49341921","-0.2253","11.9071","12.8818","31.6661","0.0216","C","",""
