"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"3","Trait3","mrMLM","NsiI.TP578256","11","16314","0.3403","6.687","7.5422","47.5535","0.1579","A","0.104","0.135"
"3","Trait3","FASTmrMLM","PstI.TP789647","3","69354547","0.1319","3.219","3.9279","5.0677","0.3491","A","0.0868","0.135"
"3","Trait3","FASTmrMLM","NsiI.TP578256","11","16314","0.3026","7.0607","7.927","43.3766","0.1552","A","",""
"3","Trait3","FASTmrEMMA","PstI.TP789647","3","69354547","0.3136","4.052","4.8062","9.1736","0.3491","A","0.0912","0.135"
"3","Trait3","FASTmrEMMA","NsiI.TP578256","11","16314","0.5999","7.0543","7.9204","17.7053","0.1552","A","",""
"3","Trait3","pLARmEB","PstI.TP789647","3","69354547","0.1091","3.5936","4.324","3.4971","0.3491","A","0.0758","0.135"
"3","Trait3","pLARmEB","PstI.TP411848","11","3188","-0.036","3.6778","4.4128","0.5727","0.4612","G","",""
"3","Trait3","ISIS EM-BLASSO","PstI.TP789647","3","69354547","0.1499","4.0686","4.8235","8.1798","0.3491","A","0.0593","0.135"
"3","Trait3","ISIS EM-BLASSO","PstI.TP81008","11","677","-0.1185","3.2101","3.9185","10.1368","0.3966","A","",""
"3","Trait3","ISIS EM-BLASSO","PstI.TP411848","11","3188","-0.0987","4.9283","5.7215","5.3106","0.4612","G","",""
