"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"7","Trait7","mrMLM","PstI.TP647611"," 4","59195320","-0.9262","3.0363","3.7339"," 0.0000","0.1447","C","1.2356","2.1548"
"7","Trait7","mrMLM","PstI.TP745785"," 6","45615805","-0.6174","3.7077","4.4443","16.9313","0.4079","C","",""
"7","Trait7","mrMLM","PstI.TP1071296","11","    7466"," 1.0257","5.2344","6.0398"," 9.5792","0.1447","C","",""
"7","Trait7","FASTmrMLM","PstI.TP834454","11","5776","-1.2623","6.0518","6.8866","2.5278","0.0776","C","1.1941","2.1548"
"7","Trait7","FASTmrEMMA","PstI.TP1071296","11","7466","2.4296","7.293","8.166","21.2736","0.1466","C","1.4801","2.1548"
"7","Trait7","pLARmEB","PstI.TP745674","3","66083753","-1.0218","4.7543","5.5403","1.6565","0.0991","G","1.2538","2.1548"
"7","Trait7","pLARmEB","PstI.TP745785","6","45615805","-0.5881","5.8841","6.7132","15.362","0.4009","C","",""
"7","Trait7","ISIS EM-BLASSO","PstI.TP65271","3","2656013","-0.5762","3.652","4.3856","2.0521","0.1466","G","1.182","2.1548"
"7","Trait7","ISIS EM-BLASSO","PstI.TP789647","3","69354547","0.5488","4.8321","5.6214","6.9932","0.3491","A","",""
"7","Trait7","ISIS EM-BLASSO","PstI.TP745785","6","45615805","-0.6591","5.6247","6.4446","19.2964","0.4009","C","",""
"7","Trait7","ISIS EM-BLASSO","PstI.TP55941","6","51146867","-0.4634","3.6275","4.3598","9.8197","0.25","C","",""
"7","Trait7","ISIS EM-BLASSO","PstI.TP393060","11","3059","-0.7126","3.1921","3.8994","5.3446","0.2155","A","",""
