"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"2","Trait2","mrMLM","PstI.TP745785"," 6","45615805","-10.8489","3.2697","3.9817","14.7028","0.4079","C","596.3681","766.248"
"2","Trait2","mrMLM","NsiI.TP648509","10","41353679","-32.6965","3.4147","4.1351"," 4.7695","0.0526","A","",""
"2","Trait2","FASTmrMLM","PstI.TP745785","6","45615805","-8.1925","3.5481","4.276","8.3843","0.4009","C","538.2809","766.248"
"2","Trait2","FASTmrMLM","NsiI.TP648509","10","41353679","-20.7304","3.3384","4.0544","1.9173","0.0517","A","",""
"2","Trait2","FASTmrEMMA","NsiI.TP648509","10","41353679","-49.1296","3.9233","4.6711","8.6617","0.0517","A","627.7798","766.248"
"2","Trait2","pLARmEB","PstI.TP757921","1","26848011","9.2027","4.2906","5.0561","6.2649","0.4052","A","448.1851","766.248"
"2","Trait2","pLARmEB","PstI.TP57846","4","4201581","17.873","6.1165","6.9534","34.6831","0.2284","C","",""
"2","Trait2","pLARmEB","PstI.TP411848","11","3188","-6.5219","3.0427","3.7407","3.4896","0.4612","G","",""
"2","Trait2","ISIS EM-BLASSO","PstI.TP57846","4","4201581","14.7342","4.4374","5.2096","28.0858","0.2284","C","421.4692","766.248"
"2","Trait2","ISIS EM-BLASSO","PstI.TP290738","7","59825579","-13.6746","4.343","5.1109","0","0.2414","C","",""
"2","Trait2","ISIS EM-BLASSO","PstI.TP433679","11","3324","12.5719","3.8747","4.62","3.3987","0.1293","C","",""
