TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2041533	AT2G42530	AT2G42530.1	protein_coding	Encodes COR15B, a protein that protects chloroplast membranes during freezing.	COLD REGULATED 15B; COR15B	 chloroplast, chloroplast stroma, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, cold acclimation, collective leaf structure, cotyledon, cytosol, defense response to fungus, flower, flower pedicel, flowering stage, galactose binding, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leaf senescence, lipid binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to abscisic acid, response to cold, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2013742	AT1G29390	AT1G29390.1	protein_coding	Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance.	COLD REGULATED 314 INNER MEMBRANE 2; COLD REGULATED 314 THYLAKOID MEMBRANE 2; COR314-TM2; COR413IM2	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to cold, chloroplast envelope, chloroplast thylakoid membrane, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of chloroplast inner membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2027376	AT1G11760	AT1G11760.1	protein_coding	Required for expression of CBF-controlled cold-responsive genes. Required for recruitment of the Mediator complex and RNA polymerase II to CBF-controlled cold-responsive genes. MED32 has now been annotated as the MED2 subunit of the Mediator complex.	MED2; MED32; MEDIATOR 2; MEDIATOR 32	 cold acclimation, guard cell, leaf senescence, mediator complex, regulation of transcription, DNA-templated, response to hydrogen peroxide, root development	true
Gene:2142488	AT5G10450	AT5G10450.1	protein_coding	Encodes a member of the 14-3-3 gene family that is a lambda isoform (14-3-3&#955;). Interacts with APX3 (ascorbate peroxidase) and AKR2 , suggesting a role in mediating oxidative metabolism in stress response. This protein was shown to colocalize and interact with SERK1 by which it is phosphorylated. This protein is also reported to interact with the phosphorylated form of the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1. Interacts with JAZ10.4 which lacks the Jas motif.  It is also phosphorylated by CRPK1 as part of the response to cold and translocates to the nucleus after phosphorylation.	14-3-3 PROTEIN G-BOX FACTOR14 LAMBDA; 14-3-3LAMBDA; AFT1; G-BOX REGULATING FACTOR 6; GRF6	 cell wall, cytoplasm, cytosol, plasma membrane, response to cadmium ion, defense response to bacterium, cotyledon, vascular leaf, cultured plant cell, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, brassinosteroid mediated signaling pathway, carpel, cauline leaf, cell wall, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, positive regulation of protein catabolic process, protein binding, protein domain specific binding, protein phosphorylated amino acid binding, response to cadmium ion, response to cold, response to freezing, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, trichome, vascular leaf, vascular leaf senescent stage	true
Gene:2172213	AT5G62700	AT5G62700.1	protein_coding	encodes tubulin beta-2/beta-3 chain The mRNA is cell-to-cell mobile.	TUB3; TUBULIN BETA CHAIN 3	 Golgi apparatus, cell wall, cytoplasm, plasmodesma, seed, cultured plant cell, GTP binding, Golgi apparatus, cell wall, cell-to-cell mobile RNA, cultured plant cell, cytoplasm, guard cell, microtubule, microtubule cytoskeleton organization, microtubule-based process, mitotic cell cycle, plasmodesma, response to cold, seed, structural constituent of cytoskeleton, tubulin complex	true
Gene:3433665	AT1G77120	AT1G77120.1	protein_coding	Catalyzes the reduction of acetaldehyde using NADH as reductant. Requires zinc for activity. Dimer. Anaerobic response polypeptide (ANP). Fermentation. The protein undergoes thiolation following treatment with the oxidant tert-butylhydroperoxide. The mRNA is cell-to-cell mobile.	ADH; ADH1; ALCOHOL DEHYDROGENASE; ALCOHOL DEHYDROGENASE 1; ARABIDOPSIS THALIANA ALCOHOL DEHYDROGENASE; ATADH; ATADH1	 Golgi apparatus, cytoplasm, cytosol, plasma membrane, response to cadmium ion, seed, root, plant callus, cultured plant cell, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, S-(hydroxymethyl)glutathione dehydrogenase activity, alcohol dehydrogenase (NAD+) activity, alcohol dehydrogenase activity, zinc-dependent, carpel, cauline leaf, cell-to-cell mobile RNA, cellular respiration, cellular response to hypoxia, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, formaldehyde catabolic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleotide binding, oxidation-reduction process, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, positive regulation of cellular response to hypoxia, protein homodimerization activity, response to abscisic acid, response to cadmium ion, response to caffeine, response to cold, response to estradiol, response to flooding, response to hydrogen peroxide, response to hypoxia, response to osmotic stress, response to salt stress, response to sucrose, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:3435870	AT1G02270	AT1G02270.1	protein_coding	Calcium-binding endonuclease/exonuclease/phosphatase family;(source:Araport11)		 chloroplast, nucleus, 3'-5'-exoribonuclease activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion binding, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to cold, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009021621	AT2G01918	AT2G01918.1	protein_coding	Encode a protein homologous to each PQL protein. Mutational analysis indicates that PQL3 is also required for NDH activity.	PQL3; PSBQ-LIKE 3	 chloroplast, calcium ion binding, chloroplast, chloroplast ATP synthase complex, chloroplast thylakoid membrane, electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity, extrinsic component of membrane, guard cell, photosynthetic electron transport chain, photosystem II oxygen evolving complex, response to cold	true
Gene:1009022365	AT5G65060	AT5G65060.2	protein_coding	MADS domain protein - flowering regulator that is closely related to FLC	FCL3; MADS AFFECTING FLOWERING 3; MAF3	 nucleus, DNA binding, DNA-binding transcription factor activity, RNA polymerase II regulatory region sequence-specific DNA binding, guard cell, multicellular organism development, negative regulation of flower development, nucleus, protein dimerization activity, regulation of photoperiodism, flowering, regulation of transcription, DNA-templated, sequence-specific DNA binding, transcription factor binding, transcription regulatory region DNA binding, vernalization response	true
Gene:6532547323	AT4G22950	AT4G22950.2	protein_coding	MADS-box protein AGL19		 nucleus, DNA-binding transcription factor activity, LP.04 four leaves visible stage, RNA polymerase II regulatory region sequence-specific DNA binding, cauline leaf, collective leaf structure, flower, flower development, guard cell, lateral root cap, leaf lamina base, multicellular organism development, nucleus, petiole, positive regulation of transcription by RNA polymerase II, protein binding, protein dimerization activity, regulation of timing of transition from vegetative to reproductive phase, root, root epidermis, rosette leaf, seedling development stage, sequence-specific DNA binding, shoot apex, stem, transcription factor binding, transcription regulatory region DNA binding, vascular leaf, vernalization response	true
Gene:6532547987	AT4G02020	AT4G02020.2	protein_coding	encodes a polycomb group protein EZA1.  Also known as SWINGER (SWN).  Forms part of a large protein complex that can include VRN2 (VERNALIZATION 2), VIN3 (VERNALIZATION INSENSITIVE 3) and polycomb group proteins FERTILIZATION INDEPENDENT ENDOSPERM (FIE) and CURLY LEAF (CLF).  The complex has a role in establishing FLC (FLOWERING LOCUS C) repression during vernalization. Performs a partially redundant role to MEA  in controlling seed initiation by helping to suppress central cell  nucleusendosperm proliferation within the FG.		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT endosperm development stage, NOT pollen, PcG protein complex, carpel, cauline leaf, chromatin silencing complex, collective leaf structure, cotyledon, endosperm development, flower, flower pedicel, flowering stage, guard cell, histone-lysine N-methyltransferase activity, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, megagametophyte development stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo development stage, plant embryo globular stage, plasmodesma, pollen, protein binding, regulation of gene expression by genetic imprinting, regulation of leaf senescence, response to abscisic acid, root, seed, sepal, shoot apex, shoot system, single-stranded RNA binding, sporophyte vegetative stage, stamen, stem, vascular leaf, vascular leaf senescent stage, vernalization response, whole plant	true
