"","X.2","X","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","X.1","Method2","QTN.effect","LOD.score","Genotype..for.code.1","Var_Error","Var_phen..total.","P.value.1","MAF.1","PVE.1"
"783",783,664,"NsiI.TP135090",11,10635,4.4419511804732e-06,0.223845552057622,142,0.0697803917026962,0.230157750921664,0.0430713227513435,-0.203915126864169,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",16.0377359218968,NA,NA,NA,NA,NA,NA,NA,4e-06,"0.2238",16
"784",784,665,"NsiI.TP370742",8,62258814,4.50632385580702e-06,0.0479364149085321,142,0.0697803917026962,0.229930626272324,0.0430713227513435,-0.516945220347848,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",16.0150234569628,NA,NA,NA,NA,NA,NA,NA,5e-06,"0.0479",16
"785",785,666,"PstI.TP143572",11,1209,4.92543905824619e-06,0.239761204244205,142,0.0697803917026962,0.228528088601292,0.0430713227513435,-0.26264195290782,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",15.8747696898596,NA,NA,NA,NA,NA,NA,NA,5e-06,"0.2398",15.9
"786",786,667,"NsiI.TP35579",11,9534,8.8548823740605e-06,0.453376136981019,142,0.0697803917026962,0.219334365159791,0.0442948588337582,-0.166399589024468,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",14.9553973457095,NA,NA,NA,NA,NA,NA,NA,9e-06,"0.4534",15
"787",787,668,"NsiI.TP773094",9,51968182,1.44682053424074e-05,0.270728125355748,142,0.0697803917026962,0.211714917561566,0.0442948588337582,0.182390032110449,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",14.193452585887,NA,NA,NA,NA,NA,NA,NA,1e-05,"0.2707",14.2
"788",788,669,"NsiI.TP423791",11,13893,1.4675881495545e-05,0.0624272344194482,142,0.0697803917026962,0.211494790506666,0.0442948588337582,0.395712629553291,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",14.171439880397,NA,NA,NA,NA,NA,NA,NA,1e-05,"0.0624",14.2
"789",789,670,"PstI.TP1188697",11,8395,1.61909178242363e-05,0.0706452276180447,142,0.0697803917026962,0.209978963396923,0.0442948588337582,-0.394762191252149,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",14.0198571694227,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0706",14
"790",790,671,"PstI.TP1280479",10,61173000,1.82203243870618e-05,0.430925414974099,142,0.0697803917026962,0.208160715039243,0.0442948588337582,0.137408527865709,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.8380323336547,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.4309",13.8
"791",791,672,"PstI.TP288798",3,69828015,1.82305573054614e-05,0.0746750244202529,142,0.0697803917026962,0.208152079633007,0.0442948588337582,-0.406455460221901,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.8371687930311,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.0747",13.8
"792",792,673,"PstI.TP932081",11,6521,2.03838754158124e-05,0.363753520509991,142,0.0697803917026962,0.206436792528722,0.0442948588337582,0.155488455914294,0.04,"+36088im","PS_Y","GAPIT","GLM","OWA",13.6656400826026,NA,NA,NA,NA,NA,NA,NA,2e-05,"0.3638",13.7
