SNP,Chromosome,Position,P.value,PS,Method ,MAF.1,PVE.1
NsiI.TP383667,7,419094,"E-04(1),E-05(4),E-06(2)","PS_N(6),PS_Y(1)","FASTmrMLM(1),ISIS EM-BLASSO(1),mrMLM(3)",0.0921,8.21
NsiI.TP482576,11,14924,E-05(1),PS_Y(1),FASTmrEMMA(1),0.0288,6.87
NsiI.TP586387,4,58541190,E-05(2),"PS_N(1),PS_Y(1)",FASTmrMLM(2),0.4508,15.6
NsiI.TP60435,5,61407093,E-05(1),PS_Y(1),FASTmrMLM(1),0.0902,4.09
NsiI.TP666789,11,17294,"E-04(1),E-06(1)",PS_N(2),"ISIS EM-BLASSO(1),pLARmEB(1)",0.25,8.49
NsiI.TP697615,2,13689231,E-05(1),PS_N(1),ISIS EM-BLASSO(1),0.1025,5.43
NsiI.TP738234,6,57506161,E-05(2),"PS_N(1),PS_Y(1)","FASTmrMLM(1),pLARmEB(1)",0.2418,10.9
NsiI.TP801851,11,18948,E-07(1),PS_N(1),FASTmrMLM(1),0.418,7.44
PstI.TP102317,11,839,E-05(1),PS_N(1),FASTmrMLM(1),0.2582,6.8
PstI.TP1105907,7,53011045,E-05(2),PS_N(2),"ISIS EM-BLASSO(1),pLARmEB(1)",0.0574,20.5
PstI.TP243328,2,58674737,E-05(1),PS_N(1),"FASTmrEMMA(1),FASTmrMLM(1)",0.4268,8.22
PstI.TP52859,4,59863827,E-05(1),PS_N(1),FASTmrMLM(1),0.3156,11.9
PstI.TP55941,6,51146867,"E-04(4),E-05(4)",PS_Y(8),"FASTmrMLM(2),ISIS EM-BLASSO(1),mrMLM(1),pKWmEB(3)",0.2598,37.6
PstI.TP759023,6,46253378,E-04(1),PS_N(1),FASTmrMLM(1),0.4959,5.48
PstI.TP836370,2,74973263,E-05(1),PS_N(1),"FASTmrEMMA(4),ISIS EM-BLASSO(1)",0.3246,15.9
PstI.TP961110,1,65184135,E-05(1),PS_N(1),FASTmrMLM(1),0.1423,2.15
