,SB,,GI,X,
91,Sb01g001040,Sb01g001040,Sobic.001G010600,,Sb01g001040
113,Sb01g001480,Sb01g001480,Sobic.001G015200,,Sb01g001480
130,Sb01g002040,Sb01g002040,null,,Sb01g002040
217,Sb01g002150,Sb01g002150,Sobic.001G022600,,Sb01g002150
361,Sb01g005990,Sb01g005990,Sobic.001G065800,,Sb01g005990
417,Sb01g006000,Sb01g006000,Sobic.001G065900,,Sb01g006000
566,Sb01g006960,Sb01g006960,Sobic.001G077000,,Sb01g006960
567,Sb01g007950,Sb01g007950,Sobic.001G088100,,Sb01g007950
656,Sb01g008690,Sb01g008690,Sobic.001G097100,,Sb01g008690
720,Sb01g010800,Sb01g010800,Sobic.001G122800,,Sb01g010800
733,Sb01g013590,Sb01g013590,Sobic.001G156000,,Sb01g013590
931,Sb01g015510,Sb01g015510,Sobic.001G178100,,Sb01g015510
1046,Sb01g016780,Sb01g016780,Sobic.001G191000,,Sb01g016780
1118,Sb01g018130,Sb01g018130,Sobic.001G205200,,Sb01g018130
1539,Sb01g019520,Sb01g019520,Sobic.001G221900,,Sb01g019520
1858,Sb01g022260,Sb01g022260,Sobic.001G252000,,Sb01g022260
1981,Sb01g024860,Sb01g024860,Sobic.001G263100,,Sb01g024860
2182,Sb01g025820,Sb01g025820,Sobic.001G264500,,Sb01g025820
2403,Sb01g027880,Sb01g027880,Sobic.001G283400,,Sb01g027880
2472,Sb01g027900,Sb01g027900,Sobic.001G283600,,Sb01g027900
2609,Sb01g028410,Sb01g028410,Sobic.001G290000,,Sb01g028410
2612,Sb01g028700,Sb01g028700,Sobic.001G293800,,Sb01g028700
2798,Sb01g028750,Sb01g028750,Sobic.001G294300,,Sb01g028750
2800,Sb01g030570,Sb01g030570,Sobic.001G314400,,Sb01g030570
2867,Sb01g030680,Sb01g030680,Sobic.001G315700,,Sb01g030680
3058,Sb01g031870,Sb01g031870,Sobic.001G329800,,Sb01g031870
3181,Sb01g033060,Sb01g033060,Sobic.001G344500,,Sb01g033060
3237,Sb01g033910,Sb01g033910,Sobic.001G354700,,Sb01g033910
3260,Sb01g034120,Sb01g034120,Sobic.001G357200,,Sb01g034120
3261,Sb01g034350,Sb01g034350,null,,Sb01g034350
3433,Sb01g036230,Sb01g036230,Sobic.001G382000,,Sb01g036230
3517,Sb01g037090,Sb01g037090,Sobic.001G391300,,Sb01g037090
3648,Sb01g037340,Sb01g037340,Sobic.001G394400,,Sb01g037340
3791,Sb01g038450,Sb01g038450,Sobic.001G406700,,Sb01g038450
4207,Sb01g038500,Sb01g038500,Sobic.001G407600,,Sb01g038500
4210,Sb01g038750,Sb01g038750,Sobic.001G410100,,Sb01g038750
4621,Sb01g039890,Sb01g039890,Sobic.001G424400,,Sb01g039890
4642,Sb01g039980,Sb01g039980,Sobic.001G425400,,Sb01g039980
4854,Sb01g040360,Sb01g040360,Sobic.001G429300,,Sb01g040360
4857,Sb01g041190,Sb01g041190,Sobic.001G438100,,Sb01g041190
4913,Sb01g042600,Sb01g042600,Sobic.001G453200,,Sb01g042600
5030,Sb01g044050,Sb01g044050,Sobic.001G470000,,Sb01g044050
5298,Sb01g045150,Sb01g045150,Sobic.001G482300,,Sb01g045150
5353,Sb01g045920,Sb01g045920,Sobic.001G491000,,Sb01g045920
5368,Sb01g046570,Sb01g046570,Sobic.001G498400,,Sb01g046570
5412,Sb01g048470,Sb01g048470,Sobic.001G519800,,Sb01g048470
5571,Sb01g048750,Sb01g048750,Sobic.001G523200,,Sb01g048750
5645,Sb01g049020,Sb01g049020,Sobic.001G526800,,Sb01g049020
5648,Sb01g049350,Sb01g049350,Sobic.001G530600,,Sb01g049350
5650,Sb02g001060,Sb02g001060,Sobic.002G009800,,Sb02g001060
5662,Sb02g002790,Sb02g002790,Sobic.002G031700,,Sb02g002790
6173,Sb02g003090,Sb02g003090,Sobic.002G035700,,Sb02g003090
6240,Sb02g004390,Sb02g004390,Sobic.002G052100,,Sb02g004390
6241,Sb02g007640,Sb02g007640,Sobic.002G092400,,Sb02g007640
6284,Sb02g022090,Sb02g022090,Sobic.002G172000,,Sb02g022090
6575,Sb02g022210,Sb02g022210,Sobic.002G173200,,Sb02g022210
6886,Sb02g024340,Sb02g024340,Sobic.002G197100,,Sb02g024340
7268,Sb02g025700,Sb02g025700,Sobic.002G214600,,Sb02g025700
7319,Sb02g026270,Sb02g026270,Sobic.002G221800,,Sb02g026270
7460,Sb02g031220,Sb02g031220,Sobic.002G279500,,Sb02g031220
7661,Sb02g031540,Sb02g031540,Sobic.002G282500,,Sb02g031540
7754,Sb02g037780,Sb02g037780,Sobic.002G356400,,Sb02g037780
