,,SB,GI
2472,Sb01g005990,Sb01g005990,Sobic.001G065800
3181,Sb01g031870,Sb01g031870,Sobic.001G329800
3261,Sb01g037090,Sb01g037090,Sobic.001G391300
5353,Sb02g003090,Sb02g003090,Sobic.002G035700
6240,Sb02g022210,Sb02g022210,Sobic.002G173200
6241,Sb02g038130,Sb02g038130,Sobic.002G361100
16214,Sb02g043450,Sb02g043450,Sobic.002G423600
19161,Sb03g030100,Sb03g030100,Sobic.003G244600
22012,Sb04g004250,Sb04g004250,Sobic.004G049800
24361,Sb04g036240,Sb04g036240,Sobic.004G334000
25914,Sb08g005190,Sb08g005190,Sobic.008G062300
27793,Sb08g005200,Sb08g005200,Sobic.008G062400
28416,Sb08g005200Ê,Sb08g005200,Sobic.008G062400
29165,Sb09g002320,Sb09g002320,Sobic.009G027800
31926,Sb09g003060,Sb09g003060,Sobic.009G036100
32530,Sb09g028710,Sb09g028710,Sobic.009G234500
,Sb10g027490,Sb10g027490,Sobic.010G232500
