SB,GI,
Sb10g000101,null,
Sb10g000200,Sobic.010G000200,
Sb10g000210,Sobic.010G000300,
Sb10g000220,SORBIDRAFT_10g000220,
Sb10g000230,Sobic.010G000500,
Sb10g000240,Sobic.010G000600,
Sb10g000250,Sobic.010G000700,
Sb10g000260,null,
Sb10g000270,null,
Sb10g000280,Sobic.010G000900,
Sb10g000290,null,
Sb10g000300,null,
Sb10g000310,null,
Sb10g000320,Sobic.010G001200,
Sb10g000330,Sobic.010G001300,
Sb10g000340,Sobic.010G001400,
Sb10g000350,Sobic.010G001500,
Sb10g000360,Sobic.010G001600,
Sb10g000370,Sobic.010G001700,
Sb10g000380,Sobic.010G001800,
Sb10g000390,Sobic.010G001900,
Sb10g000400,Sobic.010G002000,
Sb10g000410,Sobic.010G002100,
Sb10g000415,SORBIDRAFT_10g000415,
Sb10g000420,Sobic.010G002400,
Sb10g000430,Sobic.010G002500,
Sb10g000440,Sobic.010G002600,
Sb10g000445,Sobic.010G002700,
Sb10g000450,Sobic.010G002800,
Sb10g000460,Sobic.010G002900,
Sb10g000470,Sobic.010G003100,
Sb10g000480,null,
Sb10g000490,Sobic.010G003300,
Sb10g000495,SORBIDRAFT_10g000495,
Sb10g000500,Sobic.010G003400,
Sb10g000510,Sobic.010G003600,
Sb10g000520,Sobic.010G003700,
Sb10g000525,0G003800,
Sb10g000530,null,
Sb10g000535,null,
Sb10g000540,Sobic.010G003900,
Sb10g000550,null,
Sb10g000560,SORBIDRAFT_10g000560,
Sb10g000570,Sobic.010G004100,
Sb10g000580,Sobic.010G004200,
Sb10g000590,Sobic.010G004300,
Sb10g000600,Sobic.010G004400,
Sb10g000610,null,
Sb10g000620,null,
Sb10g000630,Sobic.010G004600,
Sb10g000635,SORBIDRAFT_10g000635,
Sb10g000640,Sobic.010G004800,
Sb10g000650,Sobic.010G004900,
Sb10g000660,Sobic.010G005000,
Sb10g000670,Sobic.010G005100,
Sb10g000680,null,
Sb10g000690,Sobic.010G005200,
Sb10g000700,Sobic.010G005300,
Sb10g000710,null,
Sb10g000720,Sobic.010G005500,
Sb10g000730,Sobic.010G005600,
Sb10g000740,Sobic.010G005700,
Sb10g000750,Sobic.010G005800,
Sb10g000753,SORBIDRAFT_10g000753,
Sb10g000756,SORBIDRAFT_10g000756,
Sb10g000760,SORBIDRAFT_10g000760,
Sb10g000770,null,
Sb10g000780,Sobic.010G006000,
Sb10g000790,Sobic.010G006200,
Sb10g000800,Sobic.010G006300,
Sb10g000805,null,
Sb10g000810,Sobic.010G006400,
Sb10g000815,SORBIDRAFT_10g000815,
Sb10g000820,SORBIDRAFT_10g000820,
Sb10g000830,Sobic.010G006700,
Sb10g000840,Sobic.010G006800,
Sb10g000850,Sobic.010G006900,
Sb10g000860,Sobic.010G007000,
Sb10g000870,Sobic.010G007100,
Sb10g000880,Sobic.010G007200,
Sb10g000890,Sobic.010G007300,
Sb10g000900,Sobic.010G007400,
Sb10g000910,null,
Sb10g000915,null,
Sb10g000920,Sobic.010G007700,
Sb10g000930,Sobic.010G007800,
Sb10g000940,Sobic.010G008100,
Sb10g000950,Sobic.010G008300,
Sb10g000960,Sobic.010G008400,
Sb10g000970,null,
Sb10g000980,Sobic.010G008600,
Sb10g000990,Sobic.010G008700,
Sb10g001000,Sobic.010G008800,
Sb10g001010,Sobic.010G008900,
Sb10g001020,Sobic.010G009100,
Sb10g001030,Sobic.010G009200,
Sb10g001040,null,
Sb10g001050,Sobic.010G009300,
Sb10g001060,Sobic.010G009400,
Sb10g001070,Sobic.010G009500,
Sb10g001080,null,
Sb10g001090,Sobic.010G009700,
Sb10g001100,Sobic.010G009800,
Sb10g001101,SORBIDRAFT_10g001101,
Sb10g001102,null,
Sb10g001103,SORBIDRAFT_10g001103,
Sb10g001105,SORBIDRAFT_10g001105,
Sb10g001106,null,
Sb10g001107,null,
Sb10g001108,SORBIDRAFT_10g001108,
Sb10g001110,Sobic.010G010900,
Sb10g001115,0G011000,
Sb10g001120,Sobic.010G011200,
Sb10g001130,SORBIDRAFT_10g001130,
Sb10g001140,null,
Sb10g001145,SORBIDRAFT_10g001145,
Sb10g001150,Sobic.010G011700,
Sb10g001160,Sobic.010G011800,
Sb10g001165,null,
Sb10g001170,SORBIDRAFT_10g001170,
Sb10g001180,Sobic.010G011900,
Sb10g001190,Sobic.010G012000,
Sb10g001200,Sobic.010G012100,
Sb10g001210,Sobic.010G012200,
Sb10g001220,Sobic.010G012300,
Sb10g001230,Sobic.010G012400,
Sb10g001240,Sobic.010G012500,
Sb10g001250,Sobic.010G012600,
Sb10g001260,0G012700,
Sb10g001270,Sobic.010G012800,
Sb10g001280,Sobic.010G012900,
Sb10g001290,Sobic.010G013000,
Sb10g001300,Sobic.010G013100,
Sb10g001310,Sobic.010G013200,
Sb10g001320,null,
Sb10g001330,null,
Sb10g001340,SORBIDRAFT_10g001340,
Sb10g001350,Sobic.010G013500,
Sb10g001360,Sobic.010G013600,
Sb10g001370,Sobic.010G013700,
Sb10g001380,Sobic.010G013800,
Sb10g001390,Sobic.010G013900,
Sb10g001400,Sobic.010G014000,
Sb10g001410,Sobic.010G014100,
Sb10g001420,Sobic.010G014200,
Sb10g001430,Sobic.010G014300,
Sb10g001440,Sobic.010G014500,
Sb10g001450,Sobic.010G014600,
Sb10g001460,Sobic.010G014700,
Sb10g001470,Sobic.010G014800,
Sb10g001480,Sobic.010G014900,
Sb10g001485,SORBIDRAFT_10g001485,
Sb10g001490,Sobic.010G015000,
Sb10g001500,Sobic.010G015100,
Sb10g001510,Sobic.010G015200,
Sb10g001515,Sobic.010G015300,
Sb10g001520,Sobic.010G015400,
Sb10g001530,Sobic.010G015500,
Sb10g001540,Sobic.010G015700,
Sb10g001550,Sobic.010G015800,
Sb10g001560,Sobic.010G015900,
Sb10g001570,Sobic.010G016000,
Sb10g001580,Sobic.010G016100,
Sb10g001590,Sobic.010G016200,
Sb10g001600,Sobic.010G016300,
Sb10g001610,Sobic.010G016400,
Sb10g001620,Sobic.010G016500,
Sb10g001630,Sobic.010G016600,
Sb10g001640,Sobic.010G016900,
Sb10g001650,SORBIDRAFT_10g001650,
Sb10g001660,Sobic.010G017000,
Sb10g001670,Sobic.010G017100,
Sb10g001680,Sobic.010G017300,
Sb10g001690,Sobic.010G017400,
Sb10g001700,null,
Sb10g001710,null,
Sb10g001715,null,
Sb10g001720,null,
Sb10g001730,Sobic.010G017900,
Sb10g001740,Sobic.010G018000,
Sb10g001750,Sobic.010G018100,
Sb10g001760,Sobic.010G018200,
Sb10g001770,Sobic.010G018300,
Sb10g001780,Sobic.010G018400,
Sb10g001790,Sobic.010G018500,
Sb10g001800,Sobic.010G018600,
Sb10g001810,Sobic.010G018700,
Sb10g001820,Sobic.010G018800,
Sb10g001830,Sobic.010G018900,
Sb10g001840,Sobic.010G019000,
Sb10g001850,Sobic.010G019100,
sbinullMIR399d,null,
Sb10g001860,Sobic.010G019300,
Sb10g001870,Sobic.010G019400,
Sb10g001873,null,
Sb10g001876,null,
Sb10g001880,Sobic.010G019700,
Sb10g001890,Sobic.010G019800,
Sb10g001900,Sobic.010G019900,
Sb10g001910,SORBIDRAFT_10g001910,
Sb10g001920,Sobic.010G020000,
Sb10g001930,Sobic.010G020100,
Sb10g001940,Sobic.010G020200,
Sb10g001950,Sobic.010G020300,
Sb10g001960,Sobic.010G020400,
Sb10g001970,Sobic.010G020600,
Sb10g001980,null,
Sb10g001990,Sobic.010G020800,
Sb10g001995,SORBIDRAFT_10g001995,
Sb10g002000,Sobic.010G021000,
Sb10g002010,Sobic.010G021100,
Sb10g002020,Sobic.010G021200,
Sb10g002030,Sobic.010G021300,
Sb10g002040,Sobic.010G021400,
Sb10g002050,Sobic.010G021500,
Sb10g002060,Sobic.010G021700,
Sb10g002070,Sobic.010G021800,
Sb10g002080,Sobic.010G021900,
Sb10g002090,Sobic.010G022000,
Sb10g002100,Sobic.010G022100,
Sb10g002105,SORBIDRAFT_10g002105,
Sb10g002110,Sobic.010G022300,
Sb10g002120,Sobic.010G022400,
Sb10g002130,Sobic.010G022500,
Sb10g002140,Sobic.010G022600,
Sb10g002150,0G022700,
Sb10g002155,SORBIDRAFT_10g002155,
Sb10g002160,Sobic.010G023000,
Sb10g002170,Sobic.010G023200,
Sb10g002180,Sobic.010G023300,
Sb10g002190,Sobic.010G023400,
Sb10g002200,Sobic.010G023500,
Sb10g002210,Sobic.010G023600,
Sb10g002220,Sobic.010G023700,
Sb10g002225,SORBIDRAFT_10g002225,
Sb10g002230,Sobic.010G023800,
Sb10g002240,Sobic.010G023900,
Sb10g002250,Sobic.010G024000,
Sb10g002260,Sobic.010G024100,
Sb10g002265,SORBIDRAFT_10g002265,
Sb10g002270,SORBIDRAFT_10g002270,
Sb10g002280,Sobic.010G024300,
Sb10g002290,null,
Sb10g002300,Sobic.010G024500,
Sb10g002310,Sobic.010G024600,
Sb10g002315,null,
Sb10g002320,Sobic.010G024800,
Sb10g002330,Sobic.010G024900,
Sb10g002340,null,
Sb10g002350,null,
Sb10g002360,Sobic.010G025200,
Sb10g002370,Sobic.010G025300,
Sb10g002373,SORBIDRAFT_10g002373,
Sb10g002376,SORBIDRAFT_10g002376,
Sb10g002380,SORBIDRAFT_10g002380,
Sb10g002385,SORBIDRAFT_10g002385,
Sb10g002390,SORBIDRAFT_10g002390,
Sb10g002400,Sobic.010G026000,
Sb10g002411,Sobic.010G026200,
Sb10g002420,Sobic.010G026300,
Sb10g002430,Sobic.010G026400,
Sb10g002440,Sobic.010G026500,
Sb10g002450,Sobic.010G026700,
Sb10g002460,Sobic.010G027000,
Sb10g002480,Sobic.010G027200,
