TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2084060	AT3G53460	AT3G53460.1	protein_coding	Encodes a nuclear gene with a consensus RNA-binding domain that is localized to the chloroplast.	CHLOROPLAST RNA-BINDING PROTEIN 29; CP29	 chloroplast, chloroplast stroma, thylakoid, chloroplast thylakoid, fruit, vascular leaf, juvenile vascular leaf, seedling development stage, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA binding, RNA processing, RNA splicing, RNA stabilization, carpel, cauline leaf, chloroplast, chloroplast stroma, chloroplast thylakoid, cold acclimation, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mRNA binding, mRNA processing, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, poly(U) RNA binding, response to cold, ribonucleoprotein complex, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, thylakoid, vascular leaf, vascular leaf senescent stage	true
Gene:2027376	AT1G11760	AT1G11760.1	protein_coding	Required for expression of CBF-controlled cold-responsive genes. Required for recruitment of the Mediator complex and RNA polymerase II to CBF-controlled cold-responsive genes. MED32 has now been annotated as the MED2 subunit of the Mediator complex.	MED2; MED32; MEDIATOR 2; MEDIATOR 32	 cold acclimation, guard cell, leaf senescence, mediator complex, regulation of transcription, DNA-templated, response to hydrogen peroxide, root development	true
Gene:2044640	AT2G15970	AT2G15970.1	protein_coding	encodes an alpha form of a protein similar to the cold acclimation protein WCOR413 in wheat. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment. The mRNA is cell-to-cell mobile.	ARABIDOPSIS THALIANA COLD-REGULATED413 PLASMA MEMBRANE 1; ATCOR413-PM1; ATCYP19; COLD REGULATED 413 PLASMA MEMBRANE 1; COR413-PM1; CYCLOPHILLIN 19; FL3-5A3; WCOR413; WCOR413-LIKE	 mitochondrion, vacuole, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, cellular response to water deprivation, cold acclimation, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, response to abscisic acid, root, seed, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:3434834	AT1G74960	AT1G74960.1	protein_coding	Encodes a plastidic beta-ketoacyl-ACP synthase II, involved in fatty acid elongation from 16:0-ACP to 18:0-ACP. Homozygous knock-out mutants are embryo lethal, indicating early embryo development is sensitive to elevated 16:0.	ARABIDOPSIS BETA-KETOACYL-ACP SYNTHETASE 2; ATKAS2; BETA-KETOACYL-ACP SYNTHETASE 2; FAB1; FATTY ACID BIOSYNTHESIS 1; KAS2	 chloroplast, chloroplast stroma, 3-oxoacyl-[acyl-carrier-protein] synthase activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, chloroplast, chloroplast stroma, cold acclimation, collective leaf structure, cotyledon, cytosol, embryo development ending in seed dormancy, fatty acid biosynthetic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unsaturated fatty acid biosynthetic process, vascular leaf, vascular leaf senescent stage	true
Gene:1005715023	AT2G42540	AT2G42540.2	protein_coding	A cold-regulated gene whose product is targeted to the chloroplast. Cor15am  protects stromal proteins from aggregation under various stress conditions. Constitutive expression increases freezing tolerance in protoplasts in vitro and chloroplasts in vivo. NMR and x-ray diffraction studies suggest that COR15a alters the intrinsic curvature of the inner membrane of chloroplast envelope.  Late Embryogenesis abundant protein (LEA). Protects chloroplast membranes during freezing.	ATCOR15A; COLD-REGULATED 15A; COR15; COR15A	 chloroplast, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chaperone-mediated protein folding, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, circadian rhythm, cold acclimation, collective leaf structure, cotyledon, cytosol, drought recovery, flower, flower pedicel, flowering stage, galactose binding, guard cell, heat acclimation, inflorescence meristem, leaf apex, leaf lamina base, leaf senescence, lipid binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid inner membrane organization, pollen, portion of vascular tissue, protein complex oligomerization, protein homooligomerization, protein stabilization, red or far-red light signaling pathway, response to abscisic acid, response to cold, response to freezing, response to high light intensity, response to light stimulus, response to osmotic stress, response to salt stress, response to water deprivation, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532559302	AT1G28520	AT1G28520.5	protein_coding	VOZ transcription factor which acts as positive regulator of several salt-responsive genes. Functionally redundant in salt stress with VOZ2.		 LP.04 four leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, defense response to bacterium, incompatible interaction, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, long-day photoperiodism, flowering, mature plant embryo stage, metal ion binding, nucleus, petal, petal differentiation and expansion stage, phloem, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of long-day photoperiodism, flowering, positive regulation of transcription, DNA-templated, protein binding, red, far-red light phototransduction, response to heat, response to salt stress, response to water deprivation, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1006228862	AT4G31420	AT4G31420.2	protein_coding	Zinc finger protein 622;(source:Araport11)	REI1-LIKE 1; REIL1	 nucleus, DNA-binding transcription factor activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleic acid binding, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, positive regulation of ribosome biogenesis, preribosome, large subunit precursor, protein binding, regulation of transcription, DNA-templated, ribosomal large subunit biogenesis, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transcription regulatory region DNA binding, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:2034368	AT1G20450	AT1G20450.1	protein_coding	Encodes a gene induced by low temperature and dehydration. Inhibits e.coli growth while overexpressed. Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. LTI29 and LTI30 double overexpressors confer cold tolerance. Localized to membranes and cytoplasm.	EARLY RESPONSIVE TO DEHYDRATION 10; ERD10; LOW TEMPERATURE INDUCED 29; LOW TEMPERATURE INDUCED 45; LTI29; LTI45	 cytosol, nucleus, plasmodesma, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, actin binding, actin cytoskeleton, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasmodesma, pollen, regulation of seed germination, response to abscisic acid, response to cold, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3698628	AT3G55580	AT3G55580.1	protein_coding	TCF1 encodes a member of the  RCC1 gene family and is required for chromatin based gene regulation of cold responsive genes in a CBF-independent manner. It is expressed in response to cold but not ABA.	TCF1; TOLERANT TO CHILLING AND FREEZING1	 cytoplasm, carpel, cellular response to freezing, cold acclimation, collective leaf structure, cytoplasm, flower, guard cell, histone binding, nucleus, petal differentiation and expansion stage, plant sperm cell, protein binding, regulation of lignin biosynthetic process, sepal	true
Gene:2041533	AT2G42530	AT2G42530.1	protein_coding	Encodes COR15B, a protein that protects chloroplast membranes during freezing.	COLD REGULATED 15B; COR15B	 chloroplast, chloroplast stroma, chloroplast envelope, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, cold acclimation, collective leaf structure, cotyledon, cytosol, defense response to fungus, flower, flower pedicel, flowering stage, galactose binding, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leaf senescence, lipid binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to abscisic acid, response to cold, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
