,,SB,GI
3637,Sb01g009310,Sb01g009310,Sobic.001G104300
10475,Sb02g022120,Sb02g022120,Sobic.002G172200
10992,Sb02g022140,Sb02g022140,null
12058,Sb02g023120,Sb02g023120,Sobic.002G183300
12066,Sb02g023140,Sb02g023140,Sobic.002G183600
12079,Sb02g038300,Sb02g038300,Sobic.002G363200
12082,Sb02g038630,Sb02g038630,null
12091,Sb02g039680,Sb02g039680,Sobic.002G379800
12093,Sb02g042450,Sb02g042450,Sobic.002G411700
12481,Sb03g013220,Sb03g013220,Sobic.003G152200
12482,Sb03g023720,Sb03g023720,Sobic.003G180300
12499,Sb03g031320,Sb03g031320,Sobic.003G258900
13284,Sb04g030940,Sb04g030940,Sobic.004G271900
18551,Sb05g001215,Sb05g001215,Sobic.005G014100
20963,Sb06g002877,Sb06g002877,SORBIDRAFT_06g002877
21339,Sb06g015560,Sb06g015560,Sobic.006G068900
22159,Sb06g024740,Sb06g024740,Sobic.006G172200
25902,Sb06g024820,Sb06g024820,Sobic.006G172900
25904,Sb06g024943,Sb06g024943,SORBIDRAFT_06g024943
26034,Sb06g024960,Sb06g024960,Sobic.006G174500
26036,Sb06g025040,Sb06g025040,Sobic.006G175500
27818,Sb06g025060,Sb06g025060,Sobic.006G175700
27856,Sb06g028370,Sb06g028370,Sobic.006G213400
27980,Sb06g028380,Sb06g028380,Sobic.006G213500
28298,Sb06g028540,Sb06g028540,Sobic.006G215200
29544,Sb09g006020,Sb09g006020,Sobic.009G071700
