references,gene ID,,,,,,,,,,
"Zhang et al., 2017",Sobic.001g538000,GRMZM2G388684, downregulated ,xyloglucosyl transferase ,"genes related to cell wall growth, a marker for plant growth, were downregulated ",,,,,,
"Zhang et al., 2017",Sobic.003g205600 ,GRMZM2G333811, downregulated ,leucine-rich repeat family protein,genes related to cell wall growth,,,,,,
"Zhang et al., 2017",Sobic.009g162000,GRMZM2G166176,upregulated ,glycerol-3-phosphate acyltransferase 8 ,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.006g230400,GRMZM2G106578,upregulated ,diacylglycerol kinase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.001g282900,GRMZM2G132898,upregulated ,choline-phosphate cytidylyltransferase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.004g334000,GRMZM2G178892,upregulated ,MGDG synthase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.007g211900,GRMZM2G141320,upregulated ,MGDG synthase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.007g190700,GRMZM2G064962,upregulated ,glycerophosphodiester phosphodiesterase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.004g157300,GRMZM2G018820,upregulated ,glycerophosphodiester phosphodiesterase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Zhang et al., 2017",Sobic.004g015400,GRMZM2G120539,upregulated ,atty acid elongation acyl-CoA ligase,Genes involved in lipid metabolism were upregulated ,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.003G117000,,up-regulated,similar to Zinc inducible protein,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.001G177800,Sobic.001G177800.1,up-regulated,"ribosomal protein, ortholog of Arabidopsis senescence associated gene 24",,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.009G185800,,up-regulated,translation initiation factor SUI1,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.003G370000,,up-regulated,NPQ4/Pbss4,"an ortholog of AtNPQ4, increased under chilling in both genotypes (Fig. 2)","the ROS detoxification is performed by ascorbate–glutathione cycle (Foyer and Noctor, 2011).",,,,,
"Sandeep R. Marla et al., 2017",Sobic.007G171000,,up-regulated,monodehydroascorbate reductase 1,Two genes of the ascorbate–glutathione cycle,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.008G064700,,up-regulated,ascorbate biosynthesis gene vitamin C defective 5 (VTC5,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.003G264600,,highly up-regulated,glutathione S-transferases,"ubiquitous enzymes with antioxidant properties,",,,"in chilling-tolerant NSZ, but not in BTx623 during chilling",,,
"Sandeep R. Marla et al., 2017",Sobic.003G264400,,highly up-regulated,,,,,"in chilling-tolerant NSZ, but not in BTx623 during chilling",,,
"Sandeep R. Marla et al., 2017",Sobic.003G426000,,highly up-regulated,,,,,"in chilling-tolerant NSZ, but not in BTx623 during chilling",,,
"Sandeep R. Marla et al., 2017",Sobic.001G319600,,highly up-regulated,,,,,"in chilling-tolerant NSZ, but not in BTx623 during chilling",,,
"Sandeep R. Marla et al., 2017",Sobic.003G425850,,highly up-regulated,,,,,"in chilling-tolerant NSZ, but not in BTx623 during chilling",,,
"Sandeep R. Marla et al., 2017",Sobic.001G508800,,up-regulated,carbohydrate metabolism,starch-catabolizing β-amylase,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.001G29380,,,,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.001G372100,,,,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.009G06980,,up-regulated,hexokinase,involved in sugar breakdown was up-regulated during cold in both accessions tested,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.003G386000,,up-regulated,fructokinase,involved in sugar breakdown was up-regulated during cold in both accessions tested,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.002G269300,,up-regulated,SbCBF6 tandem duplicates ,co-orthologs of AtCBF3 ,,,in chilling-tolerant NSZ,lowly-expressed under chilling in chilling-sensitive BTx623 (,,
"Sandeep R. Marla et al., 2017",Sobic.002G269400,,up-regulated,SbCBF6 tandem duplicates ,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.010G084600,,up-regulated,"12-oxyphytodienoic acid reductase, SbOPR2",oxylipin JA biosynthesis gene,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.010G084700,,,,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.010G084300,,up-regulated,the co-orthologs of maize OPR8 involved JA biosynthesis) and OPR1,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.010G084400,, highly expressed , OPR1,,,,,,,
"Sandeep R. Marla et al., 2017",Sobic.010G001900,, highly expressed ,acyl-coenzyme-A oxidase,,,,,,,
