,,SB,GI
36,Sb0019s003120,Sb0019s003120,null
90,Sb0139s002020,Sb0139s002020,Sobic.K013100
117,Sb01g000500,Sb01g000500,Sobic.001G004500
122,Sb01g000860,Sb01g000860,Sobic.001G008600
167,Sb01g001160,Sb01g001160,Sobic.001G012000
183,Sb01g001350,Sb01g001350,Sobic.001G013800
195,Sb01g001530,Sb01g001530,Sobic.001G015600
203,Sb01g001565,Sb01g001565,null
213,Sb01g001585,Sb01g001585,Sobic.001G016300
233,Sb01g001690,Sb01g001690,Sobic.001G017400
243,Sb01g001780,Sb01g001780,Sobic.001G018300
279,Sb01g001860,Sb01g001860,Sobic.001G019100
280,Sb01g001893,Sb01g001893,Sobic.001G019500
281,Sb01g002330,Sb01g002330,Sobic.001G024400
310,Sb01g002350,Sb01g002350,Sobic.001G024600
311,Sb01g002430,Sb01g002430,Sobic.001G025500
312,Sb01g002590,Sb01g002590,Sobic.001G027300
340,Sb01g002670,Sb01g002670,null
350,Sb01g002720,Sb01g002720,Sobic.001G028800
357,Sb01g002723,Sb01g002723,null
360,Sb01g002780,Sb01g002780,Sobic.001G029600
375,Sb01g003000,Sb01g003000,Sobic.001G032100
382,Sb01g003270,Sb01g003270,Sobic.001G035000
398,Sb01g003280,Sb01g003280,Sobic.001G035100
416,Sb01g003960,Sb01g003960,Sobic.001G043000
431,Sb01g004140,Sb01g004140,Sobic.001G044900
440,Sb01g004240,Sb01g004240,Sobic.001G046000
596,Sb01g004440,Sb01g004440,Sobic.001G048400
609,Sb01g004500,Sb01g004500,Sobic.001G049000
663,Sb01g004740,Sb01g004740,Sobic.001G051600
670,Sb01g005140,Sb01g005140,Sobic.001G056400
682,Sb01g005150,Sb01g005150,Sobic.001G056500
692,Sb01g005240,Sb01g005240,Sobic.001G057600
722,Sb01g005350,Sb01g005350,Sobic.001G058800
737,Sb01g005400,Sb01g005400,Sobic.001G059400
748,Sb01g005440,Sb01g005440,Sobic.001G059800
774,Sb01g005720,Sb01g005720,Sobic.001G063000
790,Sb01g006000,Sb01g006000,Sobic.001G065900
807,Sb01g006210,Sb01g006210,Sobic.001G068600
817,Sb01g006410,Sb01g006410,Sobic.001G071000
832,Sb01g006610,Sb01g006610,Sobic.001G073300
837,Sb01g007220,Sb01g007220,Sobic.001G080100
838,Sb01g007590,Sb01g007590,null
875,Sb01g007630,Sb01g007630,Sobic.001G084600
876,Sb01g007640,Sb01g007640,Sobic.001G084700
886,Sb01g007820,Sb01g007820,Sobic.001G086800
895,Sb01g007860,Sb01g007860,null
917,Sb01g007965,Sb01g007965,null
943,Sb01g008350,Sb01g008350,Sobic.001G092600
951,Sb01g008380,Sb01g008380,Sobic.001G093200
955,Sb01g008570,Sb01g008570,Sobic.001G095700
1018,Sb01g008810,Sb01g008810,Sobic.001G098600
1020,Sb01g008960,Sb01g008960,Sobic.001G100200
1043,Sb01g008980,Sb01g008980,null
1052,Sb01g008990,Sb01g008990,Sobic.001G100600
1066,Sb01g009000,Sb01g009000,Sobic.001G100700
1071,Sb01g009040,Sb01g009040,Sobic.001G101200
1073,Sb01g009060,Sb01g009060,Sobic.001G101400
1156,Sb01g009340,Sb01g009340,Sobic.001G104600
1175,Sb01g009370,Sb01g009370,Sobic.001G104900
1181,Sb01g009540,Sb01g009540,Sobic.001G106800
1190,Sb01g009950,Sb01g009950,Sobic.001G111700
1204,Sb01g010050,Sb01g010050,Sobic.001G112900
1208,Sb01g010165,Sb01g010165,Sobic.001G115100
1211,Sb01g010270,Sb01g010270,Sobic.001G116400
