"","V1"
"1","GFSSContig17137_1860"
"2","GFSSContig17137_940"
"3","GFSSContig11377_769"
"4","GFSSContig18743_720"
"5","GFSSContig18013_689"
"6","GFSSContig1730_934"
"7","GFSSContig12925_418"
"8","GFSSContig15281_3466"
"9","GFSSContig12956_423"
"10","GFSSContig20018_283"
"11","GFSSContig3389_148"
"12","GFSSContig3389_68"
"13","GFSSContig11950_1194"
"14","GFSSContig64_325"
"15","SSk40ctg20422_195"
"16","GFSSContig8870_238"
"17","GFSSContig14714_678"
"18","GFSSContig14643_563"
"19","SSk50ctg225336_353"
"20","GFSSContig17245_347"
"21","GFSSContig17245_481"
"22","GFSSContig19978_2050"
"23","GFk50ctg100382_211"
"24","GFSSContig10419_989"
"25","GFSSContig18974_238"
"26","GFSSContig4787_601"
"27","GFSSContig19471_685"
"28","GFSSContig17336_1550"
"29","GFSSContig14236_783"
"30","GFSSContig7729_683"
"31","GFSSContig19568_1644"
"32","GFSSContig10130_795"
"33","GFSSContig14911_734"
"34","SSk35ctg124514_137"
"35","GFSSContig240_200"
"36","GFSSContig14239_269"
"37","GFSSContig18538_1416"
"38","GFSSContig2984_879"
"39","GFSSContig1526_230"
"40","GFSSContig20558_126"
"41","GFSSContig20558_410"
"42","GFSSContig18772_497"
"43","GFSSContig5332_531"
"44","GFSSContig14473_841"
"45","GFSSContig19996_653"
"46","GFSSContig20175_2257"
"47","GFSSContig10391_197"
"48","GFSSContig11916_535"
"49","GFSSContig12526_606"
"50","GFSSContig18694_969"
"51","GFSSContig17622_639"
"52","GFSSContig7317_190"
"53","GFSSContig18963_787"
"54","GFSSContig15477"
"55","GFSSContig19961_188"
"56","GFSSContig8113_253"
"57","GFSSContig11701_739"
"58","GFSSContig15931_175"
"59","GFSSContig19736_4089"
"60","GFk45ctg313733_129"
"61","GFSSContig18881_588"
"62","GFSSContig17989_352"
"63","GFSSContig4708_491"
"64","GFSSContig11183_265"
"65","GFSSContig17152_572"
"66","GFSSContig14485_1273"
"67","GFSSContig17456_751"
"68","GFSSContig11785_150"
"69","GFSSContig6268_272"
"70","GFSSContig20611_1874"
"71","GFSSContig14840_1377"
"72","GFSSContig17916_723"
"73","GFSSContig19229_860"
"74","GFSSContig11545_976"
"75","GFSSContig10720_700"
"76","GFSSContig3212_326"
"77","GFSSContig623_207"
"78","GFSSContig16734_2201"
"79","GFSSContig17648_463"
"80","GFSSContig17648_1410"
"81","GFSSContig7165_442"
"82","GFSSContig11918_395"
"83","GFSSContig19789_133"
"84","GFSSContig15605_1353"
"85","GFSSContig18119_1138"
"86","GFSSContig19987_1483"
