Gene.1,gene.2,gene.3,gene.4,gene.5
Sb01g001040,Sb09g028710,Sb06g028380,Sb03g012390,Sb01g032970
Sb01g001480,Sb09g003060,Sb06g028370,Sb06g023760,Sb04g009360
Sb01g002040,Sb02g003090,Sb06g028540,Sb04g035790,Sb09g006010
Sb01g002150,Sb01g005990,Sb06g028370,Sb10g001620,Sb08g005630
Sb01g005990,Sb02g022210,Sb03g023720,Sb02g030330,Sb08g021870
Sb01g006000,Sb02g038130,Sb03g031320,,Sb05g024126
Sb01g006960,Sb08g005200 ,Sb06g002877,Sb06g001030,Sb05g026180
Sb01g007950,Sb09g002320,Sb02g039680,Sb02g040500,Sb09g001780
Sb01g008690,Sb10g027490,Sb09g006020,Sb02g030730,Sb04g007890
Sb01g010800,Sb04g004250,Sb02g023140,Sb05g018890,Sb08g005620
Sb01g013590,Sb01g037090,Sb02g022120,,Sb02g023790
Sb01g015510,Sb02g043450,Sb04g030940,,Sb07g023020
Sb01g016780,Sb08g005190,Sb03g013220,,Sb06g014210
Sb01g018130,Sb08g005200,Sb02g023120,,Sb01g014020
Sb01g019520,Sb04g036240,-,,Sb10g011210
Sb01g022260,Sb03g030100,Sb02g038300,,Sb10g028610
Sb01g024860,Sb01g031870,Sb02g038630,,Sb06g014250
Sb01g025820,,Sb02g022140,,Sb05g027880
Sb01g027880,,Sb02g022140,,Sb02g005600
Sb01g027900,,Sb05g001215,,Sb10g013313
Sb01g028410,,Sb01g009310,,Sb01g004740
Sb01g028700,,Sb06g024943,,Sb04g006087
Sb01g028750,,Sb06g025060,,Sb05g024240
Sb01g030570,,Sb06g024960,,Sb04g007260
Sb01g030680,,Sb06g025040,,Sb09g022580
Sb01g031870,,Sb06g024820,,Sb06g001440
Sb01g033060,,Sb06g024740,,Sb10g008130
Sb01g033910,,Sb06g015560,,Sb01g019850
Sb01g034120,,Sb06g025040,,Sb10g008200
Sb01g034350,,Sb02g042450,,Sb03g043900
Sb01g036230,,,,Sb01g002430
Sb01g037090,,,,Sb01g035040
Sb01g037340,,,,Sb08g005300
Sb01g038450,,,,Sb03g029170
Sb01g038500,,,,Sb03g029180
Sb01g038750,,,,Sb05g004540
Sb01g039890,,,,Sb03g009800
Sb01g039980,,,,Sb09g025140
Sb01g040360,,,,Sb01g048280
Sb01g041190,,,,Sb08g021260
Sb01g042600,,,,Sb04g036780
Sb01g044050,,,,Sb03g009840
Sb01g045150,,,,Sb03g000850
Sb01g045920,,,,Sb02g005410
Sb01g046570,,,,Sb06g029570
Sb01g048470,,,,Sb09g005230
Sb01g048750,,,,Sb02g001050
Sb01g049020,,,,Sb06g004280
Sb01g049350,,,,Sb04g025080
Sb02g001060,,,,Sb01g002590
