reference ,Genes ID,Symbols,Descripton1 ,Regulation 1,Regulation 2,Location 
"Li et al., 2018 ",LOC_Os10g11730,,,highly induced ,,
"Li et al., 2018 ",LOC_Os10g11770,,,highly induced ,,
"Li et al., 2018 ",LOC_Os10g11810,,,highly induced ,,
"Li et al., 2018 ",LOC_Os10g11750,,,change a little ,,
"Sun et al.,2018",LOC_Os06g39740,,,cold responsible ,,
"Sun et al.,2018",LOC_Os06g39750,,,cold responsible ,,
"Sun et al.,2018",LOC_Os06g39750,,,highly induced ,,
Zhang et al 2016,LOC_Os04g04330 ,Ctb1 ,,,,
"Saito et al., 2010",LOC_Os04g0619300,,"encoding an F-box (young panicles, suggesting that FB was a more likely candidate to be Ctb1)",,,
"Saito et al., 2010",LOC_Os04g0619400,,a ser/thr protein kinase ,,,in mature leaves and young panicles
"Xiao et al., 2018)",LOC_Os10g34840,,the candidate gene for the qPSR10 genetic locus that is associated with CT in rice seedlings,,,
"Liang et al., 2017",LOC_Os06g29650,,"CDP-diacylglycerol-inositol 3-phosphatidyltransferase 1, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29790,,"Phosphate transporter 1, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29844,,"MATE efflux family protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29900,,"Integral membrane protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29950,,"MATE domain containing protein, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29994,,"MATE efflux family protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g30210,,Expressed protein,,,Membrane
"Liang et al., 2017",LOC_Os06g30730,,"ABC-2 type transporter domain containing protein, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g30750,,"Reticulon domain containing protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g30930,,Expressed protein,,,Membrane
"Liang et al., 2017",LOC_Os06g30950,,"Transporter-related, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g34660,,"X8 domain containing protein, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g34830,,"Amino acid permease family protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g35814,,"Ras-related protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g35930,,"Aquaporin protein, putative, expressed",,,Membrane
"Liang et al., 2017",LOC_Os06g29110,,"MLO domain containing protein, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g29120,,"STE_PAK_Ste20_STLK.5—STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g29430,,"Cytidine and deoxycytidylate deaminase zinc-binding region family protein, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g29810,,"Lectin protein kinase family protein, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g30430,,"Disease resistance protein RPM1, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g30970,,"Ubiquitin-conjugating enzyme, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g31190,,"Intracellular protein transport protein USO1-related, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g33570,,"Cyclic nucleotide-gated ion channel 1, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g33610,,"Cyclic nucleotide-gated ion channel 1, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g34960,,"TKL-IRAK-DUF26—DUF26 kinases have homology to DUF26 containing loci, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g34970,,Expressed protein,,,Plasma membrane
"Liang et al., 2017",LOC_Os06g35850,,"Lectin protein kinase family protein, putative, expressed",,,Plasma membrane
"Liang et al., 2017",LOC_Os06g35870,,"Lectin protein kinase family protein, putative, expressed",,,Plasma membrane
"Byun et al., 2018",LOC_Os01g03340,,BBTI4 - Bowman-Birk type bran trypsin inhibitor precursor expressed,,Down,
"Byun et al., 2018",LOC_Os01g03360,,BBTI5 - Bowman-Birk type bran trypsin inhibitor precursor expressed,,Down,
"Byun et al., 2018",LOC_Os01g05650,,metallothionein putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g06740,,ribosome inactivating protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os01g06882,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os01g07530,,uncharacterized glycosyltransferase putative expressed,,Down,
"Byun et al., 2018",LOC_Os01g09220,,transposon protein putative CACTA EnFSpm sub-class expressed,Up,,
"Byun et al., 2018",LOC_Os01g10400,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os01g15270,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os01g19740,,calvin cycle protein CP12 putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g21250,,late embryogenesis abundant protein putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os01g22010,,S-adenosylmethionine synthetase putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os01g25386,,multidrug resistance-associated protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os01g37800,,ras-related protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os01g41710,,chlorophyll A-B binding protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g41810,,cytochrome P450 72A1 putative expressed,,Up,
"Byun et al., 2018",LOC_Os01g42380,,pleiotropic drug resistance protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os01g48690,,ribosomal protein rpS20 putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g52230,,phosphoethanolamineFphosphocholine phosphatase putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g53820,,expressed protein,,Down,
"Byun et al., 2018",LOC_Os01g56680,,photosystem II reaction center W protein chloroplast precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g57960,,retrotransposon protein putative unclassified expressed,Down,Up,
"Byun et al., 2018",LOC_Os01g58020,,ribulose bisphosphate carboxylase large chain precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g58870,,domain of unknown function DUF250 domain containing protein expressed,,Down,
"Byun et al., 2018",LOC_Os01g64170,,glycosyl hydrolases family 17 putative expressed,,Down,
"Byun et al., 2018",LOC_Os01g64470,,harpin-induced protein 1 domain containing protein expressed,,Up,
"Byun et al., 2018",LOC_Os01g66120,,No apical meristem protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os01g67480,,helix-loop-helix DNA-binding domain containing protein expressed,Up,Down,
"Byun et al., 2018",LOC_Os01g68300,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os01g70170,,transaldolase putative expressed,,Up,
"Byun et al., 2018",LOC_Os01g72530,,OsCML31 - Calmodulin-related calcium sensor protein expressed,,Up,
"Byun et al., 2018",LOC_Os01g72610,,glycosyltransferase putative expressed,,Down,
"Byun et al., 2018",LOC_Os01g72900,,abscisic stress-ripening putative expressed,,Up,
"Byun et al., 2018",LOC_Os01g72910,,abscisic stress-ripening putative expressed,,Up,
"Byun et al., 2018",LOC_Os01g73000,,copine putative expressed,Up,,
"Byun et al., 2018",LOC_Os02g02890,,peptidyl-prolyl cis-trans isomerase putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g03280,,transmembrane BAX inhibitor motif-containing protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os02g08180,,protein transport protein SEC61 subunit gamma putative expressed,,Up,
"Byun et al., 2018",LOC_Os02g09510,,limonoid UDP-glucosyltransferase putative expressed,,Down,
"Byun et al., 2018",LOC_Os02g10390,,chlorophyll A-B binding protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g24598,,chloroplast envelope membrane protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g24634,,photosystem II D2 protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g32520,,ERD1 protein chloroplast precursor putative expressed,,Up,
"Byun et al., 2018",LOC_Os02g38050,,joka2 putative expressed,,Up,
"Byun et al., 2018",LOC_Os02g39850,,transferase family protein putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os02g39930,,OsTIL-1  Temperature-induced lipocalin-1 expressed,,Up,
"Byun et al., 2018",LOC_Os02g40260,,uncharacterized protein At4g06744 precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g41630,,phenylalanine ammonia-lyase putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os02g41650,,phenylalanine ammonia-lyase putative expressed,,Down,
"Byun et al., 2018",LOC_Os02g41820,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os02g43120,,zinc finger C3HC4 type domain containing protein expressed,Up,Up,
"Byun et al., 2018",LOC_Os02g43790,,ethylene-responsive transcription factor putative expressed,,Down,
"Byun et al., 2018",LOC_Os02g43970,,AP2 domain containing protein expressed,Up,Up,
"Byun et al., 2018",LOC_Os02g44980,,transmembrane amino acid transporter protein putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os02g48560,,fatty acid desaturase putative expressed,,Down,
"Byun et al., 2018",LOC_Os02g49700,,homeobox associated leucine zipper putative expressed,,Down,
"Byun et al., 2018",LOC_Os02g52010,,phosphate-induced protein 1 conserved region domain containing protein expressed,,Down,
"Byun et al., 2018",LOC_Os02g55430,,alginate regulatory protein AlgP putative expressed,Down,,
"Byun et al., 2018",LOC_Os02g57530,,ethylene receptor putative expressed,,Down,
"Byun et al., 2018",LOC_Os03g01300,,LTPL114 - Protease inhibitorFseed storageFLTP family protein precursor expressed,Up,,
"Byun et al., 2018",LOC_Os03g02470,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os03g03910,,catalase domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os03g05390,,Citrate transporter protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os03g05730,,cell division control protein 48 homolog E putative expressed,,Up,
"Byun et al., 2018",LOC_Os03g06680,,plant-specific domain TIGR01615 family protein expressed,Down,,
"Byun et al., 2018",LOC_Os03g08330,,ZIM domain containing protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os03g09900,,membrane protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os03g10620,,hydrolase alphaFbeta fold family domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os03g12820,,ATP8 putative expressed,,Down,
"Byun et al., 2018",LOC_Os03g13800,,ribosomal protein L7Ae putative expressed,,Up,
"Byun et al., 2018",LOC_Os03g16860,,DnaK family protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os03g16920,,DnaK family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os03g17070,,ATP synthase B chain chloroplast precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os03g20790,,ethylene-insensitive 3 putative expressed,,Down,
"Byun et al., 2018",LOC_Os03g22170,,AP2 domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os03g45280,,dehydrin putative expressed,Up,Up,
"Byun et al., 2018",LOC_Os03g46770,,RNA recognition motif containing protein expressed,Down,,
"Byun et al., 2018",LOC_Os03g49990,,GRAS family transcription factor domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os03g52860,,lipoxygenase putative expressed,Up,,
"Byun et al., 2018",LOC_Os03g57340,,chaperone protein dnaJ putative expressed,,Up,
"Byun et al., 2018",LOC_Os03g57640,,gibberellin receptor GID1L2 putative expressed,,Down,
"Byun et al., 2018",LOC_Os03g60080,,NAC domain-containing protein 67 putative expressed,Down,,
"Byun et al., 2018",LOC_Os03g61130,,phosphoesterase family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os04g01330,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os04g16770,,photosynthetic reaction center protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os04g16872,,photosystem II D2 protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os04g16874,,photosystem II 44 kDa reaction center protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os04g33830,,membrane protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os04g36760,,enzyme of the cupin superfamily protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os04g45070,,remorin putative expressed,Down,,
"Byun et al., 2018",LOC_Os04g46960,,glutathione peroxidase domain containing protein expressed,,Up,
"Byun et al., 2018",LOC_Os04g55150,,UBAFTS-N domain containing protein expressed,Down,,
"Byun et al., 2018",LOC_Os04g58710,,AMP-binding domain containing protein expressed,Up,Down,
"Byun et al., 2018",LOC_Os04g58850,,harpin-induced protein 1 domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os04g59190,,peroxidase precursor putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os05g02760,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os05g03960,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os05g04510,,S-adenosylmethionine synthetase putative expressed,,Down,
"Byun et al., 2018",LOC_Os05g04700,,OsRCI2-6 - Hydrophobic protein LTI6B expressed,,Up,
"Byun et al., 2018",LOC_Os05g05080,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os05g05940,,stress-related protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os05g08420,,expressed protein,Down,Up,
"Byun et al., 2018",LOC_Os05g14240,,aquaporin protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os05g22716,,translation initiation factor IF-1 chloroplast putative expressed,Down,,
"Byun et al., 2018",LOC_Os05g22718,,chloroplast 30S ribosomal protein S8 putative expressed,Down,,
"Byun et al., 2018",LOC_Os05g22724,,chloroplast 50S ribosomal protein L16 putative expressed,Down,,
"Byun et al., 2018",LOC_Os05g25640,,cytochrome P450 putative expressed,,Down,
"Byun et al., 2018",LOC_Os05g27730,,WRKY53 expressed,Up,,
"Byun et al., 2018",LOC_Os05g27780,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os05g34770,,cytochrome c putative expressed,,Up,
"Byun et al., 2018",LOC_Os05g41900,,translation initiation factor SUI1 putative expressed,,Up,
"Byun et al., 2018",LOC_Os05g44340,,heat shock protein 101 putative expressed,,Down,
"Byun et al., 2018",LOC_Os05g49890,,ras-related protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os05g51670,,NAD dependent epimeraseFdehydratase family protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os06g03670,,dehydration-responsive element-binding protein putative expressed,Up,Up,
"Byun et al., 2018",LOC_Os06g05470,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os06g05880,,profilin domain containing protein expressed,,Up,
"Byun et al., 2018",LOC_Os06g09900,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os06g30970,,ubiquitin-conjugating enzyme putative expressed,,Up,
"Byun et al., 2018",LOC_Os06g36000,,AP2 domain containing protein expressed,Up,Up,
"Byun et al., 2018",LOC_Os06g40440,,expressed protein,,Down,
"Byun et al., 2018",LOC_Os06g44450,,CCTFB-box zinc finger protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os06g51220,,HMG1F2 putative expressed,,Up,
"Byun et al., 2018",LOC_Os07g01560,,transporter family protein putative expressed,Up,,
"Byun et al., 2018",LOC_Os07g02340,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os07g05480,,photosystem I reaction center subunit chloroplast precursor putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g07990,,uncharacterized protein At4g06744 precursor putative expressed,,Down,
"Byun et al., 2018",LOC_Os07g08840,,thioredoxin putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g09420,,ATPase putative expressed,Up,,
"Byun et al., 2018",LOC_Os07g12340,,NAC domain-containing protein 67 putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g25002,,chloroplast 30S ribosomal protein S7 putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g33780,,pleiotropic drug resistance protein 5 putative expressed,,Up,
"Byun et al., 2018",LOC_Os07g35979,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os07g37240,,chlorophyll A-B binding protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g37320,,transporter family protein putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os07g38360,,expressed protein,Up,,
"Byun et al., 2018",LOC_Os07g39680,,UV-induced protein uvi15 putative expressed,,Up,
"Byun et al., 2018",LOC_Os07g47640,,ultraviolet-B-repressible protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os07g47790,,AP2 domain containing protein expressed,Up,,
"Byun et al., 2018",LOC_Os07g48630,,ethylene-insensitive 3 putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os07g49114,,wound-induced protein WI12 putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os08g01380,,2Fe-2S iron-sulfur cluster binding domain containing protein expressed,Down,,
"Byun et al., 2018",LOC_Os08g02030,,transferase family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os08g02700,,fructose-bisphospate aldolase isozyme putative expressed,,Down,
"Byun et al., 2018",LOC_Os08g06010,,transporter major facilitator family putative expressed,Down,,
"Byun et al., 2018",LOC_Os08g06100,,O-methyltransferase putative expressed,,Down,
"Byun et al., 2018",LOC_Os08g10020,,photosystem II 10 kDa polypeptide chloroplast precursor putative expressed,Down,Up,
"Byun et al., 2018",LOC_Os08g10480,,heavy metal-associated domain containing protein expressed,,Up,
"Byun et al., 2018",LOC_Os08g10500,,expressed protein,,Up,
"Byun et al., 2018",LOC_Os08g15268,,chloroplast 50S ribosomal protein L22 putative expressed,Down,,
"Byun et al., 2018",LOC_Os08g27070,,co-chaperone protein SBA1 putative expressed,,Up,
"Byun et al., 2018",LOC_Os08g27850,,endothelial differentiation-related factor 1 putative expressed,,Up,
"Byun et al., 2018",LOC_Os08g33820,,chlorophyll A-B binding protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os08g35420,,photosynthetic reaction center protein putative expressed,Down,Up,
"Byun et al., 2018",LOC_Os08g36480,,nitrate reductase putative expressed,,Down,
"Byun et al., 2018",LOC_Os08g37670,,plastocyanin-like domain containing protein putative expressed,Up,Down,
"Byun et al., 2018",LOC_Os08g39450,,AN1-like zinc finger domain containing protein expressed,Down,,
"Byun et al., 2018",LOC_Os08g39840,,lipoxygenase chloroplast precursor putative expressed,Up,,
"Byun et al., 2018",LOC_Os08g43200,,dehydration-responsive element-binding protein putative expressed,Up,Up,
"Byun et al., 2018",LOC_Os08g43210,,AP2 domain containing protein expressed,Up,Up,
"Byun et al., 2018",LOC_Os08g45030,,multidrug resistance protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os09g15480,,Ser/Thr-rich protein T10 in DGCR region putative expressed,Up,Up,
"Byun et al., 2018",LOC_Os09g17740,,chlorophyll A-B binding protein putative expressed,Down,,
"Byun et al., 2018",LOC_Os09g25320,,ubiquitin family protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os09g25760,,tetraspanin family protein putative expressed,,Down,
"Byun et al., 2018",LOC_Os09g26670,,expressed protein,Down,,
"Byun et al., 2018",LOC_Os09g35010,,dehydration-responsive element-binding protein putative expressed,,Up,
"Byun et al., 2018",LOC_Os09g35020,,AP2 domain containing protein expressed,Up,Up,
"Byun et al., 2018",LOC_Os09g35030,,dehydration-responsive element-binding protein putative expressed,Up,Up,
