"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"2","Trait2","mrMLM","PstI.TP459121","1","78162835","-0.0190","7.7372","8.6223"," 0.0000","0.0708","C","1e-04","3e-04"
"2","Trait2","mrMLM","PstI.TP1200270","2","13518060","-0.0107","3.3910","4.1101"," 1.0833","0.1125","A","",""
"2","Trait2","mrMLM","PstI.TP268085","2","64265265"," 0.0223","6.5097","7.3594","55.2399","0.0500","A","",""
"2","Trait2","FASTmrMLM","PstI.TP459121","1","78162835","-0.0184","5.24","6.0456","0","0.0697","C","2e-04","3e-04"
"2","Trait2","FASTmrMLM","PstI.TP1200270","2","13518060","-0.0099","3.536","4.2633","1.178","0.1107","A","",""
"2","Trait2","FASTmrMLM","PstI.TP166492","6","2200069","0.011","6.3372","7.1814","31.0856","0.1189","A","",""
"2","Trait2","FASTmrEMMA","PstI.TP459121","1","78162835","-0.0327","3.6553","4.389","11.9413","0.0697","C","1e-04","3e-04"
"2","Trait2","FASTmrEMMA","PstI.TP1010623","3","2603844","-0.046","4.2133","4.9752","4.7186","0.0123","C","",""
"2","Trait2","FASTmrEMMA","NsiI.TP424080","8","62210912","-0.0452","6.252","7.0934","14.2891","0.041","A","",""
"2","Trait2","pLARmEB","PstI.TP459121","1","78162835","-0.0199","4.2531","5.0168","0","0.0697","C","2e-04","3e-04"
"2","Trait2","pLARmEB","PstI.TP1200270","2","13518060","-0.0078","4.6086","5.3884","0.1575","0.1107","A","",""
"2","Trait2","pLARmEB","PstI.TP982120","2","21428233","2.0182e-05","5.8133","6.6399","6.9491e-06","0.0328","A","",""
"2","Trait2","pLARmEB","PstI.TP166492","6","2200069","0.0104","8.675","9.5838","5.8861","0.1189","A","",""
"2","Trait2","ISIS EM-BLASSO","PstI.TP459121","1","78162835","-0.0183","4.8294","5.6186","0","0.0697","C","2e-04","3e-04"
"2","Trait2","ISIS EM-BLASSO","PstI.TP166492","6","2200069","0.011","6.1146","6.9515","31.2797","0.1189","A","",""
