"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"1","OWA18","mrMLM","NsiI.TP641200"," 1"," 3051168"," 0.3344","8.7132","9.6229","35.1614","0.0250","C","0.0222","0.0437"
"1","OWA18","mrMLM","NsiI.TP718157"," 3"," 8632016"," 0.1657","3.8051","4.5468","15.7514","0.0458","A","",""
"1","OWA18","mrMLM","PstI.TP349355"," 4","51739537","-0.1828","6.6147","7.4676"," 2.4813","0.0833","A","",""
"1","OWA18","mrMLM","PstI.TP702483","11","    4867"," 0.3729","3.5084","4.2341","29.4062","0.0125","A","",""
"1","OWA18","FASTmrMLM","PstI.TP437620","11","3351","-7e-04","3.0916","3.7927","0.0012","0.2623","C","0.0302","0.0437"
"1","OWA18","pLARmEB","PstI.TP312639","2","3911470","1.5144e-05","3.2821","3.9948","3.8789e-07","0.1148","A","0.0276","0.0437"
"1","OWA18","pLARmEB","PstI.TP65061","2","73159281","-9e-04","5.7311","6.5548","7e-04","0.3566","A","",""
"1","OWA18","pLARmEB","PstI.TP841525","3","59531363","-0.0111","5.3192","6.1278","0.0702","0.1352","C","",""
"1","OWA18","pLARmEB","PstI.TP1009084","8","3978036","-3.4002e-05","5.7075","6.5304","1.6902e-06","0.2828","A","",""
"1","OWA18","ISIS EM-BLASSO","NsiI.TP128483","10","59308875","0.0645","3.2893","4.0024","6.2719","0.2869","C","0.0281","0.0437"
