"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"2","OWA19","FASTmrMLM","PstI.TP57213","1","59006419","0.0058","3.812","4.554","6.8703","0.127","C","1e-04","3e-04"
"2","OWA19","FASTmrMLM","NsiI.TP444479","2","69620402","0.0143","4.5638","5.3416","26.0684","0.0246","C","",""
"2","OWA19","FASTmrMLM","NsiI.TP523625","4","62611853","0.0056","4.8403","5.6299","7.0541","0.0738","C","",""
"2","OWA19","FASTmrMLM","NsiI.TP111617","5","61371701","-0.0072","3.9771","4.7275","3.1358","0.127","C","",""
"2","OWA19","FASTmrMLM","NsiI.TP208625","8","50606712","0.0101","3.6839","4.4192","20.8423","0.041","A","",""
"2","OWA19","FASTmrMLM","PstI.TP334601","11","2644","-0.008","5.0717","5.8707","3.8416","0.0902","A","",""
"2","OWA19","FASTmrMLM","PstI.TP1250222","11","8799","-0.0083","3.5971","4.3277","1.8376","0.0492","C","",""
"2","OWA19","FASTmrMLM","NsiI.TP60110","11","9843","0.0061","4.0449","4.7987","1.6484","0.1516","A","",""
"2","OWA19","pLARmEB","PstI.TP392482","1","17611146","-1.0879e-05","4.103","4.8596","0","0.0205","A","1e-04","3e-04"
"2","OWA19","pLARmEB","PstI.TP288641","1","27158173","5.172e-05","4.2774","5.0423","4.0972e-05","0.0492","A","",""
"2","OWA19","pLARmEB","NsiI.TP806172","2","58871698","0.0026","6.0336","6.8678","0.1547","0.2869","C","",""
"2","OWA19","pLARmEB","PstI.TP181967","2","63225229","-0.0038","7.6916","8.5755","0.0223","0.0451","A","",""
"2","OWA19","pLARmEB","NsiI.TP408031","2","72193245","-2.2236e-05","3.5917","4.322","1.4886e-06","0.0492","C","",""
"2","OWA19","pLARmEB","GFSSContig17769_257","3","9603539","-1.1707e-05","5.4021","6.2138","3.2184e-06","0.3402","T","",""
"2","OWA19","pLARmEB","NsiI.TP523625","4","62611853","0.0013","6.049","6.8837","0.0637","0.0738","C","",""
"2","OWA19","pLARmEB","PstI.TP1220022","5","55219391","-6.901e-05","3.2853","3.9982","4.8092e-05","0.1189","C","",""
"2","OWA19","pLARmEB","NsiI.TP111617","5","61371701","-0.0054","5.6252","6.4451","0.2966","0.127","C","",""
"2","OWA19","pLARmEB","PstI.TP1102210","6","55405319","1.2759e-05","3.3726","4.0906","4.803e-06","0.3811","A","",""
"2","OWA19","pLARmEB","NsiI.TP208625","8","50606712","0.0099","3.47","4.1936","3.3088","0.041","A","",""
"2","OWA19","pLARmEB","NsiI.TP678261","8","55967248","-0.0061","4.5791","5.3576","0.056","0.0205","A","",""
"2","OWA19","pLARmEB","NsiI.TP169382","9","55737180","0.003","8.6658","9.5743","0.0644","0.377","C","",""
"2","OWA19","pLARmEB","PstI.TP334601","11","2644","-0.0065","7.7615","8.6473","0.421","0.0902","A","",""
"2","OWA19","pLARmEB","PstI.TP349163","11","2748","-0.0041","4.3995","5.17","0.1691","0.168","A","",""
"2","OWA19","pLARmEB","PstI.TP1099377","11","7691","-1.529e-05","3.312","4.0265","3.5486e-07","0.0205","C","",""
"2","OWA19","pLARmEB","NsiI.TP182487","11","11165","-1.117e-05","6.248","7.0893","0","0.0164","C","",""
"2","OWA19","ISIS EM-BLASSO","NsiI.TP460633","4","62266318","-0.0093","4.2874","5.0527","4.0822","0.041","C","2e-04","3e-04"
"2","OWA19","ISIS EM-BLASSO","PstI.TP334601","11","2644","-0.0074","3.4662","4.1896","4.3577","0.0902","A","",""
