"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"1","OWA18","mrMLM","PstI.TP234382","1","67947376"," 0.0976","3.0851","3.7858","12.5820","0.4250","C","0.0188","0.0437"
"1","OWA18","mrMLM","NsiI.TP641200","1"," 3051168"," 0.2456","3.8852","4.6310","33.6785","0.0250","C","",""
"1","OWA18","mrMLM","NsiI.TP224586","3"," 4243452","-0.0650","3.0684","3.7680"," 3.9973","0.3333","C","",""
"1","OWA18","mrMLM","NsiI.TP512189","3","61885782"," 0.1197","3.4878","4.2124","18.5000","0.1708","C","",""
"1","OWA18","mrMLM","PstI.TP349355","4","51739537","-0.2024","6.3126","7.1560"," 5.3993","0.0833","A","",""
"1","OWA18","FASTmrMLM","NsiI.TP504649","4","67177683","-0.1462","8.335","9.2355","18.2118","0.1311","C","0.0273","0.0437"
"1","OWA18","FASTmrMLM","NsiI.TP702393","7","54899243","0.0929","4.1901","4.9509","13.9988","0.3934","A","",""
"1","OWA18","pLARmEB","PstI.TP65061","2","73159281","-0.0575","3.0165","3.7128","2.6315","0.3566","A","0.022","0.0437"
"1","OWA18","pLARmEB","NsiI.TP504649","4","67177683","-0.119","6.2192","7.0595","11.29","0.1311","C","",""
"1","OWA18","pLARmEB","NsiI.TP702393","7","54899243","0.074","3.2975","4.0111","8.3011","0.3934","A","",""
"1","OWA18","pLARmEB","NsiI.TP128483","10","59308875","0.0721","3.8315","4.5746","7.2943","0.2869","C","",""
"1","OWA18","ISIS EM-BLASSO","NsiI.TP724799","4","68146066","0.1056","3.0337","3.7311","14.4361","0.0697","C","0.0254","0.0437"
"1","OWA18","ISIS EM-BLASSO","NsiI.TP128483","10","59308875","0.0689","3.4483","4.1706","5.3229","0.2869","C","",""
"1","OWA18","ISIS EM-BLASSO","PstI.TP437620","11","3351","-0.0797","3.0191","3.7156","10.292","0.2623","C","",""
"1","OWA18","ISIS EM-BLASSO","NsiI.TP2469","11","9161","-0.1179","3.5806","4.3103","20.7754","0.1598","A","",""
